N	3gram	Trubetskoy_1	NovoeSre
1	не может быть	1	4
2	лицом к лицу	1	3
3	вместе с тем	8	2
4	так же как	3	2
5	с одной стороны	7	2
6	с другой стороны	1	2
7	он не имеет	2	2
8	это связано с	1	1
9	и того же	1	1
10	что в этом	1	1
11	одного и того	1	1
12	в том числе	5	1
13	до сих пор	5	1
14	в эту эпоху	1	1
15	но и потому	1	1
16	сами по себе	1	1
17	в отличие от	1	1
18	воли к жизни	1	1
19	востока и запада	1	1
20	том числе и	4	1
21	в то что	1	1
22	и для того	2	1
23	заключает в себе	2	1
24	человека и в	1	1
25	и не могут	1	1
26	и потому что	2	1
27	всю духовную жизнь	1	1
28	не в том	1	1
29	который можно назвать	1	1
30	то что он	2	1
31	в одну из	1	1
32	во всяком случае	6	1
33	о том что	4	1
34	в то время	1	1
35	материальные и духовные	1	1
36	но для этого	1	1
37	и вместе с	4	1
38	это и есть	1	1
39	все в мире	1	1
40	совершенно так же	1	1
41	в том что	3	1
42	к богу или	1	1
