N	3gram	Kanaev_Sov_1	Problema
1	тем не менее	2	18
2	то же самое	2	9
3	в данном случае	1	8
4	в этом смысле	1	6
5	в том что	1	5
6	на самом деле	1	4
7	в связи с	1	4
8	той или иной	1	4
9	в то же	1	4
10	дело в том	1	3
11	с точки зрения	5	3
12	до сих пор	1	3
13	сами по себе	1	3
14	может быть и	2	3
15	во всяком случае	2	3
16	но отнюдь не	1	3
17	в настоящее время	2	3
18	в этом случае	1	2
19	что иное как	1	2
20	в самом деле	1	2
21	по крайней мере	1	2
22	есть не что	1	2
23	а может быть	1	2
24	но уже в	1	2
25	но если мы	1	2
26	так как он	2	2
27	так же как	1	2
28	а не только	1	2
29	в этой области	1	2
30	на этот раз	1	2
31	и в этом	1	2
32	когда мы говорим	1	2
33	не может быть	4	2
34	не что иное	1	2
35	можно было бы	1	2
36	и может быть	1	1
37	и все время	1	1
38	в дальнейшем и	1	1
39	и пр но	1	1
40	в окончательном смысле	1	1
41	он может быть	1	1
42	а потом и	1	1
43	ничего не сказано	1	1
44	и во всех	1	1
45	в дальнейшем мы	1	1
46	тот или иной	1	1
47	и в то	1	1
48	друг на друга	1	1
49	до наших дней	1	1
50	дальнейшем и в	1	1
51	мы не знаем	1	1
52	как мы это	1	1
53	в известном смысле	1	1
54	и ничего не	1	1
55	ровно ничего не	1	1
56	не могут быть	1	1
57	бы то ни	1	1
58	но ведь это	1	1
59	то нет и	1	1
60	не было бы	1	1
61	мы без труда	1	1
62	раз и навсегда	1	1
63	это значит что	1	1
64	ведь если нет	1	1
65	ни о каком	1	1
66	в каждом отдельном	5	1
