N	2gram	Medvedev_V_1	formyVre
1	и в	26	46
2	в этом	26	22
3	и т	23	14
4	прежде всего	13	14
5	вовсе не	3	13
6	в романе	4	13
7	и его	6	12
8	во всех	6	11
9	не только	25	11
10	только в	7	11
11	т п	9	11
12	как бы	5	10
13	то есть	1	10
14	во время	3	10
15	точки зрения	3	10
16	в том	15	10
17	но в	2	10
18	не в	6	9
19	у него	6	9
20	но и	10	9
21	вместе с	7	9
22	и не	19	9
23	и для	2	9
24	мира и	3	9
25	то же	10	8
26	смерть и	1	8
27	как и	7	8
28	для того	3	8
29	того чтобы	3	8
30	потому что	1	8
31	связи с	4	8
32	в его	14	8
33	из них	9	8
34	в связи	3	8
35	в основном	5	8
36	жизни и	3	8
37	так сказать	2	7
38	всех этих	2	7
39	так и	5	7
40	в них	4	7
41	может быть	22	7
42	в одном	4	7
43	то что	6	7
44	как мы	1	6
45	еще не	2	6
46	все же	5	6
47	и наконец	2	6
48	человека в	2	6
49	его в	3	6
50	в основе	1	6
51	и явлений	1	6
52	никогда не	4	6
53	и во	1	6
54	в особенности	2	6
55	все это	10	6
56	и все	1	6
57	но не	2	5
58	с этим	3	5
59	в своем	8	5
60	все эти	6	5
61	он не	2	5
62	в нем	6	5
63	должно быть	2	5
64	громадное значение	1	5
65	в то	6	5
66	в дальнейшем	1	5
67	и у	2	5
68	и др	9	5
69	в частности	11	5
70	в пределах	5	5
71	по существу	3	5
72	что в	10	5
73	также и	2	4
74	человека и	3	4
75	и он	2	4
76	значение и	1	4
77	что они	3	4
78	в истории	1	4
79	как в	1	4
80	уже в	1	4
81	из этих	7	4
82	в себе	6	4
83	их в	6	4
84	том что	8	4
85	в котором	3	4
86	том же	6	4
87	же время	5	4
88	в образе	2	4
89	с ним	1	4
90	о том	10	4
91	все его	2	4
92	конечно не	1	4
93	и их	3	4
94	а не	7	4
95	отнюдь не	3	4
96	с этой	1	4
97	еще более	1	4
98	же в	6	4
99	есть и	1	4
100	почти все	1	3
101	в виду	4	3
102	слова и	1	3
103	отношение к	1	3
104	нет и	3	3
105	хотя и	2	3
106	целый ряд	1	3
107	и как	3	3
108	и художественного	3	3
109	уже не	1	3
110	имеем в	1	3
111	т д	14	3
112	и по	3	3
113	таким образом	31	3
114	а затем	2	3
115	связанных с	1	3
116	в их	5	3
117	в которых	3	3
118	как можно	1	3
119	кроме того	1	3
120	формы для	1	3
121	же самое	2	3
122	к тому	4	3
123	себя и	1	3
124	на основе	5	3
125	роль в	4	3
126	мы наблюдаем	2	3
127	том как	3	3
128	жизнь и	1	3
129	в другом	2	3
130	а также	1	3
131	как у	2	3
132	затем в	1	3
133	что и	3	3
134	того что	3	3
135	что он	4	3
136	во времени	1	3
137	все они	2	3
138	в качестве	11	3
139	на протяжении	1	3
140	для него	8	3
141	тем что	1	3
142	в форме	3	3
143	что на	1	3
144	и даже	2	3
145	не было	7	3
146	о чем	2	3
147	мира в	1	3
148	это значит	1	3
149	не является	5	3
150	в этих	1	3
151	ее в	4	3
152	а в	3	3
153	и идеи	1	3
154	и другие	1	3
155	к этому	9	3
156	том числе	2	3
157	и идей	1	3
158	смысле слова	2	2
159	ту же	2	2
160	связи между	1	2
161	и есть	5	2
162	этого мира	1	2
163	и так	1	2
164	мы имеем	3	2
165	и стиль	1	2
166	говорить о	2	2
167	пародия на	2	2
168	он был	1	2
169	вещь в	1	2
170	не был	1	2
171	явлений и	3	2
172	если в	2	2
173	к ним	1	2
174	опирается на	1	2
175	то в	1	2
176	и к	3	2
177	тон и	1	2
178	в этой	4	2
179	с одной	2	2
180	как он	2	2
181	после этого	2	2
182	на этом	1	2
183	по аналогии	1	2
184	лишь в	2	2
185	по себе	2	2
186	далеко не	2	2
187	с тем	3	2
188	со своими	1	2
189	которой он	1	2
190	мы видели	3	2
191	строго говоря	1	2
192	значение для	1	2
193	одном из	3	2
194	но он	1	2
195	друг другу	1	2
196	в прямом	1	2
197	в той	1	2
198	вплоть до	2	2
199	она не	3	2
200	эти формы	1	2
201	и имеет	1	2
202	в самой	1	2
203	и весь	2	2
204	сложность и	1	2
205	этом отношении	13	2
206	очень часто	1	2
207	в духе	1	2
208	могут быть	5	2
209	числе и	2	2
210	и потому	2	2
211	и это	1	2
212	здесь не	1	2
213	и от	3	2
214	в плоскости	1	2
215	романтиков и	1	2
216	другом месте	2	2
217	и та	1	2
218	утверждает что	3	2
219	можно сказать	4	2
220	это не	7	2
221	наконец и	1	2
222	значит что	2	2
223	быть и	1	2
224	один из	5	2
225	мы видим	1	2
226	и образов	5	2
227	эти образы	1	2
228	и детей	1	2
229	в поэзии	1	2
230	и других	1	2
231	характерно что	1	2
232	сами по	1	2
233	в конце	3	2
234	не для	1	2
235	каждый из	1	2
236	или иной	2	2
237	до сих	1	2
238	последнем счете	1	2
239	с другой	11	2
240	именно в	2	2
241	было бы	7	2
242	наконец в	1	2
243	романа в	1	2
244	смысла и	1	2
245	у нас	2	2
246	и самый	1	2
247	если не	1	2
248	что все	3	2
249	не может	17	2
250	так же	3	2
251	как это	12	2
252	о различных	1	2
253	по своему	1	2
254	в данном	1	2
255	в последнем	2	2
256	лежит в	1	2
257	сих пор	1	2
258	только для	1	2
259	о его	2	2
260	плоти и	1	2
261	сказал что	1	2
262	ее и	1	2
263	у них	2	2
264	но это	1	2
265	в действительной	1	2
266	между ними	3	2
267	не быть	2	2
268	равно как	4	2
269	в заключение	1	2
270	как на	3	2
271	во всяком	1	2
272	имеют громадное	1	1
273	можно говорить	1	1
274	говоря о	1	1
275	например в	3	1
276	чтобы не	2	1
277	и то	1	1
278	сил и	3	1
279	это и	6	1
280	она у	1	1
281	проявляются в	1	1
282	у гете	1	1
283	он всегда	1	1
284	видеть в	2	1
285	действительности и	7	1
286	особенно часто	1	1
287	их и	4	1
288	также была	1	1
289	в несколько	1	1
290	что всякий	1	1
291	а как	2	1
292	и толстого	1	1
293	со всех	1	1
294	бы уже	1	1
295	что если	1	1
296	и свой	1	1
297	вопрос о	1	1
298	на эти	2	1
299	начинается с	1	1
300	время как	1	1
301	ни один	7	1
302	и ряд	1	1
303	только природу	1	1
304	из того	1	1
305	полное и	1	1
306	так называемые	1	1
307	подчеркнуть что	2	1
308	в каждой	1	1
309	всех сторон	1	1
310	это время	1	1
311	основе этого	1	1
312	в ней	2	1
313	между собой	1	1
314	он сам	2	1
315	нужно как	1	1
316	в чем	2	1
317	с его	3	1
318	это имеет	1	1
319	в частном	1	1
320	самом деле	1	1
321	его художественного	2	1
322	в общем	2	1
323	себе и	2	1
324	и речи	1	1
325	за пределы	1	1
326	и преодоления	1	1
327	образов но	1	1
328	это самое	1	1
329	как говорит	5	1
330	что во	1	1
331	искусстве и	2	1
332	подробно разработанный	1	1
333	бы при	1	1
334	в него	1	1
335	человека вообще	1	1
336	частей и	1	1
337	этом же	2	1
338	когда он	3	1
339	что по	1	1
340	наконец у	1	1
341	имеет свои	1	1
342	следующим образом	3	1
343	является выражением	1	1
344	роль играет	1	1
345	в самом	4	1
346	в которой	2	1
347	бы и	6	1
348	историческая и	1	1
349	действительности также	1	1
350	формы в	1	1
351	о более	2	1
352	бы не	2	1
353	жанров но	1	1
354	многообразие и	1	1
355	всего необходимо	1	1
356	ничего и	1	1
357	этого образа	1	1
358	ее как	2	1
359	их что	1	1
360	дальше и	1	1
361	идей и	3	1
362	сфере в	1	1
363	стороны в	2	1
364	они в	1	1
365	не значит	1	1
366	вот к	1	1
367	не как	1	1
368	понятий и	1	1
369	образом и	1	1
370	в точном	2	1
371	на его	1	1
372	образов и	4	1
373	его от	2	1
374	около двух	1	1
375	так например	2	1
376	одно и	1	1
377	а вместе	1	1
378	в каждом	2	1
379	для характеристики	1	1
380	в состоянии	1	1
381	они должны	2	1
382	этом свидетельствует	1	1
383	об этом	9	1
384	форм и	1	1
385	для своей	1	1
386	это было	1	1
387	это состояние	1	1
388	моменты в	1	1
389	что один	1	1
390	в новое	1	1
391	ни в	1	1
392	как об	2	1
393	в действии	1	1
394	и следовало	1	1
395	практической жизни	1	1
396	он и	2	1
397	понятия и	1	1
398	идей которые	1	1
399	и еще	1	1
400	вещи в	1	1
401	с положительной	1	1
402	в своей	4	1
403	целого или	1	1
404	могут не	2	1
405	художественное мышление	1	1
406	не столько	2	1
407	что до	1	1
408	от его	2	1
409	и продолжается	1	1
410	всего может	1	1
411	которые в	2	1
