N	3gram	Tiupa_Lite_1	Dialekti
1	с точки зрения	2	14
2	тем не менее	2	10
3	не может быть	1	6
4	в самом деле	1	5
5	по крайней мере	1	5
6	о том что	2	5
7	подобно тому как	2	4
8	и не только	1	3
9	имеется в виду	1	3
10	как раз и	1	3
11	с одной стороны	2	3
12	в том что	11	3
13	и прежде всего	3	3
14	на то что	1	3
15	не говоря уже	2	2
16	для этого он	1	2
17	тот или иной	1	2
18	говоря уже о	1	2
19	из того что	2	2
20	с этой точки	3	2
21	тем более не	1	2
22	в зависимости от	1	2
23	и в этом	1	2
24	с другой стороны	1	2
25	как особого рода	1	2
26	во всяком случае	2	2
27	этой точки зрения	3	2
28	иметь в виду	1	2
29	к тому же	1	2
30	так или иначе	8	2
31	собственно говоря и	1	1
32	в чистом виде	1	1
33	при всем своем	1	1
34	на самом деле	1	1
35	до сих пор	1	1
36	в лучшем случае	1	1
37	и есть подлинный	1	1
38	и одно из	1	1
39	в этом отношении	2	1
40	перед нами не	1	1
41	а не абсолютная	1	1
42	только потому что	1	1
43	и в частности	1	1
44	в последнее время	1	1
45	в данном случае	4	1
46	далеко не всегда	1	1
47	как такового с	1	1
48	но может быть	1	1
49	субъект мыслится как	1	1
50	не в силах	1	1
51	мы никогда не	1	1
52	не абсолютная истина	1	1
53	исходит из того	1	1
54	уже и не	1	1
55	лишь тогда когда	1	1
56	не мог бы	1	1
57	одно из них	1	1
58	то же время	5	1
59	уже не просто	1	1
60	одна из форм	1	1
61	в конечном счете	4	1
62	бы то ни	1	1
63	то ни было	1	1
64	если бы я	1	1
65	не может и	1	1
66	в то же	5	1
67	в связи с	4	1
68	несмотря на свою	1	1
69	все той же	1	1
70	тех или иных	1	1
71	абсолютная истина и	1	1
72	только при условии	1	1
