N	2gram	Tiupa_Vved_1	Problema
1	то есть	8	39
2	то что	6	38
3	вовсе не	1	37
4	и не	12	37
5	и в	13	35
6	не только	20	24
7	сказать что	1	24
8	том что	7	19
9	что такое	18	18
10	у нас	1	18
11	о том	5	18
12	может быть	18	18
13	в этом	21	17
14	настоящее время	1	16
15	но и	19	16
16	в настоящее	1	16
17	такого рода	16	15
18	что мы	2	14
19	только в	6	14
20	не менее	4	13
21	потому что	5	13
22	не может	7	13
23	и что	1	13
24	во всяком	1	13
25	также и	4	12
26	тем не	3	12
27	того что	6	12
28	в том	10	12
29	хотя бы	1	12
30	никак не	2	11
31	и даже	1	11
32	так что	1	11
33	прежде всего	7	11
34	что в	3	11
35	в таком	1	11
36	таком случае	1	10
37	говорить о	2	10
38	еще не	7	10
39	всяком случае	1	10
40	и с	2	10
41	а не	15	10
42	в данном	13	10
43	да и	1	10
44	едва ли	3	9
45	в этой	1	9
46	пока еще	4	9
47	для себя	1	9
48	если мы	1	9
49	только на	1	9
50	что же	3	9
51	для нас	2	9
52	этого термина	1	8
53	тут же	1	8
54	все же	6	8
55	по себе	2	8
56	есть только	1	8
57	в виду	1	8
58	было бы	4	8
59	уже не	5	8
60	как раз	2	8
61	бы и	4	7
62	все эти	1	7
63	тоже не	2	7
64	мы не	4	7
65	тем самым	5	7
66	не имеет	2	7
67	не является	3	7
68	в конце	1	7
69	так и	8	7
70	в его	4	7
71	этом случае	1	7
72	определенного рода	1	6
73	мы и	2	6
74	с другой	5	6
75	но как	1	6
76	а только	1	6
77	к сожалению	1	6
78	относится к	1	6
79	но в	6	6
80	на то	1	6
81	что все	1	6
82	по крайней	1	6
83	можно ли	1	6
84	мы можем	2	6
85	не о	2	6
86	как будто	4	6
87	крайней мере	1	6
88	же самое	1	6
89	можно сказать	4	6
90	в виде	1	6
91	в области	3	6
92	или иначе	2	6
93	а именно	1	6
94	о чем	2	6
95	но это	3	6
96	при условии	1	6
97	и для	3	6
98	не существует	2	6
99	в то	4	6
100	то же	5	5
101	между собой	2	5
102	по своему	2	5
103	отнюдь не	7	5
104	в самом	2	5
105	в себе	5	5
106	с другими	1	5
107	этом смысле	1	5
108	как и	11	5
109	и уж	1	5
110	и более	3	5
111	для меня	1	5
112	это то	1	5
113	связи с	1	5
114	будто бы	3	5
115	той или	3	5
116	указывает на	1	5
117	как мы	3	5
118	данном случае	6	5
119	можно было	2	5
120	и на	3	5
121	с одной	5	5
122	одной стороны	5	5
123	или иной	3	5
124	еще и	1	5
125	что не	1	5
126	другой стороны	2	5
127	в частности	13	5
128	так же	1	5
129	в связи	1	5
130	или другой	1	5
131	и все	4	5
132	самом деле	3	4
133	на самом	4	4
134	человеческой речи	1	4
135	не вполне	3	4
136	и самого	1	4
137	но не	5	4
138	не все	2	4
139	в своем	5	4
140	более или	2	4
141	вообще не	1	4
142	что она	1	4
143	но именно	1	4
144	всех этих	1	4
145	их в	2	4
146	таким образом	4	4
147	и тем	2	4
148	далеко не	4	4
149	которой он	1	4
150	как таковой	1	4
151	на первый	1	4
152	или менее	2	4
153	в этих	3	4
154	но если	1	4
155	на свете	1	4
156	в отношении	1	4
157	но только	1	4
158	что на	2	4
159	стороны и	1	4
160	и вполне	1	4
161	и о	1	4
162	если бы	7	4
163	в математике	1	4
164	и только	1	4
165	значение в	1	4
166	тот же	1	4
167	что он	1	4
168	есть в	2	4
169	не можем	2	4
170	то и	2	4
171	представить себе	2	4
172	случае не	1	4
173	тем что	2	4
174	ни о	1	4
175	или по	1	4
176	как бы	4	4
177	слова и	1	4
178	все это	1	4
179	в результате	3	4
180	а в	6	4
181	гораздо более	1	4
182	в их	1	3
183	язык как	2	3
184	что иное	1	3
185	это отношение	1	3
186	в нашем	6	3
187	что они	1	3
188	в истории	1	3
189	хотя и	7	3
190	могли бы	1	3
191	не было	2	3
192	и к	2	3
193	в целом	3	3
194	бы не	2	3
195	из этих	3	3
196	и тот	1	3
197	в случае	2	3
198	быть только	2	3
199	при этом	26	3
200	перестает быть	1	3
201	и по	3	3
202	введение в	1	3
203	здесь мы	1	3
204	лишь в	2	3
205	для них	3	3
206	о которых	1	3
207	все равно	2	3
208	с тем	1	3
209	в слове	3	3
210	несмотря на	1	3
211	и тоже	1	3
212	и того	2	3
