N	3gram	Bakhtin_Pr_2	VerxiiNi
1	с точки зрения	9	6
2	более или менее	1	5
3	в том числе	2	5
4	до сих пор	2	5
5	по крайней мере	2	5
6	друг с другом	2	5
7	для того чтобы	1	5
8	о том что	3	4
9	том числе и	2	4
10	но все же	2	4
11	к тому же	1	4
12	в конце концов	3	3
13	так же как	3	3
14	тем не менее	1	3
15	в том что	4	3
16	сих пор еще	1	2
17	в этом отношении	2	2
18	может быть даже	2	2
19	по сравнению с	2	2
20	то что он	1	2
21	таким образом в	2	2
22	то же время	3	2
23	с одним из	1	2
24	ничего общего с	1	2
25	этой точки зрения	2	2
26	с самого начала	1	2
27	той или иной	3	2
28	можно сказать что	2	2
29	на то что	2	2
30	в то же	3	2
31	и в этом	6	2
32	и в сущности	1	1
33	духе и в	1	1
34	и того же	1	1
35	даже там где	1	1
36	сказать что в	1	1
37	сам он не	1	1
38	по отношению к	8	1
39	имеем в виду	2	1
40	в самом деле	3	1
41	одного и того	1	1
42	ни один из	1	1
43	непосредственно ни с	1	1
44	а потому что	1	1
45	или что еще	1	1
46	но далеко не	1	1
47	в котором они	1	1
48	в таком случае	1	1
49	можем составить себе	1	1
50	сами по себе	1	1
51	все те же	1	1
52	в то что	1	1
53	совершенно так же	2	1
54	мы можем составить	1	1
55	с ними в	1	1
56	те же что	1	1
57	но все они	1	1
58	их отношение к	1	1
59	и некоторые другие	1	1
60	таким образом уже	2	1
61	ни с одним	1	1
62	в данном случае	1	1
63	в нашем смысле	1	1
64	не потому что	1	1
65	но в то	3	1
66	смысле этого слова	2	1
67	в отличие от	1	1
68	точки зрения а	1	1
69	а не как	1	1
70	мы уже говорили	2	1
71	из них не	1	1
72	друг к другу	3	1
73	с другой стороны	1	1
74	как бы в	2	1
75	лицом к лицу	1	1
76	не совпадает с	1	1
77	может ли быть	1	1
78	у него в	1	1
79	не может быть	6	1
80	но с другой	1	1
81	но тем не	1	1
82	по всей вероятности	1	1
83	в то время	1	1
84	в одном из	1	1
85	он как бы	1	1
86	затем в эпоху	1	1
87	мы имеем в	2	1
88	том что все	1	1
89	же что и	1	1
90	его с другими	1	1
91	и не потому	1	1
92	к нему в	1	1
93	этого в самом	1	1
94	мы видим что	1	1
95	может показаться что	1	1
96	одном из своих	1	1
97	может быть в	1	1
98	именно потому что	1	1
