N	2gram	Ircho_Kome_1	Stilisti
1	и в	22	42
2	не только	10	27
3	как бы	1	27
4	прежде всего	5	22
5	хотя бы	1	17
6	то же	6	15
7	но и	11	15
8	и не	8	14
9	не может	2	12
10	может быть	9	12
11	мы уже	1	11
12	как и	9	11
13	точки зрения	4	11
14	отнюдь не	1	10
15	в этом	3	10
16	и как	3	10
17	как мы	4	10
18	мы не	3	9
19	при этом	5	9
20	в то	10	9
21	для того	1	9
22	общественной жизни	1	9
23	то что	2	9
24	в ней	1	8
25	все же	3	8
26	в себе	2	8
27	таким образом	8	8
28	и это	1	8
29	с тем	1	8
30	эти слова	1	8
31	что же	1	8
32	в зависимости	1	7
33	зависимости от	1	7
34	и на	3	7
35	в которой	6	7
36	было бы	2	7
37	и тем	2	7
38	так как	4	7
39	же время	4	7
40	потому что	5	7
41	того чтобы	1	7
42	ничего не	3	7
43	только в	3	7
44	и его	8	7
45	мы можем	4	7
46	во всех	1	6
47	в этой	7	6
48	на его	5	6
49	в нем	4	6
50	не в	6	6
51	в области	2	6
52	так и	5	6
53	в форме	2	6
54	в конце	6	6
55	в свою	2	6
56	той же	1	5
57	уже в	5	5
58	в той	1	5
59	независимо от	2	5
60	и с	3	5
61	мы видели	2	5
62	тому что	1	5
63	в сознании	3	5
64	а в	6	5
65	же самое	2	5
66	те же	1	5
67	в его	5	5
68	и следовательно	1	5
69	точек зрения	2	5
70	вместе с	2	5
71	как это	3	5
72	слова и	1	5
73	тем же	1	4
74	себя в	1	4
75	что именно	1	4
76	и к	1	4
77	но в	4	4
78	в самом	2	4
79	что это	1	4
80	можно было	1	4
81	в каждом	1	4
82	его в	3	4
83	и без	2	4
84	самого начала	1	4
85	на него	4	4
86	у нас	3	4
87	но все	1	4
88	всего в	3	4
89	к тому	6	4
90	на это	1	4
91	с самого	1	4
92	о том	8	4
93	того что	1	4
94	один из	5	4
95	в качестве	4	4
96	в общественной	1	4
97	само собой	1	4
98	а с	1	4
99	то есть	1	4
100	к своему	1	4
101	не что	1	4
102	все это	5	4
103	не знаем	1	4
104	бы в	1	4
105	зрения в	1	4
106	того времени	1	4
107	так же	3	4
108	долгое время	1	3
109	на самом	1	3
110	слова о	2	3
111	еще не	2	3
112	ответ на	1	3
113	перед нами	1	3
114	хотя и	3	3
115	не к	2	3
116	и вот	4	3
117	здесь мы	3	3
118	об этом	1	3
119	чаще всего	3	3
120	не мог	3	3
121	том что	12	3
122	уважение к	1	3
123	и тому	1	3
124	до того	1	3
125	может показаться	1	3
126	да и	3	3
127	но при	1	3
128	роль в	1	3
129	что у	2	3
130	во второй	3	3
131	и здесь	2	3
132	нуждается в	1	3
133	жизни и	1	3
134	только на	1	3
135	в данной	1	3
136	из них	10	3
137	не так	1	3
138	представить себе	1	3
139	в котором	4	3
140	в одном	8	3
141	от того	1	3
142	что и	4	3
143	и даже	5	3
144	и эта	1	3
145	конце концов	4	3
146	и уже	1	3
147	в тех	3	3
148	этого слова	1	3
149	в целом	3	3
150	в начале	3	3
151	и для	1	3
152	и все	3	3
153	главным образом	3	3
154	не знает	1	3
155	сказать что	1	3
156	к полному	1	2
157	также и	1	2
158	нас не	1	2
159	что эти	1	2
160	в какой-то	1	2
161	и больше	1	2
162	такой прием	2	2
163	со всех	1	2
164	вопрос о	3	2
165	ответить на	1	2
166	высказывания в	1	2
167	и он	1	2
168	иное как	1	2
169	но не	2	2
170	должны были	8	2
171	очевидно что	1	2
172	отношение к	3	2
173	как в	5	2
174	тех случаях	1	2
175	целый ряд	1	2
176	между двумя	1	2
177	представляет собой	1	2
178	чуть ли	1	2
179	бы не	1	2
180	и те	1	2
181	тому же	6	2
182	друг другу	1	2
183	к миру	1	2
184	и сам	3	2
185	по своему	3	2
186	человека в	1	2
187	значительной степени	1	2
188	связанные с	2	2
189	зрения на	1	2
190	ясно что	4	2
191	общества в	1	2
192	эти высказывания	1	2
193	с этим	1	2
194	в жизни	1	2
195	говорить в	1	2
196	в этих	1	2
197	ли он	1	2
198	в отношении	6	2
199	место в	3	2
200	в которых	1	2
201	в мире	1	2
202	которые в	1	2
203	однако в	3	2
204	который мы	1	2
205	в идеологическом	1	2
206	для каждого	1	2
207	своего героя	1	2
208	что иное	1	2
209	каждый из	3	2
210	этом отношении	3	2
211	за ними	1	2
212	в каком	1	2
213	от их	1	2
214	ли не	4	2
215	литературного творчества	1	2
216	с развитием	1	2
217	из всего	2	2
218	сознании человека	1	2
219	в дальнейшем	1	2
220	следовательно тем	1	2
221	и когда	1	2
222	с собой	1	2
223	из двух	1	2
224	времени и	2	2
225	подойти к	1	2
226	с ним	1	2
227	по своей	2	2
228	почему же	1	2
229	общественного сознания	1	2
230	в значительной	1	2
231	к нему	2	2
232	в середине	1	2
233	в том	11	2
234	тот же	3	2
235	одной из	3	2
236	что он	6	2
237	для всех	2	2
238	в душе	1	2
239	себе в	1	2
240	для них	2	2
241	заметить что	1	2
242	тем что	4	2
243	даже и	1	2
244	говорить и	1	2
245	миру и	1	2
246	к которому	3	2
247	еще и	2	2
248	до конца	2	2
249	должна была	2	2
250	связь с	1	2
251	и потому	1	2
252	из трех	1	2
253	в разговоре	1	2
254	из которых	2	2
255	смысле этого	1	2
256	в первой	2	2
257	возникновения и	1	2
258	материал для	1	2
259	или хотя	1	2
260	вторая группа	1	2
261	сих пор	2	2
262	но это	2	2
263	при всем	2	2
264	тому подобное	1	2
265	только одна	1	2
266	мы найдем	2	2
267	случаях когда	1	2
268	или в	2	2
269	а к	2	2
270	у них	1	2
271	несмотря на	4	2
272	с ней	1	2
273	не говоря	2	2
274	в частности	3	2
275	к этому	4	2
276	в своих	2	2
277	гораздо более	1	2
278	к людям	2	1
279	ту же	2	1
280	можно говорить	1	1
281	также что	1	1
282	одним из	1	1
283	же как	3	1
284	чтобы не	1	1
285	не остается	1	1
286	перед лицом	3	1
287	и всем	1	1
288	от всяких	1	1
289	встречаются на	1	1
290	от которых	1	1
291	в их	4	1
292	социальных отношений	1	1
293	из всех	2	1
294	для своего	1	1
295	мере за	1	1
296	превратилась в	1	1
297	именно к	1	1
298	в сущности	2	1
299	совпадает с	1	1
300	говорить о	1	1
301	принадлежит к	2	1
302	х годов	3	1
303	после первого	1	1
304	ему в	1	1
305	хотя конечно	1	1
306	того же	2	1
307	в каждой	1	1
308	ответа на	1	1
309	быть в	1	1
310	в чем	3	1
311	служит для	1	1
312	из сторон	1	1
313	и другие	1	1
314	к которой	1	1
315	если в	1	1
316	в общем	1	1
317	следующих за	1	1
318	к сожалению	2	1
319	относится к	2	1
320	в истории	5	1
321	вопросов которые	1	1
322	для создания	1	1
323	дает нам	1	1
324	в своем	1	1
325	однако не	1	1
326	когда он	1	1
327	не являются	1	1
328	и художественного	1	1
329	более или	1	1
330	то в	1	1
331	за собой	1	1
332	со своей	2	1
333	указания на	2	1
334	возможно что	1	1
335	он в	1	1
336	из этих	1	1
