N	2gram	Berdyaev_V_1	Formalny
1	и в	16	38
2	в этом	4	27
3	может быть	1	23
4	и не	20	20
5	в самом	1	16
6	не в	3	15
7	прежде всего	2	15
8	и т	2	14
9	в нем	4	13
10	но и	5	13
11	с его	3	11
12	с тем	2	11
13	в том	3	11
14	вовсе не	1	11
15	в его	4	10
16	не только	2	9
17	и с	1	9
18	как и	4	9
19	в процессе	1	9
20	все же	1	8
21	так и	4	8
22	что и	3	8
23	тем что	2	8
24	как мы	1	7
25	лишь в	3	7
26	для него	2	7
27	в своей	3	7
28	уже не	2	7
29	не могут	2	7
30	что в	3	7
31	и ее	1	6
32	в ней	4	6
33	в истории	8	6
34	все эти	3	6
35	в этой	1	6
36	то же	1	6
37	в их	1	6
38	могут быть	2	6
39	только в	2	6
40	то что	9	6
41	не было	3	6
42	вместе с	1	6
43	а не	7	6
44	в результате	1	6
45	хотя бы	3	6
46	а в	2	6
47	должна быть	3	5
48	в первый	3	5
49	говорить о	4	5
50	во всех	3	5
51	т д	2	5
52	что он	4	5
53	и для	3	5
54	бы в	1	5
55	во всяком	2	5
56	что оно	1	4
57	что они	7	4
58	как в	1	4
59	раз и	1	4
60	ничего не	1	4
61	к тому	3	4
62	но в	3	4
63	и теперь	2	4
64	что не	4	4
65	так как	9	4
66	другой стороны	1	4
67	как бы	5	4
68	лишь как	1	4
69	оно не	3	4
70	к этому	1	4
71	они не	1	4
72	и до	1	3
73	из всего	1	3
74	мы не	2	3
75	то это	3	3
76	зависимости от	1	3
77	и на	1	3
78	если в	1	3
79	материалом для	2	3
80	хотя и	5	3
81	от этого	3	3
82	что это	1	3
83	в целом	1	3
84	роль в	1	3
85	для них	2	3
86	но все	1	3
87	его с	1	3
88	не есть	6	3
89	того чтобы	2	3
90	к нему	1	3
91	того что	5	3
92	то и	1	3
93	менее всего	1	3
94	для того	1	3
95	с другой	1	3
96	от смысла	1	3
97	о возможности	1	3
98	их к	1	3
99	все это	5	3
100	и все	4	3
101	жизни и	3	3
102	и то	2	2
103	в практическом	1	2
104	его не	2	2
105	не была	1	2
106	он был	1	2
107	в последних	1	2
108	но не	2	2
109	но как	1	2
110	отношение к	1	2
111	со своей	1	2
112	в которой	1	2
113	уже в	1	2
114	важное место	1	2
115	они только	1	2
116	в понимании	1	2
117	не к	2	2
118	и по	1	2
119	на этом	1	2
120	то ни	1	2
121	и тем	1	2
122	ни в	3	2
123	от него	2	2
124	должно быть	3	2
125	том что	2	2
126	в этих	3	2
127	не так	2	2
128	их в	3	2
129	не могли	2	2
130	тому что	3	2
131	она не	1	2
132	и другое	1	2
133	не имеет	3	2
134	не по	1	2
135	находится в	1	2
136	никогда не	3	2
137	на котором	1	2
138	как она	1	2
139	чтобы сделать	2	2
140	всего в	2	2
141	что на	1	2
142	и это	2	2
143	значения и	2	2
144	в ее	1	2
145	ни стало	1	2
146	и от	1	2
147	мы в	1	2
