N	2gram	Bakhtin_Fr_5	Sotsiolo
1	истории литературы	1	10
2	все это	7	7
3	в том	10	5
4	в этом	14	5
5	и только	2	3
6	более чем	1	3
7	не только	14	3
8	и в	45	3
9	не в	7	3
10	в его	13	3
11	за пределы	1	2
12	как только	1	2
13	но и	10	2
14	и мы	1	2
15	было бы	2	2
16	к которому	1	2
17	исторического развития	1	2
18	только в	4	2
19	далеко не	1	2
20	нужно было	1	2
21	тем более	1	2
22	том что	7	2
23	в частности	1	2
24	как будто	1	2
25	то что	2	2
26	и что	2	2
27	еще не	1	2
28	ведь это	2	2
29	таким образом	8	2
30	это и	5	2
31	отношению к	1	2
32	в конце	7	2
33	что в	12	2
34	может быть	2	2
35	как бы	12	2
36	по отношению	1	2
37	по существу	3	2
38	то же	11	2
39	друг от	1	1
40	что все	2	1
41	право на	10	1
42	вряд ли	1	1
43	нашей работы	1	1
44	наконец в	1	1
45	даже в	2	1
46	в мире	1	1
47	в этой	6	1
48	тому что	1	1
49	более не	1	1
50	на все	2	1
51	стоит только	1	1
52	от окружающих	1	1
53	же этот	1	1
54	и самые	1	1
55	ни одно	1	1
56	его в	5	1
57	только для	2	1
58	ровно ничего	1	1
59	с ним	5	1
60	это не	3	1
61	на этот	3	1
62	именно в	3	1
63	в чем	2	1
64	и история	1	1
65	все же	2	1
66	один из	2	1
67	и есть	2	1
68	перед нами	4	1
69	в то	11	1
70	кто не	2	1
71	тем же	1	1
72	и наконец	2	1
73	еще и	3	1
74	том как	2	1
75	тем что	1	1
76	вопросом о	1	1
77	и как	5	1
78	в процессе	1	1
79	на ней	1	1
80	что он	6	1
81	тогда и	1	1
82	прежде всего	10	1
83	бы он	1	1
84	слова но	2	1
85	в них	6	1
86	так и	6	1
87	не было	3	1
88	те же	1	1
89	и не	15	1
90	в любой	1	1
91	это вовсе	1	1
92	полагает что	1	1
93	из себя	1	1
94	никогда не	1	1
95	он по	1	1
96	мы не	4	1
97	со своими	1	1
98	же время	9	1
99	ничего не	4	1
100	между собою	4	1
101	мы еще	2	1
102	развития и	1	1
103	и о	4	1
104	связь между	1	1
105	все эти	5	1
106	именно на	1	1
107	как и	10	1
108	бы в	4	1
109	с помощью	3	1
110	для этого	1	1
111	что автор	1	1
112	их на	1	1
113	в сущности	4	1
114	но она	3	1
115	образом в	1	1
116	конечно не	2	1
117	в связи	5	1
118	и его	13	1
119	связи с	6	1
120	от друга	1	1
121	хотя бы	2	1
122	в целом	2	1
123	истины как	1	1
124	не может	5	1
125	в своей	3	1
126	только тогда	1	1
127	своих мыслей	1	1
128	не от	1	1
129	а в	4	1
130	тех кто	1	1
131	благодаря этому	2	1
132	самому существу	2	1
133	что она	3	1
134	о том	4	1
135	не дает	1	1
136	в области	1	1
137	и потому	1	1
138	же это	1	1
139	больше того	1	1
140	он ни	1	1
141	но именно	2	1
142	в котором	1	1
143	никак не	1	1
144	в строгом	1	1
145	между ними	1	1
146	темы и	1	1
147	все то	1	1
148	столь же	1	1
149	время в	1	1
150	ни на	1	1
151	в конечном	1	1
152	что это	2	1
153	вовсе не	8	1
154	не исчерпываются	1	1
155	жизни он	3	1
156	но сам	1	1
157	же самое	2	1
158	в заключение	3	1
159	но не	4	1
160	у него	4	1
161	в виде	1	1
162	в данном	2	1
163	между тем	2	1
164	существу это	1	1
165	но как	1	1
166	и по	1	1
167	что на	3	1
168	конечном счете	1	1
169	единство не	1	1
170	и более	1	1
171	во всяком	1	1
172	и будет	1	1
173	в каждом	2	1
174	они не	1	1
