N	2gram	Propp_Isto_2	ViktorSh
1	в книге	1	3
2	и в	15	2
3	том что	7	2
4	в том	6	2
5	и только	2	1
6	есть ряд	1	1
7	нет есть	1	1
8	здесь достаточно	1	1
9	ни к	1	1
10	сказать чтобы	1	1
11	в другом	9	1
12	хотя бы	2	1
13	и не	11	1
14	и его	3	1
15	потому что	9	1
16	я не	2	1
17	сводится к	1	1
18	и то	2	1
19	самом деле	2	1
20	другом месте	2	1
21	все это	3	1
22	совершенно ясно	2	1
23	от других	1	1
24	именно в	2	1
25	главным образом	2	1
26	в их	3	1
27	то чего	3	1
28	это далеко	1	1
29	в частности	1	1
30	так в	3	1
31	время в	1	1
32	в которых	2	1
33	в самом	1	1
34	для них	1	1
35	только в	6	1
36	роли не	1	1
37	то же	10	1
38	говорится в	2	1
39	так как	14	1
40	далеко не	1	1
41	к чему	2	1
42	не будем	4	1
43	но это	4	1
44	в этом	11	1
45	да и	2	1
46	имеется в	2	1
47	а только	1	1
48	по существу	2	1
49	к этому	1	1
50	за свою	1	1
51	связанным с	1	1
