N	4gram	Vinokur_Vv_1	StatiiOP
1	дело в том что	2	4
2	в том что в	1	2
3	в той мере в	4	2
4	той мере в какой	4	2
5	бы то ни было	1	2
6	если принять во внимание	1	2
7	для того чтобы можно	1	1
8	в отличие от других	1	1
9	уже о том что	1	1
10	заключается в том что	2	1
11	но нужно сказать что	1	1
12	говоря уже о том	1	1
13	виде в каком он	1	1
14	точно так же как	1	1
15	бы уже потому что	1	1
16	одно и то же	1	1
17	мере в какой они	1	1
18	того чтобы можно было	1	1
19	в том-то и дело	1	1
20	с тем что в	1	1
21	но вместе с тем	1	1
22	сомнений в том что	1	1
23	в то же время	5	1
24	как раз ко времени	1	1
25	хотя бы уже потому	1	1
26	ответ на вопрос о	1	1
27	не говоря уже о	1	1
28	тот факт что история	1	1
