N	2gram	Vinokur_Ku_3	VrazhdaK
1	у тургенева	1	11
2	не только	17	9
3	в этом	16	8
4	и в	23	8
5	и что	7	8
6	тургенева в	1	7
7	но и	3	7
8	то что	4	7
9	что в	13	7
10	все же	5	6
11	но в	2	6
12	как и	5	6
13	в котором	2	6
14	и с	3	6
15	о нем	1	6
16	в начале	1	6
17	то же	6	5
18	в то	3	5
19	же время	1	5
20	между тем	4	5
21	не было	4	5
22	в россии	2	5
23	и не	10	5
24	в ней	3	4
25	что он	6	4
26	целый ряд	4	4
27	при этом	6	4
28	это не	3	4
29	несмотря на	1	4
30	февраля года	1	4
31	все это	2	4
32	в виду	8	4
33	о том	6	4
34	для нас	4	4
35	уже в	3	4
36	может быть	14	4
37	как бы	5	4
38	так же	2	4
39	речь идет	3	3
40	я не	5	3
41	в чем	5	3
42	в своем	4	3
43	и как	2	3
44	раз в	1	3
45	его в	2	3
46	он не	3	3
47	далеко не	5	3
48	и уже	1	3
49	том что	11	3
50	но он	1	3
51	что есть	2	3
52	в русской	1	3
53	и его	1	3
54	связи с	6	3
55	и о	4	3
56	в его	11	3
57	в том	22	3
58	давно уже	1	3
59	тем что	5	3
60	в связи	5	3
61	в те	1	3
62	эти слова	2	3
63	наряду с	1	3
64	т е	32	3
65	к этому	1	3
66	отношения к	1	2
67	же как	1	2
68	и то	1	2
69	на место	1	2
70	он сам	1	2
71	столь же	4	2
72	но как	3	2
73	тогда как	1	2
74	он пишет	2	2
75	отнюдь не	3	2
76	в известном	2	2
77	в той	4	2
78	в себе	1	2
79	после этого	1	2
80	в нашей	4	2
81	таким образом	9	2
82	в одну	1	2
83	рядом с	1	2
84	а с	3	2
85	мы знаем	1	2
86	не мог	1	2
87	в эту	1	2
88	во время	1	2
89	точки зрения	23	2
90	в своей	4	2
91	и ее	1	2
92	с точки	16	2
93	не менее	12	2
94	никогда не	1	2
95	п в	3	2
96	мысли на	1	2
97	на это	1	2
98	на основе	1	2
99	так в	2	2
100	еще не	9	2
101	а также	4	2
102	тем более	5	2
103	что ж	1	2
104	уже не	8	2
105	при помощи	1	2
106	для него	1	2
107	отношение к	3	2
108	как раз	4	2
109	как же	3	2
110	о чем	2	2
111	начиная с	1	2
112	этот рассказ	1	2
113	не может	6	2
114	вместе с	2	2
115	в него	1	2
116	выписку из	1	2
117	но это	5	2
118	что я	1	2
119	же в	1	2
120	а в	5	2
121	в период	1	2
122	в свою	1	2
123	это в	2	2
124	вряд ли	1	1
125	можно говорить	10	1
126	также и	5	1
127	слова сказал	1	1
128	доступ в	1	1
129	того же	4	1
130	три строки	1	1
131	это и	3	1
132	идет о	1	1
133	и есть	5	1
134	что слово	3	1
135	по преимуществу	3	1
136	не принимая	1	1
137	уже по	1	1
138	в их	6	1
139	из всех	1	1
140	знать его	1	1
141	той же	3	1
142	именно к	1	1
143	иметь никакого	1	1
144	равно как	2	1
145	говорить о	6	1
146	в полной	1	1
147	в составе	1	1
148	в числе	4	1
149	конкретных фактов	1	1
150	литературе и	1	1
151	одном из	1	1
152	как ему	1	1
153	а еще	1	1
154	содержания в	2	1
155	по своему	2	1
156	но не	3	1
157	а тем	2	1
158	же на	1	1
159	в сторону	1	1
160	не все	2	1
161	тут же	1	1
162	литераторы но	1	1
163	что они	2	1
164	и я	2	1
165	же с	1	1
166	независимо от	5	1
167	как в	4	1
168	с этим	1	1
169	дает нам	2	1
170	как к	2	1
171	что как	3	1
172	каким-то образом	1	1
173	россии не	1	1
174	роль играет	1	1
175	то в	3	1
176	в самом	13	1
177	что это	3	1
178	мы получаем	1	1
179	в целом	4	1
180	что же	5	1
181	тому же	3	1
182	как он	2	1
183	не могла	1	1
184	от которого	1	1
185	в первой	1	1
186	всех этих	1	1
187	же это	2	1
188	чем у	1	1
189	ведь не	1	1
190	в силу	6	1
191	этот процесс	1	1
192	сказал что	1	1
193	однако в	2	1
194	это конечно	2	1
195	не будет	1	1
196	конечно в	1	1
197	заключается в	4	1
198	не хуже	1	1
199	было бы	16	1
200	не ясно	1	1
201	человек который	1	1
202	этого не	1	1
203	не всегда	1	1
204	во внимание	5	1
205	года и	1	1
206	такой же	2	1
207	одного и	2	1
208	со мной	1	1
209	в этих	2	1
210	в войне	1	1
211	и их	1	1
212	всяком случае	1	1
213	учиться у	1	1
214	свое понимание	1	1
215	представление о	1	1
216	своего рода	2	1
217	сам же	2	1
218	войне и	1	1
219	не будем	5	1
220	ряда других	2	1
221	тем не	9	1
222	по крайней	1	1
223	есть еще	1	1
224	и верной	1	1
225	не должна	1	1
226	а вот	2	1
227	раз и	2	1
228	так он	1	1
229	тем самым	4	1
230	от нас	2	1
231	разумеется при	2	1
232	в какую-то	1	1
233	не имеет	3	1
234	правда в	1	1
235	первая часть	1	1
236	в процессе	3	1
237	как о	3	1
238	реального значения	1	1
239	также что	2	1
240	только не	1	1
241	следовательно и	1	1
242	нельзя не	2	1
243	использованы в	1	1
244	ничего не	6	1
245	того как	7	1
246	приближаемся к	1	1
247	иными словами	8	1
248	мыслей и	1	1
249	того в	1	1
250	более что	2	1
251	по своей	1	1
252	такая же	2	1
253	и мире	1	1
254	это слово	1	1
255	потому что	12	1
256	эту сторону	2	1
257	в каком	3	1
