N	2gram	Bakhtin_fo_2	Narrotol
1	не только	11	26
2	а не	4	17
3	но и	9	15
4	при этом	6	14
5	в том	10	14
6	в качестве	3	14
7	и не	9	14
8	в этом	22	13
9	и в	46	13
10	том что	4	13
11	только в	11	11
12	в частности	5	11
13	может быть	7	10
14	в данном	2	10
15	сводится к	1	9
16	так и	7	9
17	то есть	10	9
18	к тому	3	9
19	а в	3	9
20	в себе	4	8
21	то что	7	8
22	не в	9	8
23	картина мира	2	8
24	не может	2	8
25	к себе	4	7
26	у него	9	6
27	в своем	5	6
28	все же	6	6
29	и к	2	6
30	но в	10	6
31	никогда не	6	6
32	данном случае	1	6
33	и т.п	2	6
34	можно сказать	2	6
35	а также	3	6
36	в его	8	6
37	того что	3	6
38	прежде всего	14	6
39	как бы	10	6
40	жизни в	4	6
41	отличие от	1	5
42	что он	3	5
43	как в	4	5
44	хотя и	3	5
45	в нем	5	5
46	он не	5	5
47	таким образом	3	5
48	на протяжении	3	5
49	и тем	1	5
50	далеко не	2	5
51	точки зрения	10	5
52	в котором	4	5
53	место в	4	5
54	не столько	1	5
55	в то	5	5
56	на него	1	5
57	о том	4	5
58	в форме	3	5
59	с одной	2	5
60	с другой	2	5
61	одной стороны	1	5
62	себе самому	3	5
63	в той	2	5
64	в отличие	1	5
65	то же	8	4
66	в ее	1	4
67	в этой	2	4
68	отнюдь не	4	4
69	о жизни	1	4
70	уже не	3	4
71	в мире	4	4
72	об этом	1	4
73	все его	4	4
74	и уже	1	4
75	в своей	1	4
76	в конце	2	4
77	но при	1	4
78	в себя	2	4
79	времени и	1	4
80	если бы	1	4
81	как у	3	4
82	и т.д	1	4
83	в другом	3	4
84	свидетельствует о	1	4
85	для него	3	4
86	в рассказе	1	4
87	как и	8	4
88	мира в	3	4
89	как это	2	4
90	в литературе	2	4
91	не является	3	4
92	и все	6	4
93	с ним	4	4
94	же в	4	4
95	и у	5	4
96	жизни и	8	4
97	что в	5	4
98	все что	2	4
99	для себя	1	3
100	самом деле	1	3
101	а как	1	3
102	мы имеем	2	3
103	жизни так	1	3
104	с его	1	3
105	но не	5	3
106	что они	4	3
107	все эти	5	3
108	и его	12	3
109	особое место	2	3
110	так сказать	7	3
111	и по	3	3
112	характер и	1	3
113	которой он	2	3
114	и того	1	3
115	точку зрения	1	3
116	тому что	1	3
117	одна из	1	3
118	того чтобы	8	3
119	же время	4	3
120	по своей	1	3
121	этом отношении	2	3
122	той или	1	3
123	и сам	1	3
124	мира и	9	3
125	строго говоря	2	3
126	между собой	1	3
127	внимание на	1	3
128	за пределами	1	3
129	существенную роль	1	3
130	это не	2	3
131	один из	2	3
132	никак не	1	3
133	между тем	1	3
134	то и	1	3
135	для других	3	3
136	и даже	3	3
137	или иной	2	3
138	человек в	2	3
139	да и	1	3
140	с этой	4	3
141	в аспекте	2	3
142	и для	9	3
143	сказать что	1	3
144	в таком	1	3
145	и т	14	2
146	должна быть	1	2
147	мы не	1	2
148	своих героев	1	2
149	ему в	3	2
150	в будущем	1	2
151	подчеркнуть что	1	2
152	в каждой	1	2
153	в ней	1	2
154	еще не	6	2
155	он сам	1	2
156	в чем	1	2
157	иного рода	1	2
158	на самом	1	2
159	себе и	1	2
160	однако не	1	2
161	как уже	3	2
162	не являются	1	2
163	в самом	1	2
164	в нашем	1	2
165	из этих	4	2
166	роль в	3	2
167	как он	2	2
168	в случае	1	2
169	вследствие этого	1	2
170	чтобы в	1	2
171	было бы	2	2
172	должен был	1	2
173	со своими	2	2
174	несмотря на	1	2
175	бы на	1	2
176	за которым	1	2
177	с точки	8	2
178	и что	1	2
179	жизни с	2	2
180	от его	1	2
181	стало быть	1	2
182	но он	2	2
183	с такою	2	2
184	и более	2	2
185	однако в	1	2
186	не имеет	1	2
187	говорить о	2	2
188	картины мира	2	2
189	потому что	8	2
190	у нас	2	2
191	и здесь	1	2
192	но одновременно	1	2
193	имеет место	3	2
194	оно не	1	2
195	и он	4	2
196	здесь не	2	2
197	себе самом	1	2
198	на свой	1	2
199	те же	6	2
200	том как	3	2
201	действия но	1	2
202	что и	3	2
203	представления о	1	2
204	и дело	1	2
205	дело с	1	2
206	со всеми	2	2
207	себя в	1	2
208	с нею	1	2
209	в виде	1	2
210	участие в	1	2
211	на одном	1	2
212	т п	11	2
213	вовсе не	13	2
214	именно в	2	2
215	бытия в	1	2
216	в настоящем	1	2
217	и развязка	1	2
218	картину мира	7	2
219	если не	2	2
220	так же	2	2
221	в него	1	2
222	по своему	2	2
223	о чем	3	2
224	его жизни	4	2
225	а потом	2	2
226	но это	2	2
227	видно что	1	2
228	ни для	2	2
229	говоря это	1	2
230	картине мира	2	2
231	в результате	1	2
232	интерес к	1	2
233	бы в	1	2
234	тем более	3	2
235	во время	10	2
236	в свою	1	2
237	по поводу	1	2
238	как на	2	2
239	они не	1	2
240	эта новая	1	1
241	и шире	1	1
242	как все	1	1
243	говоря о	1	1
244	отношения к	4	1
245	также и	4	1
246	например в	1	1
247	относится и	1	1
248	начинается с	1	1
249	словами и	1	1
250	это и	1	1
251	каждый из	2	1
252	тем же	2	1
253	чего не	1	1
254	смерть в	1	1
255	видеть в	1	1
256	самое замечательное	1	1
257	на материале	1	1
258	вопрос о	1	1
259	более не	1	1
260	как то	1	1
261	и злых	2	1
262	вместо того	1	1
263	его детства	1	1
264	совершенно чужда	1	1
265	так называемые	1	1
266	реальным и	1	1
267	это время	1	1
268	проявляется в	1	1
269	и говорить	1	1
270	напротив они	1	1
271	в уста	2	1
272	видения жизни	1	1
273	сам а	1	1
274	во всех	11	1
275	бы она	2	1
276	могло быть	1	1
277	не входит	1	1
278	в общем	1	1
279	отношение к	3	1
280	за пределы	1	1
281	природа в	1	1
282	как говорит	1	1
283	наряду с	2	1
284	первый взгляд	1	1
285	в одной	2	1
286	своей жизни	2	1
287	до его	1	1
288	не определяется	1	1
289	им в	1	1
290	и как	3	1
291	и наконец	6	1
292	его к	1	1
293	для которой	1	1
294	здесь и	1	1
295	вовлекается в	1	1
296	то в	2	1
297	за свои	1	1
298	плане как	1	1
299	точкой зрения	1	1
300	в которой	1	1
301	бы и	1	1
302	бы не	1	1
303	в главе	7	1
304	по преимуществу	1	1
305	своей судьбой	1	1
306	совершенно новые	1	1
307	есть на	1	1
308	не могла	2	1
309	быть только	1	1
310	и стало	1	1
311	после этого	2	1
312	и школы	1	1
313	сказал что	2	1
314	мифы о	1	1
315	в пространственно-временной	1	1
316	в формах	1	1
317	быть самим	1	1
318	это видение	1	1
319	из него	1	1
320	никому не	1	1
321	на этом	2	1
322	людей и	2	1
323	прежде чем	3	1
324	с собой	1	1
325	исходя из	1	1
326	здесь мы	3	1
327	и характер	1	1
328	и внутренняя	1	1
329	в будущее	1	1
330	есть не	1	1
331	с прошлым	1	1
332	этого как	1	1
333	это свидетельствует	1	1
334	новой жизни	3	1
335	добрых и	2	1
336	в новое	1	1
337	в это	3	1
338	смерть и	8	1
339	ни в	1	1
340	но мы	1	1
341	как об	1	1
342	пространственных и	1	1
343	молитвы на	1	1
344	новые формы	1	1
345	жизни но	2	1
346	становится и	1	1
347	на кухне	2	1
348	должно быть	5	1
349	при виде	3	1
350	автора и	2	1
351	не мог	2	1
352	между ними	2	1
353	одного и	1	1
354	на первый	3	1
355	где жизнь	1	1
356	есть в	1	1
357	женщин и	2	1
358	целого но	1	1
359	еще нет	3	1
360	и толстого	1	1
361	в которых	3	1
362	самого умирающего	1	1
363	право говорить	1	1
364	другом и	1	1
365	через посредство	1	1
366	что было	3	1
367	мира на	1	1
368	их в	4	1
369	не могли	3	1
370	сердца и	1	1
371	и долго	1	1
372	новое и	3	1
373	связи с	8	1
374	раз и	1	1
375	нет никакого	1	1
376	ему как	1	1
377	что есть	1	1
378	в отношении	2	1
379	ни казались	1	1
380	при всех	1	1
381	вплоть до	2	1
382	для последующего	1	1
383	как можно	3	1
384	с которой	1	1
385	она не	2	1
386	иной раз	1	1
387	на котором	2	1
388	и притом	1	1
389	в основе	6	1
390	время как	1	1
391	чем не	2	1
392	того и	1	1
393	такова что	1	1
394	этом процессе	1	1
395	и лишь	1	1
396	более что	2	1
397	такая же	1	1
398	у шекспира	1	1
399	не по	1	1
400	только с	1	1
401	и молитвы	1	1
402	глубокого чувства	1	1
403	может показаться	1	1
404	от ее	1	1
405	раскрывается в	1	1
406	и времени	6	1
407	принадлежит к	2	1
408	не могут	1	1
409	на границе	3	1
410	города в	1	1
411	во все	2	1
412	как только	1	1
413	же самое	3	1
414	как для	1	1
415	в полной	1	1
416	если же	1	1
417	как мы	6	1
418	и о	2	1
419	эти не	2	1
420	с ее	1	1
421	что все	2	1
422	в виду	3	1
423	границе между	1	1
424	появляется в	1	1
425	для читателя	1	1
426	в организации	1	1
427	случае смерть	1	1
