N	3gram	Vinokur_St_3	Problemy
1	с точки зрения	4	9
2	до сих пор	2	8
3	не может быть	5	8
4	то же время	3	5
5	в то же	3	5
6	в самом деле	1	4
7	более или менее	1	3
8	сам по себе	1	3
9	с другой стороны	4	3
10	мы имеем в	2	3
11	на себя внимание	1	2
12	в этом смысле	4	2
13	и в других	1	2
14	но и в	2	2
15	можно было бы	1	2
16	в том что	11	2
17	о том что	4	2
18	в свое время	1	2
19	можно сказать что	1	2
20	да еще и	1	2
21	в одном из	1	2
22	той или иной	1	2
23	и не в	2	2
24	каждая из этих	1	1
25	и в конце	1	1
26	у пушкина но	1	1
27	сплошь да рядом	1	1
28	не может не	1	1
29	в той или	1	1
30	иметь в виду	1	1
31	прежде всего в	3	1
32	в известной степени	1	1
33	и так сказать	1	1
34	но каждая из	1	1
35	том что он	1	1
36	и в некоторых	1	1
37	в том же	1	1
38	не было и	1	1
39	в мировой литературе	3	1
40	явления о которых	1	1
41	является одним из	1	1
42	точки зрения своей	1	1
43	между тем как	2	1
44	и в этих	2	1
45	и в речи	1	1
46	не знает что	1	1
47	бы совершенно иной	1	1
48	но в последующих	1	1
49	что мы имеем	2	1
50	на этой почве	1	1
51	и на другое	1	1
52	с одной стороны	2	1
53	в конце концов	3	1
54	а как бы	1	1
55	отношение к слову	1	1
56	так или иначе	1	1
57	в связи с	3	1
58	ни на что	1	1
59	совершенно иной если	1	1
60	во всяком случае	4	1
61	иной если бы	1	1
62	пушкина в борисе	3	1
63	так как его	1	1
64	в борисе годунове	38	1
65	конечно не было	1	1
66	что совершается в	1	1
67	на тему о	2	1
68	была бы совершенно	1	1
69	я хотел бы	1	1
70	в собственном смысле	1	1
71	с самого начала	2	1
72	место в жизни	1	1
73	не только в	3	1
74	мы находим и	1	1
75	но все же	2	1
76	а не на	1	1
77	к смертной казни	2	1
78	на что другое	1	1
79	в позднейшем творчестве	1	1
80	и на почве	1	1
81	к тому что	2	1
82	дело не в	1	1
