N	3gram	Propp_Isto_7	UchenyiS
1	не может быть	3	4
2	с другой стороны	8	3
3	бы то ни	1	3
4	то ни было	1	3
5	в самом деле	1	2
6	то же самое	1	2
7	до сих пор	2	2
8	в том что	4	2
9	и в конце	1	1
10	в своей работе	1	1
11	все же не	1	1
12	она все же	1	1
13	что по его	1	1
14	более или менее	1	1
15	одним из самых	1	1
16	в этом случае	1	1
17	что она все	1	1
18	это не вполне	1	1
19	не входит в	1	1
20	таким образом на	1	1
21	но это не	2	1
22	и все они	1	1
23	еще один пример	1	1
24	мы имеем в	4	1
25	и у других	1	1
26	конечно не в	1	1
27	все это в	1	1
28	в данном случае	3	1
29	дело конечно не	1	1
30	не только в	5	1
31	с одной стороны	4	1
32	на первый взгляд	4	1
