N	3gram	Trubetskoy_1	FransuaR
1	то же время	2	9
2	в то же	2	9
3	в том числе	5	4
4	после того как	1	4
5	в конце концов	3	4
6	в свою очередь	1	3
7	с точки зрения	6	3
8	но в то	1	3
9	мы уже говорили	1	3
10	так и в	1	3
11	в том что	3	3
12	а следовательно и	1	2
13	по отношению к	1	2
14	более или менее	5	2
15	имеем в виду	1	2
16	о том как	1	2
17	но по существу	1	2
18	но все это	2	2
19	в этом отношении	2	2
20	том числе и	4	2
21	то есть о	1	2
22	те и другие	2	2
23	и в этой	1	2
24	же что и	1	2
25	и есть то	1	2
26	что и у	1	2
27	мы имеем в	1	2
28	и те и	2	2
29	и в сущности	1	1
30	два с половиной	1	1
31	что в этом	1	1
32	и связанные с	2	1
33	оказывается что все	1	1
34	находит свое завершение	1	1
35	то же самое	2	1
36	с половиной века	1	1
37	души от тела	1	1
38	с представлением о	1	1
39	с тем что	1	1
40	верхом и низом	3	1
41	в этом процессе	1	1
42	в данном случае	1	1
43	рождение и смерть	1	1
44	говорить не приходится	1	1
45	и в этом	2	1
46	о том что	4	1
47	не только для	2	1
48	в том или	1	1
49	в связи с	3	1
50	оценке с точки	1	1
51	у него в	1	1
52	таким образом в	2	1
53	во всяком случае	6	1
54	том что они	1	1
55	это и есть	1	1
56	в первом случае	1	1
57	ничего общего с	2	1
58	в одном из	1	1
59	но и для	2	1
60	с самого начала	2	1
61	к тому же	4	1
62	именно потому что	1	1
63	и по своим	1	1
64	мы видим что	1	1
65	тем что в	1	1
66	свидетельствует о том	1	1
67	том или ином	1	1
68	как в прямом	1	1
