N	3gram	Tiupa_Disk_1	Freidism
1	с точки зрения	1	11
2	по отношению к	9	8
3	во всяком случае	1	7
4	не может быть	3	7
5	в большинстве случаев	1	5
6	и прежде всего	1	5
7	то же время	4	4
8	в то же	3	4
9	в данном случае	2	4
10	на самом деле	1	4
11	можно сказать что	2	4
12	как мы видели	1	4
13	в таком случае	1	3
14	в следующей главе	1	3
15	в свою очередь	3	3
16	прежде всего к	1	3
17	с самого начала	1	3
18	в конечном счете	1	3
19	а потому и	1	2
20	то же самое	2	2
21	что же касается	2	2
22	до сих пор	1	2
23	и не может	1	2
24	в отличие от	4	2
25	во всех областях	1	2
26	это прежде всего	3	2
27	так и в	1	2
28	а с другой	3	2
29	в этом отношении	1	2
30	это и есть	1	2
31	с одной стороны	9	2
32	тем не менее	1	2
33	в своей основе	1	2
34	том что в	2	1
35	том что с	1	1
36	и может быть	1	1
37	нет и не	1	1
38	точка зрения на	1	1
39	только потому что	1	1
40	обнаруживает себя в	1	1
41	это как будто	1	1
42	в котором он	1	1
43	и даже не	1	1
44	что всякое конкретное	1	1
45	в этом случае	1	1
46	как раз и	1	1
47	в котором они	1	1
48	как и все	1	1
49	хотя бы и	1	1
50	оно не связано	1	1
51	до известной степени	1	1
52	только то что	1	1
53	во всех этих	1	1
54	суть такие же	1	1
55	по аналогии с	1	1
56	из того что	1	1
57	лежат в основе	1	1
58	в основе своей	2	1
59	а иногда и	1	1
60	по крайней мере	2	1
61	еще не знает	1	1
62	его таким образом	1	1
63	далеко не всегда	1	1
64	но при этом	3	1
65	как будто бы	1	1
66	если и не	1	1
67	здесь имеет место	1	1
68	одни и те	1	1
69	к той же	1	1
70	в целом ряде	1	1
71	ситуации в которой	1	1
72	можно определить как	2	1
73	они и не	1	1
74	всякое конкретное высказывание	1	1
75	могут восприниматься как	1	1
76	имея в виду	1	1
77	сказать и о	2	1
78	о том что	5	1
79	и те же	1	1
80	той или иной	3	1
81	но все же	1	1
82	или во всяком	1	1
83	в этом смысле	1	1
84	на себя и	1	1
85	и на протяжении	1	1
86	еще не сложилось	1	1
87	во всех его	1	1
88	в том что	13	1
89	при этом как	1	1
