N	2gram	Tiupa_Lite_2	BTomashe
1	у нас	5	3
2	и не	11	2
3	в ней	4	2
4	можно было	1	2
5	крайней мере	2	1
6	за пределы	1	1
7	и в	19	1
8	не вполне	2	1
9	и о	1	1
10	с другой	8	1
11	в своей	1	1
12	на самом	1	1
13	не следует	1	1
14	и нет	2	1
15	было бы	2	1
16	все же	2	1
17	о художественной	1	1
18	никак не	1	1
19	словесного творчества	1	1
20	еще не	2	1
21	и на	6	1
22	в пределах	1	1
23	по нашему	1	1
24	одной из	2	1
25	должна быть	1	1
26	бы пожалуй	1	1
27	прежде всего	4	1
28	в данном	3	1
29	так и	7	1
30	не было	2	1
31	то как	2	1
32	его не	1	1
33	нашему мнению	1	1
34	далеко не	1	1
35	всего в	1	1
36	до конца	2	1
37	неудивительно что	1	1
38	а не	20	1
39	что в	4	1
40	в области	4	1
41	другой стороны	4	1
42	также не	1	1
43	не все	1	1
44	так по	1	1
45	по крайней	2	1
46	отнюдь не	4	1
47	признать его	1	1
48	таким образом	1	1
49	и потому	1	1
50	не только	8	1
