N	3gram	Propp_Isto_2	Otkroven
1	что у него	1	2
2	не может быть	2	2
3	но и в	2	2
4	с тем что	3	2
5	он прежде всего	1	2
6	его не было	1	1
7	смысле этого слова	1	1
8	в другом месте	2	1
9	говорят о том	1	1
10	том что в	1	1
11	о том как	1	1
12	должен был бы	1	1
13	бросается в глаза	1	1
14	да и то	1	1
15	и когда он	1	1
16	человека а не	1	1
17	не думаю чтобы	1	1
18	сам по себе	1	1
19	после того как	2	1
20	о том что	2	1
21	но никогда не	1	1
22	и прежде всего	1	1
23	в том что	5	1
24	на то что	2	1
25	дома но и	1	1
26	друг с другом	1	1
27	связана с тем	1	1
28	что это за	2	1
29	вместо того чтобы	2	1
30	что он был	1	1
31	ни с каким	1	1
32	в одно время	1	1
33	и в его	1	1
34	он подошел к	1	1
