N	3gram	Losev_Prob_5	Sovremen
1	с точки зрения	8	5
2	не может быть	2	4
3	с самого начала	1	3
4	тем не менее	5	2
5	во всяком случае	2	2
6	в настоящее время	3	2
7	не будет ли	1	1
8	же мере в	1	1
9	такой же мере	1	1
10	что иное как	3	1
11	и в этом	1	1
12	по крайней мере	4	1
13	в такой же	1	1
14	в дальнейшем и	1	1
15	в связи с	7	1
16	дело в том	2	1
17	по отношению к	2	1
18	равно как и	2	1
19	на самом деле	1	1
20	и до сих	1	1
21	в новое время	3	1
22	в этом смысле	3	1
23	и все же	1	1
24	и вообще на	1	1
25	до сих пор	2	1
26	то же время	1	1
27	но тем не	1	1
28	по аналогии с	1	1
29	друг на друга	1	1
30	при этом само	1	1
31	что в ней	1	1
32	бы то ни	2	1
33	не имеет с	1	1
34	xix в и	1	1
35	ни о каком	1	1
36	в и в	1	1
37	можно было бы	1	1
38	в самом деле	1	1
39	по его мнению	1	1
40	все же в	1	1
41	но никогда не	1	1
42	той или иной	1	1
43	но все же	2	1
44	в древней греции	1	1
45	может быть только	3	1
46	и что она	1	1
47	в то же	1	1
48	который как бы	1	1
49	не что иное	3	1
50	в том что	8	1
51	в данном случае	2	1
52	общего не имеет	1	1
53	то ни было	1	1
54	с одной стороны	3	1
55	ничего общего не	1	1
56	тот факт что	1	1
