N	2gram	Ircho_Kome_1	Vladivir
1	и в	22	40
2	то что	2	28
3	не только	10	25
4	и не	8	25
5	у него	3	24
6	то есть	1	24
7	том что	12	18
8	в том	11	18
9	но и	11	18
10	еще и	2	18
11	также и	1	17
12	что в	6	17
13	в этом	3	16
14	в его	5	14
15	так что	1	14
16	не может	2	14
17	в виде	3	13
18	точки зрения	4	13
19	вовсе не	2	13
20	только в	3	13
21	в конце	6	12
22	даже и	1	12
23	сказать что	1	12
24	едва ли	7	11
25	потому что	5	11
26	таким образом	8	11
27	о том	8	11
28	в году	3	10
29	ни в	6	10
30	тем не	2	10
31	и его	8	10
32	то это	1	10
33	прежде всего	5	10
34	как раз	3	10
35	и потому	1	10
36	что это	1	9
37	в себе	2	9
38	и с	3	9
39	не менее	3	9
40	что же	1	9
41	как мы	4	8
42	в своем	1	8
43	в этой	7	8
44	он не	3	8
45	и что	1	8
46	а также	4	8
47	может быть	9	8
48	так же	3	8
49	а только	1	7
50	хотя и	3	7
51	и как	3	7
52	что все	1	7
53	с тем	1	7
54	как и	9	7
55	несмотря на	4	7
56	в то	10	7
57	мы бы	1	7
58	там же	3	7
59	что и	4	7
60	того что	1	7
61	так как	4	7
62	вместе с	2	7
63	к тому	6	7
64	а в	6	7
65	в своих	2	7
66	и на	3	6
67	то в	1	6
68	не мог	3	6
69	по себе	1	6
70	во всем	1	6
71	и это	1	6
72	так и	5	6
73	об этом	1	6
74	и здесь	2	6
75	почему же	1	6
76	и даже	5	6
77	да и	3	6
78	но это	2	6
79	хотя бы	1	6
80	мы уже	1	5
81	в ней	1	5
82	совсем не	2	5
83	отнюдь не	1	5
84	в истории	5	5
85	более или	1	5
86	тому же	6	5
87	можно было	1	5
88	же касается	1	5
89	или менее	2	5
90	но если	1	5
91	в отношении	6	5
92	тем что	4	5
93	ничего не	3	5
94	у нас	3	5
95	для себя	2	5
96	еще в	5	5
97	с другой	5	5
98	конце концов	4	5
99	что он	6	5
100	только на	1	5
101	в одном	8	5
102	не говорит	1	5
103	в данном	1	5
104	между прочим	2	5
105	в самом	2	4
106	то же	6	4
107	и о	3	4
108	вопрос о	3	4
109	еще не	2	4
110	но не	2	4
111	все же	3	4
112	но в	4	4
113	на то	3	4
114	было бы	2	4
115	такой же	2	4
116	в котором	4	4
117	даже в	3	4
118	тому что	1	4
119	в каком	1	4
120	только при	2	4
121	то время	5	4
122	в дальнейшем	1	4
123	в глаза	1	4
124	мог бы	2	4
125	утверждает что	1	4
126	и можно	2	4
127	по мнению	1	4
128	от того	1	4
129	здесь в	3	4
130	а с	1	4
131	до конца	2	4
132	и все	3	4
133	как это	3	4
134	если оно	1	4
135	в течение	3	4
136	такого рода	6	4
137	по существу	1	4
138	то следовательно	1	4
139	в основном	1	4
140	в результате	4	4
141	же как	3	3
142	на самом	1	3
143	бы то	2	3
144	в чем	3	3
145	не все	1	3
146	отличие от	2	3
147	за пределы	2	3
148	независимо от	2	3
149	перед нами	1	3
150	не удалось	3	3
151	и у	3	3
152	уже в	5	3
153	из этих	1	3
154	поскольку в	1	3
155	в нем	4	3
156	при этом	5	3
157	но все	1	3
158	то ни	2	3
159	свойств и	1	3
160	в качестве	4	3
161	это было	1	3
162	далеко не	1	3
163	в я	1	3
164	i с	3	3
165	в отличие	1	3
166	не в	6	3
167	и против	1	3
168	того чтобы	1	3
169	и притом	2	3
170	в духе	1	3
171	жизнь и	1	3
172	находится в	2	3
173	к нему	2	3
174	но нельзя	1	3
175	и тем	2	3
176	с одной	3	3
177	мы знаем	2	3
178	не так	1	3
179	всяком случае	2	3
180	само собой	1	3
181	и только	1	3
182	даже не	2	3
183	именно в	4	3
184	а наоборот	1	3
185	мы видели	2	3
186	и вовсе	1	3
187	одной стороны	3	3
188	как бы	1	3
189	же самое	2	3
190	и для	1	3
191	же в	4	3
192	вполне понятно	1	3
193	ее в	2	3
194	и эта	1	3
195	как на	1	3
196	в таком	1	3
197	во всяком	2	3
198	в этот	1	2
199	сам по	1	2
200	и за	1	2
201	по его	1	2
202	мы не	3	2
203	в сущности	2	2
204	время как	4	2
205	на себя	2	2
206	мы и	1	2
207	это время	2	2
208	он был	2	2
209	быть в	1	2
210	за свое	1	2
211	данном случае	1	2
212	а и	1	2
213	в настоящем	2	2
214	с этим	1	2
215	что касается	2	2
216	и к	1	2
217	в которой	6	2
218	в целом	3	2
219	так или	1	2
220	остановиться на	1	2
221	что она	1	2
222	и еще	3	2
223	если они	2	2
224	не к	2	2
225	в силу	2	2
226	и по	6	2
227	же не	1	2
228	в другом	4	2
229	должен был	1	2
230	в жизни	1	2
231	в это	1	2
232	о которых	5	2
233	были в	2	2
234	с такой	1	2
235	в этих	1	2
236	себя внимание	1	2
237	можно найти	1	2
238	ли можно	1	2
239	в их	4	2
240	был человеком	2	2
241	и более	1	2
242	на него	4	2
243	которые были	1	2
