N	2gram	Vinokur_Ku_2	VelikijI
1	и не	16	20
2	и в	23	16
3	так как	15	9
4	то что	9	9
5	еще не	5	8
6	что они	2	7
7	а не	10	7
8	и потому	2	7
9	не есть	1	6
10	но и	7	5
11	по пути	1	5
12	того что	3	5
13	хотя и	4	5
14	все это	5	5
15	что есть	1	5
16	как бы	4	5
17	и есть	2	4
18	говорить о	4	4
19	в его	5	4
20	и я	1	4
21	в этом	18	4
22	что он	5	4
23	потому что	25	4
24	в нем	4	4
25	так и	4	4
26	что все	5	4
27	что не	6	4
28	как и	2	4
29	что мы	6	4
30	в котором	1	4
31	в ней	3	4
32	и все	2	4
33	они будут	1	4
34	от этого	2	3
35	и что	8	3
36	должна быть	5	3
37	хотя бы	9	3
38	как не	3	3
39	лишь в	5	3
40	в чем	1	3
41	с его	1	3
42	что и	3	3
43	в том	19	3
44	тот же	5	3
45	но в	11	3
46	в вопросе	1	3
47	бы и	4	3
48	все эти	12	3
49	от которого	1	3
50	они в	1	3
51	в конце	4	3
52	их в	1	3
53	в своей	2	3
54	ни в	4	3
55	в них	4	3
56	не было	4	3
57	отвращение к	1	3
58	должно быть	4	3
59	если не	1	3
60	в этих	1	3
61	в первый	3	3
62	что я	4	3
63	не в	8	3
64	из первого	1	3
65	к чему	1	3
66	тому что	1	3
67	но это	3	3
68	в средство	1	3
69	не имеет	4	3
70	никогда не	2	3
71	первый раз	1	3
72	превращается в	2	3
73	и для	2	3
74	к тому	4	3
75	что в	10	3
76	оно не	2	3
77	и это	3	2
78	того чтобы	11	2
79	и то	5	2
80	по которым	1	2
81	это мы	1	2
82	и т	39	2
83	можно было	9	2
84	мы не	1	2
85	когда в	2	2
86	что от	1	2
87	и новые	1	2
88	вместо того	1	2
89	под этим	2	2
90	между тем	6	2
91	я думаю	1	2
92	нет и	1	2
93	вслед за	1	2
94	от этих	1	2
95	не с	1	2
96	материалом для	2	2
97	не любят	1	2
98	его к	2	2
99	только в	5	2
100	те которые	1	2
101	в себя	1	2
102	конечно не	2	2
103	уже не	8	2
104	не только	20	2
105	его и	1	2
106	превращаются в	1	2
107	не так	1	2
108	для него	1	2
109	не хотел	1	2
110	можешь и	1	2
111	под конец	1	2
112	и никогда	1	2
113	вот почему	3	2
114	тем что	3	2
115	на том	2	2
116	не будет	1	2
117	так не	1	2
118	это не	6	2
119	т д	14	2
120	прежде всего	8	2
121	все равно	2	2
122	с тем	2	2
123	мы и	1	2
124	один из	5	2
125	вопросе о	2	2
126	более чем	1	2
127	не могут	5	2
128	да и	6	2
129	одна из	1	2
130	уже на	1	2
131	том что	11	2
132	для нас	4	2
133	в форме	3	2
134	давно уже	1	2
135	что теперь	1	2
136	это все	1	2
137	а в	3	2
138	но не	6	2
139	могут быть	4	2
140	всего в	3	2
141	во всяком	5	2
142	всегда в	1	1
143	речь идет	2	1
144	как мы	3	1
145	быть может	1	1
146	в виду	3	1
147	в сердце	1	1
148	в ее	1	1
149	и до	2	1
150	роль в	2	1
151	свое место	2	1
152	на новый	1	1
153	мы будем	2	1
154	то же	6	1
155	и которые	1	1
156	говорим мы	1	1
157	в результате	4	1
158	это только	2	1
159	по сравнению	2	1
160	сами же	1	1
161	вопрос о	9	1
162	основана на	1	1
163	составные части	1	1
164	и вообще	2	1
165	но источник	1	1
166	но может	1	1
167	находится в	1	1
168	о возможности	2	1
169	я не	5	1
170	не был	1	1
171	же что	1	1
172	зависимости от	5	1
173	способ выражения	1	1
174	думаю что	2	1
175	в их	2	1
176	и на	6	1
177	он был	1	1
178	после того	2	1
179	теперь и	1	1
180	бы то	1	1
181	отказ от	2	1
182	это имеет	1	1
183	что оно	3	1
184	к нему	2	1
185	но как	1	1
186	ее от	1	1
187	от них	1	1
188	а потому	1	1
189	но нет	1	1
190	так говорят	1	1
191	себе и	1	1
192	бы в	1	1
193	не просто	2	1
194	нам право	2	1
195	хотел бы	1	1
196	крайней мере	6	1
197	в утверждении	1	1
198	и нам	1	1
199	и уж	1	1
200	как в	3	1
201	в своем	2	1
202	я был	1	1
203	известном смысле	1	1
204	самого факта	1	1
205	что нет	1	1
206	все же	7	1
207	но с	1	1
208	д и	1	1
209	что очень	1	1
210	могли бы	2	1
211	идет по	1	1
212	с ними	2	1
213	нельзя более	1	1
214	в самом	12	1
215	у них	1	1
216	в которой	1	1
217	что это	7	1
218	в целом	1	1
219	их не	2	1
220	сущности и	1	1
221	в этой	6	1
222	в известном	1	1
223	же и	2	1
224	я в	1	1
225	уже в	3	1
226	то и	3	1
227	слово это	6	1
228	в виде	1	1
229	и если	2	1
230	по словам	2	1
231	слова не	3	1
232	каким образом	1	1
233	или даже	1	1
234	говорит что	1	1
235	перестает быть	1	1
236	слова которое	1	1
237	и вот	5	1
238	вовсе не	9	1
239	не для	1	1
240	отношение к	1	1
241	словах как	2	1
242	но что	2	1
243	у него	3	1
244	не случайно	1	1
245	и по	3	1
246	на этом	3	1
247	в руки	1	1
248	так легко	1	1
249	он так	1	1
250	и свободу	1	1
251	лишь к	1	1
252	для того	9	1
253	то ни	1	1
254	с самыми	1	1
255	свое и	1	1
256	и с	7	1
257	не надо	3	1
258	с другой	8	1
259	хоть и	1	1
260	которого не	1	1
261	этом пути	1	1
262	есть не	1	1
263	в глазах	2	1
264	в головы	2	1
265	еще и	2	1
266	забыли о	1	1
267	и тем	5	1
268	как возможна	1	1
