N	2gram	Losev_Prob_5	Poddanst
1	не только	18	17
2	и в	30	14
3	и не	12	12
4	в области	2	11
5	в этом	17	10
6	н а	1	10
7	в отношении	3	10
8	в качестве	4	9
9	но в	9	9
10	то же	2	9
11	в том	12	9
12	хотя бы	2	8
13	только в	9	7
14	в то	4	7
15	же время	1	7
16	в ней	3	6
17	xix века	1	6
18	было бы	4	6
19	но и	13	6
20	в смысле	4	6
21	с другой	6	5
22	может быть	7	5
23	а я	1	5
24	не в	7	5
25	и о	5	5
26	а также	3	4
27	в своем	11	4
28	и к	4	4
29	как бы	6	4
30	и если	1	4
31	том что	17	4
32	не может	5	4
33	и потому	1	4
34	в котором	2	4
35	большей степени	1	4
36	по себе	2	4
37	в русской	3	4
38	что в	5	4
39	мы должны	1	4
40	же в	3	4
41	а в	6	4
42	то что	18	4
43	и т	1	3
44	мы не	2	3
45	сводится к	1	3
46	между тем	2	3
47	это не	2	3
48	вслед за	2	3
49	хотя и	8	3
50	и как	6	3
51	тот же	3	3
52	с ними	1	3
53	с одной	3	3
54	в себе	4	3
55	в нем	6	3
56	для того	3	3
57	прежде всего	6	3
58	одной стороны	3	3
59	с тем	5	3
60	и без	2	3
61	с точки	8	3
62	но не	7	3
63	наряду с	2	3
64	могут быть	1	3
65	тем самым	1	3
66	потому что	13	3
67	точки зрения	10	3
68	в сравнении	3	3
69	сравнении с	3	3
70	я и	1	3
71	и это	1	2
72	отношения к	1	2
73	значительной мере	2	2
74	в ее	3	2
75	и есть	1	2
76	которую мы	1	2
77	но к	1	2
78	никак не	8	2
79	в xix	1	2
80	время в	1	2
81	в значительной	2	2
82	если в	1	2
83	со стороны	1	2
84	отнюдь не	4	2
85	с этим	1	2
86	того что	3	2
87	духа и	1	2
88	ii в	2	2
89	бы ни	1	2
90	есть в	2	2
91	но о	1	2
92	в начале	3	2
93	главным образом	1	2
94	и других	1	2
95	в его	12	2
96	из них	2	2
97	в виде	10	2
98	не к	2	2
99	в силу	5	2
100	и вот	1	2
101	и укрепить	1	2
102	как раз	5	2
103	именно как	1	2
104	и с	5	2
105	именно в	3	2
106	iii в	4	2
107	и тем	3	2
108	для них	3	2
109	в них	2	2
110	не было	1	2
111	а не	5	2
112	нужно было	1	2
113	эта идея	2	2
114	в европе	2	2
115	не столько	1	2
116	творчества и	1	2
117	для тех	1	2
118	что из	1	2
119	не менее	5	2
120	все это	1	2
121	между прочим	1	2
122	не о	1	2
123	на этих	1	2
124	слова но	1	2
125	она ни	1	2
126	да и	2	2
127	еще более	3	2
128	тем более	1	2
129	в перспективе	1	2
130	для нас	10	2
131	в частности	4	2
132	том числе	2	2
133	и азии	1	1
134	также и	12	1
135	и то	5	1
136	на основе	1	1
137	и вслед	1	1
138	тем же	3	1
139	во времена	2	1
140	и этим	1	1
141	стремиться к	1	1
142	поскольку она	1	1
143	на нее	1	1
144	за то	2	1
145	поэзии и	1	1
146	те же	1	1
147	в и	1	1
148	по природе	1	1
149	в борьбе	1	1
150	еще в	5	1
151	бы что	1	1
152	в эпоху	3	1
153	не вполне	1	1
154	на себя	1	1
155	с ее	1	1
156	и ее	1	1
157	мы и	2	1
158	и здесь	1	1
159	духа с	1	1
160	настоящее время	3	1
161	и что	6	1
162	могут дать	1	1
163	притом в	1	1
164	еще не	3	1
165	были бы	1	1
166	и на	6	1
167	он был	2	1
168	виде то	1	1
169	и который	3	1
170	с его	1	1
171	науке и	1	1
172	восходит к	1	1
173	с трудом	1	1
174	не все	2	1
175	борьбе с	2	1
176	что и	6	1
177	не просто	5	1
178	есть с	1	1
179	выступает как	1	1
180	перед тем	1	1
181	судить по	1	1
182	насколько можно	1	1
183	сущность которого	1	1
184	тех пор	1	1
185	все же	9	1
186	обе эти	1	1
187	в какой	2	1
188	веры в	1	1
189	с определенной	1	1
