N	3gram	Tiupa_Narr_1	Istorich
1	с другой стороны	1	8
2	и т д	1	8
3	с одной стороны	1	7
4	в том что	5	5
5	до сих пор	2	4
6	не только в	6	4
7	о том что	2	4
8	в данном случае	8	3
9	так как это	1	3
10	не может быть	4	3
11	но и в	2	2
12	только то что	1	2
13	точно так же	1	2
14	не могло быть	1	2
15	же можно сказать	1	2
16	во всяком случае	2	2
17	по отношению к	3	2
18	но все же	1	2
19	мы уже знаем	1	2
20	как и в	1	2
21	как мы видели	1	2
22	что иное как	1	1
23	сменяющие друг друга	1	1
24	только потому что	1	1
25	это то что	1	1
26	мере того как	1	1
27	более или менее	1	1
28	в том числе	1	1
29	том что на	1	1
30	по мере того	1	1
31	же как и	1	1
32	в частности в	1	1
33	и не может	1	1
34	в зависимости от	2	1
35	в этих случаях	1	1
36	друг на друга	2	1
37	том числе и	1	1
38	так же в	1	1
39	если бы она	1	1
40	и то что	1	1
41	одно и то	2	1
42	в этом месте	2	1
43	ночь а утром	1	1
44	но и на	2	1
45	но при этом	1	1
46	на друга но	1	1
47	и то же	2	1
48	как один из	1	1
49	а с другой	1	1
50	мы не видим	1	1
51	один из этих	1	1
52	что у него	1	1
53	то что не	1	1
54	и тем самым	4	1
55	подобно тому как	3	1
56	речь идет о	3	1
57	можно сказать что	2	1
58	на то что	2	1
59	из этих двух	2	1
60	тем не менее	3	1
61	друг с другом	1	1
62	для того чтобы	3	1
63	все тех же	1	1
64	и как будто	1	1
65	и не могло	1	1
66	но еще не	1	1
