N	3gram	Bakhtin_Pr_1	Myslijsy
1	в том что	3	13
2	по отношению к	19	13
3	не может быть	11	9
4	и в этом	1	6
5	тем не менее	3	6
6	с другой стороны	4	5
7	не в том	1	4
8	в этом смысле	3	4
9	и т д	1	4
10	в том смысле	1	4
11	но и в	2	4
12	в свою очередь	1	4
13	подобно тому как	1	3
14	так и в	2	3
15	а в том	1	3
16	в то же	3	3
17	с одной стороны	3	3
18	в том как	1	3
19	и в том	1	3
20	в противном случае	3	3
21	а между тем	1	3
22	с тем что	1	3
23	и как бы	1	3
24	не более как	1	3
25	не только в	2	3
26	то же время	3	3
27	с точки зрения	6	3
28	как и в	1	2
29	в глазах самого	1	2
30	бы то ни	3	2
31	могут быть только	1	2
32	языка то есть	1	2
33	бы они ни	1	2
34	и т п	13	2
35	к тому что	1	2
36	не что иное	1	2
37	и может быть	1	2
38	в применении к	3	2
39	не могут быть	2	2
40	притом не только	1	2
41	в одном и	1	2
42	что иное как	1	2
43	не могла бы	1	2
44	все то что	3	2
45	в том и	1	2
46	дело в том	1	2
47	быть не может	1	2
48	на этот вопрос	1	2
49	для того чтобы	2	2
50	не нуждается в	1	2
51	если бы не	1	2
52	они ни были	1	2
53	том смысле что	1	1
54	во что бы	1	1
55	и тем самым	2	1
56	то есть его	2	1
57	не имеет прямого	1	1
58	вопрос о том	1	1
59	и не с	2	1
60	языка и язык	1	1
61	он не нуждается	1	1
62	далеко не совпадает	1	1
63	что язык в	1	1
64	нет дела до	1	1
65	в связи с	1	1
66	но едва ли	1	1
67	имеет прямого отношения	1	1
68	а следовательно и	1	1
69	не могли быть	1	1
70	что бы то	1	1
71	на этом основании	1	1
72	значение слова для	1	1
73	имеет место и	1	1
74	до сих пор	1	1
75	на то что	1	1
76	по себе не	1	1
77	проч то есть	1	1
78	и не нуждается	1	1
79	не во всех	2	1
80	не совпадает с	2	1
81	она не может	1	1
82	говорить и о	2	1
83	но которые не	1	1
84	то ни стало	1	1
85	в себе все	1	1
86	в первом случае	1	1
87	нуждаться в помощи	1	1
88	и независимо от	1	1
89	в то время	1	1
90	можно было бы	3	1
91	жизни таким образом	1	1
92	в его состав	1	1
93	и что не	1	1
94	на самом деле	3	1
95	в один момент	1	1
96	лицом к лицу	1	1
97	таким образом в	1	1
98	от языка в	1	1
99	которые не могли	1	1
100	бы ни было	1	1
101	так относится к	1	1
102	не было бы	1	1
103	если бы мы	1	1
104	в этом отношении	2	1
105	сами по себе	1	1
106	место и в	1	1
107	его связь с	1	1
108	его связи с	1	1
109	говоря уже о	1	1
110	т п и	1	1
111	одной стороны и	1	1
112	можно и должно	1	1
113	которые могут быть	1	1
114	и проч то	2	1
115	может быть только	3	1
116	не может стать	1	1
117	может быть понят	1	1
118	только там где	2	1
119	смысле этого слова	1	1
120	противном случае мы	1	1
121	никогда не достигают	1	1
122	то что в	1	1
123	не говоря уже	1	1
124	показать что и	1	1
125	прямого отношения к	1	1
126	есть не действительный	1	1
127	может быть признана	1	1
128	не следует что	2	1
129	со словом но	1	1
130	что все они	1	1
131	имеет дело с	4	1
132	то есть как	1	1
133	имеет место только	1	1
134	что у нас	1	1
135	именно в том	1	1
136	не может в	1	1
137	между тем как	5	1
138	то есть только	1	1
139	то ни было	2	1
140	зрения на мир	1	1
