N	3gram	Losev_Dial_3	Russkaja
1	то же время	1	10
2	в то же	1	10
3	с точки зрения	14	9
4	в том что	3	7
5	на самом деле	1	6
6	во всяком случае	2	6
7	до сих пор	1	5
8	более или менее	1	4
9	на то что	3	4
10	бы то ни	1	4
11	не может быть	6	4
12	в лучшем случае	1	3
13	и не может	1	3
14	в данном случае	1	3
15	той или иной	2	3
16	а следовательно и	1	2
17	точно так же	2	2
18	тот факт что	1	2
19	не могут не	1	2
20	и в том	1	2
21	и во всяком	1	2
22	это потому что	1	2
23	того или иного	2	2
24	о том что	5	2
25	ни к чему	1	2
26	к тому что	2	2
27	сама по себе	4	2
28	ни того ни	1	1
29	из всего этого	1	1
30	в силу этого	2	1
31	в самом деле	5	1
32	но даже и	2	1
33	уже не на	1	1
34	то же самое	1	1
35	точки зрения в	1	1
36	может быть ибо	1	1
37	он не может	2	1
38	и не только	3	1
39	что с точки	1	1
40	на точку зрения	1	1
41	лишь тогда когда	1	1
42	представить себе что	1	1
43	в этом отношении	1	1
44	перед нами не	1	1
45	того ни другого	1	1
46	на точке зрения	1	1
47	тот или иной	2	1
48	по крайней мере	5	1
49	есть то что	5	1
50	и в частности	1	1
51	в применении к	1	1
52	и что в	1	1
53	то ни было	1	1
54	к чему не	1	1
55	только в виде	1	1
56	и в этом	2	1
57	того что не	1	1
58	и как бы	1	1
59	в связи с	1	1
60	эта точка зрения	1	1
61	это конечно не	1	1
62	что же будет	1	1
63	от всякого другого	5	1
64	так же как	2	1
65	и таким образом	1	1
66	что он есть	3	1
67	постольку поскольку она	1	1
68	того и другого	1	1
69	от того что	1	1
70	тех или иных	1	1
71	это и есть	2	1
72	он с особенной	1	1
73	в этом вопросе	1	1
74	мы ведь уже	1	1
75	речь идет о	1	1
76	богом а не	1	1
77	должно быть и	2	1
78	от церкви и	1	1
79	о себе самом	1	1
80	тем не менее	10	1
81	и прежде всего	3	1
82	и ни от	2	1
83	к тому же	2	1
84	и вопрос о	1	1
85	представление о себе	1	1
