N	3gram	Vinokur_Ku_3	KFilosof
1	по отношению к	2	21
2	не может быть	3	11
3	с точки зрения	16	10
4	в отвлечении от	1	5
5	на самом деле	3	3
6	в этом смысле	1	3
7	того или иного	3	3
8	и в этом	4	3
9	это не есть	1	3
10	в ее целом	1	3
11	в этом его	1	2
12	но это уже	1	2
13	со стороны ее	1	2
14	бы то ни	1	2
15	то или иное	2	2
16	не может дать	1	2
17	один и тот	2	2
18	то же время	1	2
19	той или иной	5	2
20	в то же	1	2
21	для нее в	1	2
22	тем не менее	9	2
23	в том что	8	2
24	и тот же	2	2
25	ни о каких	1	1
26	а во втором	1	1
27	но не потому	1	1
28	мы говорим о	1	1
29	в целом есть	1	1
30	рядом с ними	1	1
31	потому что в	2	1
32	ровно ничего не	1	1
33	и того же	2	1
34	не зависит от	1	1
35	можно говорить об	1	1
36	если он не	1	1
37	и действительно есть	1	1
38	для этого конечно	1	1
39	характер и в	1	1
40	только в том	2	1
41	в зависимости от	7	1
42	хотя бы и	1	1
43	нужно помнить что	1	1
44	тем или иным	1	1
45	тогда когда он	1	1
46	важно однако что	1	1
47	никто конечно не	1	1
48	в противном случае	1	1
49	слово может быть	1	1
50	лишь в процессе	1	1
51	вместе с тем	1	1
52	и тем не	3	1
53	но все они	1	1
54	может быть и	1	1
55	и в то	1	1
56	ту или иную	1	1
57	если мы возьмем	1	1
58	свой смысл и	1	1
59	можно сказать только	1	1
60	не потому что	1	1
61	в первом случае	2	1
62	смысле этого слова	2	1
63	в известном смысле	2	1
64	в том случае	4	1
65	а не как	1	1
66	отношению к таким	1	1
67	в одном случае	1	1
68	не в том	2	1
69	с нашей точки	1	1
70	это не значит	1	1
71	слова в их	1	1
72	во всяком случае	1	1
73	быть не может	1	1
74	не должно быть	1	1
75	для того чтобы	11	1
76	бы не было	1	1
77	и пр и	1	1
78	и для этой	1	1
79	того чтобы знать	1	1
80	но для того	1	1
81	мы не можем	1	1
82	же самое что	1	1
83	никогда не может	1	1
84	в свою очередь	1	1
85	само по себе	1	1
86	а не просто	2	1
87	тем самым оно	1	1
88	в конечном счете	1	1
89	это отнюдь не	1	1
90	но в этом	1	1
91	нашей точки зрения	1	1
92	одного и того	2	1
93	если бы не	2	1
94	когда мы говорим	1	1
95	в то или	1	1
96	имеют в виду	1	1
97	еще не значит	1	1
98	к тому что	1	1
99	в том смысле	1	1
100	дело не в	2	1
101	в этом ее	1	1
102	месте и не	1	1
103	том случае когда	3	1
104	а именно в	1	1
105	этом смысле можно	1	1
106	что и в	2	1
107	только тогда когда	4	1
108	с разных точек	1	1
109	то же самое	1	1
110	не имеет смысла	1	1
111	и вопрос о	1	1
112	уже не только	2	1
