N	2gram	Vygotskiy__7	Sovremen
1	не может	11	17
2	может быть	7	12
3	точки зрения	28	12
4	таким образом	23	11
5	мы не	7	9
6	в этом	29	7
7	не можем	4	7
8	и в	26	7
9	мы можем	3	6
10	ничего не	2	6
11	как и	15	6
12	и не	18	6
13	в результате	1	6
14	и наконец	4	5
15	все эти	6	5
16	что же	2	5
17	прежде всего	7	5
18	с точки	21	5
19	в зависимости	1	4
20	вопрос о	6	4
21	зависимости от	1	4
22	нет и	3	4
23	мы должны	6	4
24	в том	18	4
25	в целом	5	4
26	если мы	5	4
27	из них	1	4
28	так как	14	4
29	мы видели	3	4
30	не только	24	4
31	в развитии	10	4
32	с помощью	13	4
33	как бы	6	4
34	вместе с	12	4
35	это не	3	4
36	точку зрения	2	4
37	их в	1	4
38	а в	2	4
39	он может	1	3
40	в первом	3	3
41	с самого	7	3
42	то же	8	3
43	ясно что	1	3
44	и т.д	1	3
45	но мы	3	3
46	между собой	6	3
47	его развития	1	3
48	отнюдь не	1	3
49	все же	6	3
50	еще не	4	3
51	но в	4	3
52	в этой	3	3
53	в себе	9	3
54	уже в	2	3
55	в наших	4	3
56	что она	8	3
57	ведь это	2	3
58	в одном	1	3
59	в конце	4	3
60	в нем	2	3
61	при этом	1	3
62	из двух	3	3
63	на этой	1	3
64	и мы	1	3
65	было бы	6	3
66	основной вопрос	1	3
67	а не	6	3
68	и потому	3	3
69	мы называем	1	3
70	не в	4	3
71	все это	3	3
72	самого начала	7	3
73	при таком	1	3
74	одна из	1	3
75	для нас	2	3
76	и все	1	3
77	у нас	2	3
78	поэтому мы	2	3
79	с необходимостью	2	3
80	состоит из	1	3
81	и к	7	3
82	отличается от	3	3
83	в области	4	3
84	как известно	2	2
85	как мы	14	2
86	свою очередь	2	2
87	и есть	2	2
88	тем же	5	2
89	приводит к	4	2
90	все те	2	2
91	той же	8	2
92	времени и	1	2
93	на этом	1	2
94	для его	1	2
95	из одного	1	2
96	говорить о	1	2
97	и что	6	2
98	и во	4	2
99	самом деле	6	2
100	в его	4	2
101	с совершенно	1	2
102	и будет	1	2
103	с этим	2	2
104	дает нам	1	2
105	развития но	1	2
106	все процессы	1	2
107	некоторое время	1	2
108	в самом	9	2
109	к чему	1	2
110	в которой	11	2
111	что это	6	2
112	в нашем	4	2
113	из этих	3	2
114	с одной	5	2
115	со всеми	2	2
116	то и	4	2
117	развития мы	3	2
118	так сказать	1	2
119	с другом	2	2
120	в виде	1	2
121	на его	2	2
122	о принципиальной	1	2
123	тем не	3	2
124	мы знаем	2	2
125	всяком случае	1	2
126	у него	1	2
127	и по	3	2
128	отличие от	2	2
129	ее на	1	2
130	но все	1	2
131	что все	2	2
132	значение в	2	2
133	или иной	1	2
134	развития в	3	2
135	в живом	3	2
136	на этот	1	2
137	которой он	1	2
138	мы с	1	2
139	такой же	3	2
140	конце развития	2	2
141	в один	1	2
142	что такое	1	2
143	из которых	2	2
144	в отличие	2	2
145	друг с	2	2
146	не менее	4	2
147	на котором	3	2
148	она может	2	2
149	этих двух	2	2
150	но очень	1	2
151	еще более	1	2
152	в новых	1	2
153	мы видим	3	2
154	в свою	2	2
155	наконец не	1	2
156	представлять себе	1	2
157	такие же	1	2
158	совершенно не	2	2
159	не могут	4	2
160	могут быть	2	2
161	что при	2	2
162	для развития	1	2
163	же самое	5	2
164	что в	12	2
165	если же	2	2
166	в таком	1	2
167	во всяком	2	2
168	и наиболее	2	1
169	и это	1	1
170	можно говорить	2	1
171	оно может	1	1
172	своего развития	1	1
173	речи мы	4	1
174	функции в	1	1
175	с ее	2	1
176	объективной стороны	1	1
177	а из	2	1
178	на самом	3	1
179	т.е ее	1	1
180	своими собственными	1	1
181	шаг за	1	1
182	этот метод	1	1
183	это и	4	1
184	если как	1	1
185	между двумя	3	1
186	отношению к	5	1
187	нас на	1	1
188	и до	2	1
189	от всяких	1	1
190	между ним	1	1
191	значение но	1	1
192	по аналогии	1	1
193	можно было	2	1
194	и могут	1	1
195	этом направлении	1	1
196	мы уже	3	1
197	из всех	5	1
198	есть не	3	1
199	в биологии	1	1
200	мы имеем	1	1
201	же как	8	1
202	еще в	1	1
203	смысле можно	2	1
204	мы в	3	1
205	своего объяснения	1	1
206	что уже	1	1
207	же мере	5	1
208	поэтому в	1	1
209	если бы	5	1
210	это направление	1	1
211	и вообще	1	1
212	во внутреннем	1	1
213	в отдельном	1	1
214	она развивается	1	1
215	что иное	1	1
216	и соответственно	1	1
217	на элементы	2	1
218	и должно	1	1
219	или как	1	1
220	того же	1	1
221	мы ее	1	1
222	о том	4	1
223	процесс развития	2	1
224	в ней	3	1
225	и иначе	1	1
226	развития с	1	1
227	одного из	2	1
228	аналогии с	1	1
229	он сам	1	1
230	иное как	1	1
231	подвести итоги	1	1
232	что его	2	1
233	его в	2	1
234	во всех	6	1
235	раз и	1	1
236	путь для	1	1
237	они опять	1	1
238	данном случае	5	1
239	совсем не	1	1
240	но не	3	1
241	образом все	2	1
242	к этому	2	1
243	мы будем	1	1
244	но как	1	1
245	и основное	1	1
246	точка зрения	1	1
247	друг на	1	1
248	при исследовании	1	1
249	если в	4	1
250	в конечном	2	1
251	во втором	3	1
252	конечном счете	2	1
253	по отношению	6	1
254	ним и	1	1
255	более как	1	1
256	во всей	2	1
257	приводит и	1	1
258	с поразительной	1	1
259	вообще и	1	1
260	может стать	1	1
261	мы снова	1	1
262	все время	1	1
263	идет о	2	1
264	экспериментов мы	3	1
265	стороны и	4	1
266	области явлений	1	1
267	к которому	1	1
268	значит что	1	1
269	к нему	3	1
270	известном смысле	2	1
271	против него	1	1
272	один из	2	1
273	кроме того	1	1
274	есть такой	1	1
275	от общей	1	1
276	одной из	4	1
277	необъяснимыми с	1	1
278	в одинаковой	3	1
279	в действительности	2	1
280	только в	8	1
281	о другом	1	1
282	в этот	3	1
283	может оказаться	1	1
284	за собой	1	1
285	почти совершенно	1	1
286	та же	1	1
287	к другому	3	1
288	всех деталях	1	1
289	одном случае	1	1
290	но ведь	1	1
291	в известном	2	1
292	остановиться на	2	1
293	нами в	4	1
294	и тот	1	1
295	этот вопрос	1	1
296	конечно не	1	1
297	и производит	1	1
298	и те	1	1
299	в большинстве	2	1
300	только на	3	1
301	вследствие этого	1	1
302	в начале	5	1
303	этот процесс	1	1
304	всеми ее	1	1
305	а это	1	1
306	в первых	1	1
307	эксперимента и	1	1
308	в данной	1	1
309	он не	3	1
310	его и	2	1
311	себе в	5	1
312	и их	5	1
313	эти три	2	1
314	как одной	1	1
315	по существу	1	1
316	вовсе не	2	1
317	для них	1	1
318	как его	1	1
319	случае не	2	1
320	какой бы	1	1
321	одной и	2	1
322	этого направления	3	1
323	центральный вопрос	1	1
324	бы все	2	1
325	заключает в	1	1
326	т.е от	2	1
327	в основу	1	1
328	поскольку она	1	1
329	и природа	1	1
330	в очень	1	1
331	зрения с	1	1
332	это значит	1	1
333	и только	4	1
334	а затем	2	1
335	факт что	1	1
336	и может	1	1
337	в совершенно	1	1
338	в другом	1	1
339	одной стороны	5	1
340	и речи	19	1
341	чем в	4	1
342	в функционировании	2	1
343	давая себе	1	1
344	до сих	3	1
345	с другой	4	1
346	обоих случаях	1	1
347	на ее	2	1
348	образом если	1	1
349	нельзя сказать	1	1
350	именно в	6	1
351	здесь в	1	1
352	по своим	2	1
353	но самый	1	1
354	исходным пунктом	1	1
355	этом смысле	1	1
356	должен был	1	1
357	его с	3	1
358	этом эксперименте	1	1
359	только к	2	1
360	только одно	2	1
361	к области	1	1
362	ни в	2	1
363	не было	1	1
364	остается еще	1	1
365	все равно	1	1
366	декарта и	2	1
367	этого не	1	1
368	на друга	1	1
369	несмотря на	2	1
370	оно имеет	2	1
371	как целого	1	1
372	является объяснение	1	1
373	должно быть	2	1
374	и ничего	2	1
375	обратимся к	3	1
376	и следовательно	5	1
377	их на	1	1
378	в связи	1	1
379	связей и	1	1
380	том что	17	1
381	поэтому говорить	1	1
382	законов и	1	1
383	все более	1	1
384	этом случае	14	1
385	при определенных	1	1
386	но если	2	1
387	и при	2	1
388	же законам	1	1
389	всех трех	1	1
390	далее что	1	1
391	таким же	1	1
392	заключать в	1	1
393	так же	14	1
394	и особенно	1	1
395	в такой	4	1
396	почти не	1	1
397	мы говорим	2	1
398	только ничего	1	1
399	пор в	1	1
