N	2gram	Tiupa_Hudo_1	Sovremen
1	не может	7	17
2	может быть	14	12
3	точки зрения	10	12
4	таким образом	3	11
5	в каждом	1	8
6	в этом	11	7
7	и в	19	7
8	как и	2	6
9	и не	15	6
10	в результате	1	6
11	все эти	2	5
12	прежде всего	4	5
13	с точки	3	5
14	в условиях	1	5
15	в том	18	4
16	в целом	3	4
17	если мы	2	4
18	из них	1	4
19	так как	1	4
20	не только	16	4
21	как бы	9	4
22	вместе с	1	4
23	это не	2	4
24	их в	3	4
25	а в	12	4
26	жизни и	1	4
27	в первом	1	3
28	то же	10	3
29	и т.д	3	3
30	но мы	1	3
31	между собой	2	3
32	может не	1	3
33	отнюдь не	2	3
34	еще не	3	3
35	но в	7	3
36	у каждого	1	3
37	в этой	2	3
38	в себе	9	3
39	что она	2	3
40	ведь это	1	3
41	в одном	2	3
42	в конце	1	3
43	в нем	5	3
44	при этом	13	3
45	было бы	1	3
46	а не	9	3
47	и потому	2	3
48	не в	7	3
49	все это	2	3
50	не подлежит	1	3
51	одна из	2	3
52	в системе	2	3
53	у нас	1	3
54	и к	3	3
55	когда мы	1	3
56	отличается от	2	3
57	в области	6	3
58	как мы	1	2
59	свою очередь	2	2
60	между всеми	1	2
61	и есть	1	2
62	приводит к	5	2
63	роль в	1	2
64	той же	1	2
65	времени и	2	2
66	на этом	1	2
67	и даже	1	2
68	говорить о	3	2
69	говорим о	1	2
70	настоящее время	1	2
71	и что	3	2
72	на их	1	2
73	в которую	1	2
74	говорить об	1	2
75	в его	9	2
76	каждая из	2	2
77	быть и	2	2
78	в самом	5	2
79	к чему	1	2
80	в которой	2	2
81	или же	1	2
82	что это	1	2
83	в нашем	2	2
84	из этих	3	2
85	тот или	2	2
86	с одной	2	2
87	со всеми	1	2
88	уже не	4	2
89	на его	1	2
90	тем не	3	2
91	у него	1	2
92	и по	2	2
93	отличие от	7	2
94	то ни	1	2
95	что все	1	2
96	значение в	1	2
97	или иной	7	2
98	и пр	1	2
99	а на	5	2
100	первые два	1	2
101	свою собственную	1	2
102	что такое	1	2
103	он должен	3	2
104	всего только	1	2
105	из которых	1	2
106	в отличие	7	2
107	такого рода	10	2
108	о жизни	1	2
109	не менее	3	2
110	можно назвать	1	2
111	на котором	1	2
112	в настоящее	1	2
