N	2gram	Propp_Russ_2	Retstnzi
1	не может	5	4
2	и в	29	3
3	один из	2	2
4	если в	1	2
5	нет и	1	1
6	в особенности	1	1
7	и не	1	1
8	обратное явление	1	1
9	не только	10	1
10	связи с	2	1
11	себя от	1	1
12	сил которые	1	1
13	так называемая	1	1
14	но и	8	1
15	не менее	2	1
16	с другими	3	1
17	именно с	1	1
18	по своим	1	1
19	в ней	1	1
20	в то	2	1
21	и на	6	1
22	для него	1	1
23	на русской	1	1
24	может не	1	1
25	на нее	6	1
26	русской почве	1	1
27	а не	4	1
28	может быть	13	1
29	несмотря на	1	1
30	в его	1	1
31	он в	1	1
32	то же	4	1
33	и все	4	1
34	из этих	2	1
35	если бы	1	1
36	исходя из	1	1
