N	3gram	Tiupa_Vved_1	FransuaR
1	в том числе	1	10
2	том числе и	1	7
3	в том что	3	6
4	в той или	1	5
5	той или иной	2	5
6	большей или меньшей	1	4
7	в отличие от	2	4
8	то есть в	1	4
9	нового времени и	1	3
10	в этом отношении	4	3
11	так и не	1	3
12	и прежде всего	1	3
13	прежде всего на	1	2
14	на самом деле	3	2
15	не входит в	1	2
16	но и в	2	2
17	в основе своей	1	2
18	с одной стороны	5	2
19	в значительной степени	1	2
20	и т.п в	1	2
21	в области литературы	1	2
22	во всех его	1	2
23	можно сказать что	1	1
24	однако и в	1	1
25	по своей природе	2	1
26	смысловых и ценностных	1	1
27	картине мира здесь	1	1
28	не только художественная	1	1
29	по отношению к	7	1
30	вопросы о том	1	1
31	в настоящее время	1	1
32	в неразрывном единстве	1	1
33	и еще более	1	1
34	в чужой мир	1	1
35	них как бы	1	1
36	сами по себе	1	1
37	к тому чтобы	1	1
38	несмотря на его	1	1
39	или иной степени	1	1
40	на первом плане	1	1
41	тому же в	1	1
42	и т.п но	1	1
43	может быть только	1	1
44	на ранних этапах	1	1
45	до известной степени	1	1
46	еще в самом	1	1
47	то и не	1	1
48	случае не подлежит	1	1
49	жизни но и	1	1
50	но при этом	2	1
51	при этом между	1	1
52	играют существенную роль	1	1
53	в связи с	1	1
54	во всяком случае	1	1
55	с другой стороны	1	1
56	как бы в	1	1
57	не может быть	3	1
58	времени при этом	1	1
59	то же время	3	1
60	и особенно в	1	1
61	то что мы	1	1
62	начало и конец	2	1
63	в этой системе	1	1
64	этого термина в	1	1
65	друг от друга	1	1
66	в то же	4	1
67	но это не	1	1
68	из них не	1	1
69	не только в	2	1
70	все то что	1	1
71	к тому же	4	1
72	то есть с	1	1
