N	3gram	Propp_Russ_1	Tvorches
1	и т д	9	11
2	там же с	1	9
3	по отношению к	1	3
4	в таком случае	1	2
5	в отличие от	1	2
6	на этот вопрос	1	2
7	так же как	1	2
8	все же не	2	2
9	во всяком случае	1	2
10	и т п	1	2
11	о том что	4	2
12	в одном из	1	2
13	в том что	15	2
14	том что в	6	1
15	приводит его к	1	1
16	хотя и не	1	1
17	и потому что	2	1
18	т д и	1	1
19	может быть назван	1	1
20	же как и	1	1
21	но и потому	1	1
22	в этот день	8	1
23	и в дальнейшем	1	1
24	можно было бы	1	1
25	точно так же	1	1
26	только потому что	1	1
27	как будто бы	1	1
28	так что они	1	1
29	и в этом	1	1
30	не только для	1	1
31	в свою очередь	2	1
32	это все же	1	1
33	в связи с	4	1
34	это не значит	2	1
35	к жизни то	1	1
36	сохранилась и в	1	1
37	в виду что	1	1
38	не только потому	1	1
39	в целом ряде	1	1
40	потому что они	1	1
41	в то время	1	1
42	так например в	1	1
43	том что этот	2	1
44	мы не можем	3	1
45	не означает что	1	1
46	о характере этого	1	1
47	ничего общего с	1	1
48	но это не	2	1
49	не значит что	2	1
50	и в том	1	1
51	о том чтобы	1	1
52	у себя на	1	1
53	как и в	1	1
54	на другой день	1	1
