N	3gram	Kanaev_Sov_1	formyVre
1	с точки зрения	5	8
2	в связи с	1	7
3	то же время	1	4
4	в то же	1	4
5	друг с другом	2	4
6	и в то	1	3
7	и в этом	1	3
8	и прежде всего	1	3
9	в том что	1	3
10	равно как и	1	2
11	то же самое	2	2
12	в этом случае	1	2
13	в дальнейшем мы	1	2
14	до сих пор	1	2
15	и во всех	1	2
16	сами по себе	1	2
17	друг на друга	1	2
18	и та же	1	2
19	не было бы	1	2
20	все же в	1	2
21	может быть и	2	2
22	одна и та	1	2
23	это значит что	1	2
24	каждая из этих	1	1
25	не может не	3	1
26	вполне достаточно для	1	1
27	из многих его	1	1
28	на самом деле	1	1
29	как и во	1	1
30	всего необходимо отметить	1	1
31	они не могут	1	1
32	со всеми ее	1	1
33	тот или иной	1	1
34	в отличие от	2	1
35	мы в дальнейшем	1	1
36	по аналогии с	1	1
37	по самому своему	1	1
38	о жизни и	1	1
39	самому своему существу	1	1
40	зрения может быть	1	1
41	так как он	2	1
42	важную роль в	1	1
43	в данном случае	1	1
44	дело идет о	1	1
45	с одной стороны	1	1
46	быть и речи	1	1
47	прежде всего необходимо	1	1
48	все более и	1	1
49	не может быть	4	1
50	именно в том	1	1
51	в свою очередь	2	1
52	на ее месте	1	1
53	с самого начала	3	1
54	более и более	1	1
55	но все же	1	1
56	очень важную роль	1	1
57	это как бы	1	1
58	в себе в	1	1
59	той или иной	1	1
