N	2gram	Nazirov_Tv_1	Myslijsy
1	потому что	5	49
2	то есть	12	30
3	и в	21	24
4	в душе	1	23
5	может быть	5	23
6	то что	8	20
7	и не	7	19
8	в том	7	18
9	а не	5	18
10	т с	1	18
11	что в	12	16
12	не только	7	15
13	по себе	1	15
14	того же	2	14
15	при этом	7	13
16	не в	2	13
17	было бы	1	13
18	то же	13	12
19	но не	3	12
20	не может	4	12
21	таким образом	5	11
22	вместе с	2	11
23	что и	2	11
24	только в	5	11
25	тогда как	1	10
26	как в	8	10
27	в себе	2	10
28	для него	6	10
29	так что	2	10
30	так как	3	10
31	в нем	3	9
32	вовсе не	5	9
33	то и	1	9
34	но и	3	9
35	как бы	17	9
36	точно так	2	9
37	и на	7	8
38	в этом	6	8
39	том что	11	8
40	в одно	2	8
41	могут быть	2	8
42	а в	6	8
43	в чем	2	7
44	во всех	1	7
45	с этим	1	7
46	мысль о	2	7
47	как и	12	7
48	не могут	1	7
49	быть может	2	7
50	прежде всего	4	7
51	сами по	1	7
52	тем что	1	7
53	того что	3	7
54	и т	3	6
55	что если	1	6
56	и как	4	6
57	и того	2	6
58	одного и	1	6
59	тем не	2	6
60	в то	15	6
61	не имеет	1	6
62	связи с	1	6
63	есть только	1	6
64	свою очередь	1	6
65	между тем	1	6
66	в одном	1	6
67	заметить что	1	6
68	с другой	3	6
69	не было	1	6
70	не есть	1	6
71	в свою	7	6
72	только как	1	6
73	столь же	1	5
74	а и	1	5
75	все же	5	5
76	в мысли	1	5
77	уже в	3	5
78	есть не	2	5
79	и уже	1	5
80	не от	1	5
81	не менее	6	5
82	по крайней	2	5
83	с ним	3	5
84	вместе и	1	5
85	так и	2	5
86	по мере	1	5
87	о том	6	5
88	крайней мере	2	5
89	тот же	2	5
90	из них	2	5
91	в них	1	5
92	что не	2	5
93	и их	1	5
94	только для	1	5
95	же в	1	5
96	в которой	3	5
97	нам кажется	1	4
98	в самом	3	4
99	время как	1	4
100	еще не	1	4
101	одним словом	1	4
102	но в	7	4
103	уже не	3	4
104	как он	1	4
105	так сказать	2	4
106	и если	1	4
107	заключает в	1	4
108	в нее	1	4
109	а вместе	1	4
110	то все	1	4
111	с тем	1	4
112	такой же	2	4
113	в котором	6	4
114	место в	3	4
115	сих пор	1	4
116	между прочим	1	4
117	тем самым	7	4
118	и другое	1	4
119	одна из	2	4
120	сравнительно с	1	4
121	так в	1	4
122	никогда не	3	4
123	к языку	1	4
124	и что	1	4
125	что он	6	4
126	с одной	1	4
127	в других	1	4
128	до сих	1	4
129	влияние на	2	4
130	души и	1	4
131	в ребенке	1	4
132	в человеке	4	4
133	что оно	1	4
134	от него	1	4
135	во время	1	4
136	мысли о	1	4
137	себе не	2	4
138	в таком	1	4
139	вряд ли	2	3
140	человека и	4	3
141	но тем	1	3
142	на деле	2	3
143	той же	3	3
144	но она	2	3
145	но даже	1	3
146	то это	1	3
147	не совсем	1	3
148	что его	2	3
149	в создании	1	3
150	если в	2	3
151	в нас	1	3
152	хотя и	3	3
153	что это	1	3
154	в целом	4	3
155	что она	2	3
156	т д	1	3
157	о которой	1	3
158	отношений между	2	3
159	человека в	6	3
160	его не	1	3
161	на все	1	3
162	его в	1	3
163	это не	4	3
164	и тем	2	3
165	кажется что	1	3
166	о которых	1	3
167	далеко не	3	3
168	и тогда	1	3
169	в этих	2	3
170	ни было	1	3
171	в ней	2	3
172	и притом	2	3
173	на него	1	3
174	оно не	1	3
175	если мы	1	3
176	но мы	1	3
177	от них	1	3
178	вслед за	2	3
179	по времени	1	3
180	и у	2	3
181	одно из	1	3
182	не так	3	3
183	т п	2	3
184	входят в	1	3
185	что на	1	3
186	что для	2	3
187	одной стороны	1	3
188	а от	1	3
189	в самой	1	3
190	слова и	1	3
191	но это	5	3
192	и от	4	3
193	и человек	2	3
194	и все	6	3
195	только что	2	3
196	с ними	1	3
197	в движение	1	2
198	с требованиями	1	2
199	самом деле	2	2
200	на самом	3	2
201	и есть	1	2
202	чего не	1	2
203	и впечатления	1	2
204	нас на	1	2
205	не имеют	4	2
206	которое может	1	2
207	человеческой природы	1	2
208	не во	2	2
209	бы что	1	2
210	с его	11	2
211	тем как	1	2
212	совсем не	1	2
213	то к	1	2
214	не то	2	2
215	не все	1	2
216	по отношению	1	2
217	в действительности	1	2
218	все эти	1	2
219	но на	1	2
220	выражается в	1	2
221	перестает быть	1	2
222	всех этих	1	2
223	и по	3	2
224	на этом	1	2
225	но все	1	2
226	в каждом	3	2
227	связанные с	1	2
228	нам по	1	2
229	в жизни	2	2
230	мы знаем	1	2
231	остаться на	1	2
232	к мысли	1	2
233	что такое	1	2
234	не столько	2	2
235	от себя	1	2
236	мы находим	2	2
237	впечатления от	1	2
238	но он	2	2
239	тому что	1	2
240	боли и	1	2
241	и его	6	2
242	что с	1	2
243	сказать что	2	2
244	самого начала	3	2
245	что ему	1	2
246	но только	2	2
247	все свои	1	2
248	же время	12	2
249	к ней	2	2
250	и чувства	1	2
251	его собственное	1	2
252	у нас	1	2
253	превращается в	1	2
254	во все	1	2
255	указывает на	1	2
256	не противоречит	1	2
257	и это	1	2
258	того самого	1	2
259	что все	3	2
260	к нам	1	2
261	с каким	2	2
262	в собственном	1	2
263	имеют для	1	2
264	в себя	2	2
265	с самого	3	2
266	что у	1	2
267	что может	1	2
268	было в	2	2
269	стремление к	2	2
270	движения и	1	2
271	и здесь	1	2
272	внимание на	1	2
273	нас в	1	2
274	это было	1	2
275	существования в	1	2
276	связь между	1	2
277	вообще и	1	2
278	движения в	1	2
279	один из	4	2
280	в какой	1	2
281	во времени	3	2
282	в нашей	2	2
283	а это	1	2
284	и других	3	2
285	в пространстве	2	2
286	но что	1	2
287	у него	7	2
288	указывающий на	1	2
289	к которому	1	2
290	а с	1	2
291	себя и	1	2
292	не на	1	2
293	зависит от	2	2
294	в связи	1	2
295	так же	3	2
296	как это	1	2
297	не сразу	1	2
298	не дают	1	2
299	все это	10	2
300	из себя	2	2
301	в его	13	2
302	или в	2	2
303	о котором	2	2
304	мы должны	1	2
305	хотя бы	5	2
306	отношении к	1	2
307	но если	3	2
308	другой стороны	1	2
309	имеет место	1	2
310	может происходить	1	2
311	но эти	1	2
312	даже и	1	2
313	к этому	2	2
314	я и	3	1
315	ту же	3	1
316	одним из	4	1
317	чтобы не	1	1
318	и действительно	1	1
319	он произносит	1	1
320	переход от	1	1
321	первом акте	1	1
322	и до	1	1
323	уже по	1	1
324	мы уже	1	1
325	из всех	4	1
326	единство и	1	1
327	движение в	1	1
328	принадлежит к	1	1
329	каждом человеке	2	1
330	вкусами и	1	1
331	себе что	1	1
332	не исчезнет	1	1
333	род человеческий	1	1
334	и самого	1	1
335	в отличие	2	1
336	бы то	1	1
337	если так	1	1
338	испуг и	1	1
339	сознания а	1	1
340	в ее	1	1
341	всякий раз	1	1
342	друг на	1	1
343	отличие от	2	1
344	человек может	2	1
345	и каждому	1	1
346	в истории	1	1
347	в одной	2	1
348	не согласиться	1	1
349	для создания	1	1
350	для всех	1	1
351	как к	2	1
352	светом в	1	1
353	у своих	1	1
354	перед нами	2	1
355	что по	1	1
356	и наконец	2	1
357	значит сделать	1	1
358	этой цели	1	1
359	в этот	1	1
360	то в	2	1
361	отделиться от	1	1
362	представлял себе	1	1
363	сливается с	3	1
364	бы и	1	1
365	цели а	1	1
366	он в	1	1
367	так можно	1	1
368	что так	1	1
369	в известном	1	1
370	становится понятно	1	1
371	только на	2	1
372	человеке и	1	1
373	его и	1	1
374	этого образа	1	1
375	имеем в	1	1
376	тому же	1	1
377	человек не	1	1
378	с чувством	1	1
379	а просто	1	1
380	он не	8	1
381	чем для	1	1
382	непосредственным источником	1	1
383	но само	1	1
384	первой части	3	1
385	на том	2	1
386	свою собственную	1	1
387	к одному	1	1
388	не к	1	1
389	страдания и	2	1
390	за один	1	1
391	важную роль	1	1
392	своего пути	1	1
393	на земле	3	1
394	между человеком	1	1
395	от не	1	1
396	смысл итак	1	1
397	том же	1	1
398	повторяет в	1	1
399	то ни	1	1
400	не будет	2	1
401	же не	1	1
402	им как	1	1
403	же касается	1	1
404	об этом	2	1
405	и с	3	1
406	известно что	2	1
407	следует рассматривать	1	1
408	жизни именно	1	1
409	приходит в	1	1
410	делает его	1	1
411	самого образования	1	1
412	ни в	1	1
413	жизни но	1	1
414	чем в	1	1
415	можно считать	1	1
416	и прямо	1	1
417	можно сказать	2	1
418	а как	2	1
419	же это	1	1
