N	3gram	Voloshinov_1	KulturaY
1	в том что	2	10
2	можно было бы	1	9
3	с точки зрения	5	8
4	для того чтобы	1	8
5	в самом деле	2	7
6	с другой стороны	2	7
7	только потому что	1	6
8	само по себе	1	5
9	тем не менее	1	5
10	не может быть	4	4
11	в зависимости от	2	4
12	в то же	1	3
13	в этом отношении	1	3
14	в связи с	1	3
15	то же время	1	3
16	в узком смысле	1	2
17	на самом деле	1	2
18	так же как	1	2
19	говорить и о	1	2
20	этой точки зрения	1	2
21	того или иного	2	2
22	на то что	1	2
23	в отличие от	1	2
24	в конечном счете	1	2
25	то или иное	1	2
26	с этой точки	1	2
27	можно говорить о	1	1
28	с самого начала	2	1
29	узком смысле слова	1	1
30	это особенно ясно	1	1
31	том что в	1	1
32	с одной стороны	2	1
33	не должно быть	1	1
34	но что же	1	1
35	до тех пор	4	1
36	может быть это	1	1
37	а также и	1	1
38	постановка вопроса о	1	1
39	что иное как	2	1
40	как и в	1	1
41	и никогда не	1	1
42	отношение к слову	1	1
43	само собою разумеется	1	1
44	тех или иных	1	1
45	может быть и	1	1
46	и пр с	1	1
47	к тому что	1	1
48	ничего общего с	2	1
49	состоит в том	1	1
50	языка но в	1	1
51	несмотря на все	1	1
52	не что иное	2	1
53	не было бы	1	1
54	но может быть	1	1
55	тех пор пока	3	1
56	и в области	1	1
57	может быть не	1	1
58	те или иные	1	1
59	чуть ли не	1	1
60	с этим словом	1	1
61	только то что	1	1
62	на основе такого	1	1
63	прежде всего в	1	1
64	есть не что	2	1
65	в виду что	1	1
66	в предисловии к	1	1
67	в последнее время	1	1
68	социальной борьбы и	1	1
69	потому что они	1	1
70	в данном случае	2	1
71	к слову в	1	1
72	что же такое	1	1
73	иметь в виду	1	1
