N	3gram	Propp_Isto_5	VLabPisa
1	и т д	18	15
2	с другой стороны	8	8
3	не может быть	3	8
4	по отношению к	2	7
5	в зависимости от	1	5
6	то же время	1	5
7	в то же	1	5
8	в связи с	4	4
9	можно сказать что	1	4
10	в том что	2	4
11	можно утверждать что	1	3
12	о том как	2	3
13	вместе с тем	6	3
14	мы видели что	2	3
15	о том что	4	3
16	хотя бы в	1	3
17	одной стороны и	1	2
18	подобно тому как	1	2
19	в том числе	1	2
20	до сих пор	2	2
21	таким образом в	1	2
22	в том чтобы	2	2
23	с одной стороны	7	2
24	во всех этих	1	2
25	носит в себе	1	2
26	во всяком случае	1	2
27	этой точки зрения	1	2
28	том числе и	1	2
29	но и он	1	2
30	мы знаем что	4	2
31	для того чтобы	3	2
32	материалы показывают что	2	1
33	творчества они могут	1	1
34	доказывается тем что	1	1
35	другой стороны в	1	1
36	к этому же	1	1
37	иметь в виду	1	1
38	то время как	1	1
39	об этом говорит	1	1
40	что перед нами	1	1
41	что один из	1	1
42	в самом деле	1	1
43	в соответствии с	1	1
44	же как и	2	1
45	и он же	1	1
46	с этой точки	1	1
47	он же говорит	1	1
48	часто в качестве	1	1
49	совершенно очевидно что	1	1
50	главным образом в	1	1
51	что он не	1	1
52	но и в	2	1
53	только в том	1	1
54	эти примеры показывают	1	1
55	в ней не	1	1
56	в ту же	1	1
57	в данном случае	2	1
58	не только в	2	1
59	при помощи которой	2	1
60	так же как	3	1
61	мы видим что	4	1
62	это одна из	1	1
63	т е тот	1	1
64	не в том	1	1
65	но вместе с	3	1
66	со всем что	1	1
67	в то время	1	1
68	и вместе с	2	1
69	в свою очередь	1	1
70	в более поздних	1	1
71	может быть достигнуто	1	1
72	одна из форм	1	1
73	но и для	1	1
74	вопрос о том	1	1
75	нет например в	1	1
76	после того как	3	1
77	в том смысле	1	1
78	с этим и	1	1
79	может быть в	1	1
80	дело не в	1	1
81	только тогда когда	1	1
82	как мы знаем	1	1
83	не только для	1	1
84	т е в	3	1
