N	3gram	Propp_Isto_3	Tragedij
1	точно так же	2	2
2	в данном случае	3	2
3	о том что	2	2
4	но все же	2	2
5	в том что	5	2
6	в этом случае	5	1
7	и здесь есть	1	1
8	вместе со своими	1	1
9	и то что	2	1
10	но не самому	1	1
11	это может быть	1	1
12	на мысль что	1	1
13	во всяком случае	2	1
14	смысле этого слова	1	1
15	в чем же	1	1
16	обстоит дело с	1	1
17	тем не менее	5	1
18	связаны между собой	1	1
19	и в быту	1	1
20	все же не	1	1
21	в связи с	3	1
22	но уже не	1	1
23	не может быть	1	1
24	это мы видим	1	1
25	и вместе с	1	1
26	это и есть	1	1
27	в одном из	2	1
28	с самого начала	1	1
29	не только не	2	1
30	после того как	1	1
31	момент ухода из	1	1
32	до самой смерти	1	1
33	со своими товарищами	1	1
34	друг друга и	1	1
35	может быть в	1	1
36	как и в	2	1
37	то и дело	1	1
