N	2gram	Bakhtin_Fr_2	BTomashe
1	и не	15	2
2	больше чем	1	2
3	все это	9	2
4	в ней	2	2
5	видеть в	2	2
6	можно было	3	2
7	за пределы	2	1
8	будто бы	1	1
9	об этом	1	1
10	и в	49	1
11	не вполне	1	1
12	и о	4	1
13	со всем	1	1
14	выходит за	1	1
15	к ней	2	1
16	что все	1	1
17	говорить не	1	1
18	с другой	4	1
19	в своей	5	1
20	своей книге	2	1
21	литературы как	1	1
22	на самом	2	1
23	и полно	1	1
24	было бы	3	1
25	все же	7	1
26	всяком случае	2	1
27	по этим	1	1
28	а о	1	1
29	точке зрения	1	1
30	меньше чем	2	1
31	еще не	2	1
32	художественном произведении	1	1
33	и на	17	1
34	в пределах	2	1
35	одной из	2	1
36	должна быть	1	1
37	в значительной	3	1
38	прежде всего	19	1
39	и во	4	1
40	так и	6	1
41	не было	4	1
42	в книге	3	1
43	из своей	2	1
44	совершенно не	2	1
45	далеко не	3	1
46	не о	1	1
47	всего в	1	1
48	до конца	2	1
49	а не	1	1
50	что в	2	1
51	в области	4	1
52	другой стороны	3	1
53	творчества и	1	1
54	и ее	1	1
55	чем на	1	1
56	таким образом	7	1
57	и более	4	1
58	и потому	5	1
59	не только	17	1
60	значительной степени	2	1
61	и свободный	1	1
62	во всяком	2	1
63	свою книгу	1	1
64	в эпоху	13	1
