N	3gram	Ircho_Kome_1	Morfolog
1	и т д	4	47
2	подобно тому как	1	5
3	по отношению к	3	4
4	в тех же	2	4
5	с другой стороны	5	4
6	тем не менее	1	4
7	независимо от того	1	3
8	как и в	2	3
9	в обоих случаях	1	2
10	состоит в том	1	2
11	отсюда видно что	1	2
12	более или менее	1	2
13	в тех случаях	1	2
14	ни одной из	1	2
15	то время как	4	2
16	с одной стороны	3	2
17	и таким образом	2	2
18	в то время	5	2
19	тех случаях когда	1	2
20	в большинстве случаев	1	2
21	для того чтобы	1	2
22	в том что	9	2
23	не означает что	1	1
24	к этому же	1	1
25	одна из них	1	1
26	к земле и	1	1
27	бросается в глаза	1	1
28	в подземное царство	1	1
29	хотя и не	1	1
30	он может быть	1	1
31	том что он	4	1
32	что иное как	1	1
33	что же касается	1	1
34	же в этих	1	1
35	может быть объяснена	1	1
36	до сих пор	2	1
37	так мы получаем	1	1
38	ни в коем	1	1
39	для этой цели	1	1
40	бы то ни	2	1
41	некоторый свет на	1	1
42	можно было бы	1	1
43	с этим и	1	1
44	чаще всего в	1	1
45	в коем случае	1	1
46	в применении к	1	1
47	в данном случае	1	1
48	к заключению что	1	1
49	в мгновение ока	1	1
50	непосредственно или в	1	1
51	т д все	1	1
52	во всяком случае	2	1
53	из них не	1	1
54	а в другом	1	1
55	потому что они	1	1
56	то же время	4	1
57	по тем же	1	1
58	один из любимейших	1	1
59	в одном случае	1	1
60	о том что	3	1
61	с самого начала	1	1
62	на то что	2	1
63	и независимо от	1	1
64	которые могут быть	1	1
65	в другом случае	1	1
66	в то же	4	1
67	к тому что	1	1
68	не что иное	1	1
69	его т е	1	1
