N	2gram	Potebnia_M_1	VrazhdaK
1	не только	21	9
2	в этом	15	8
3	и в	39	8
4	и что	10	8
5	но и	20	7
6	и все	3	7
7	то что	10	7
8	что в	22	7
9	все же	6	6
10	но в	9	6
11	в нем	20	6
12	как и	9	6
13	в котором	1	6
14	и с	3	6
15	о нем	1	6
16	в начале	2	6
17	и даже	4	6
18	то же	6	5
19	в то	4	5
20	же время	4	5
21	между тем	5	5
22	в письме	1	5
23	у него	1	5
24	не было	4	5
25	и не	18	5
26	в ней	7	4
27	что он	1	4
28	в истории	7	4
29	при этом	6	4
30	это не	7	4
31	несмотря на	5	4
32	все это	1	4
33	в виду	2	4
34	с ним	3	4
35	о том	2	4
36	для нас	9	4
37	уже в	1	4
38	может быть	27	4
39	как бы	6	4
40	в своих	4	4
41	так же	5	4
42	одним из	2	3
43	в чем	1	3
44	с его	1	3
45	в своем	3	3
46	и как	6	3
47	на то	2	3
48	его в	1	3
49	он не	3	3
50	далеко не	1	3
51	и уже	1	3
52	том что	16	3
53	но он	2	3
54	что есть	1	3
55	и его	5	3
56	связи с	3	3
57	и о	2	3
58	что у	1	3
59	и во	3	3
60	в его	5	3
61	в том	26	3
62	давно уже	1	3
63	тем что	9	3
64	в связи	1	3
65	мысль на	1	3
66	к этому	1	3
67	отношения к	1	2
68	же как	1	2
69	и то	3	2
70	б и	2	2
71	столь же	3	2
72	но как	3	2
73	ответ на	1	2
74	тогда как	2	2
75	в известном	1	2
76	его на	2	2
77	при создании	1	2
78	в этой	3	2
79	что к	2	2
80	в себе	13	2
81	после этого	2	2
82	их в	1	2
83	нашего времени	1	2
84	таким образом	13	2
85	в мире	3	2
86	в глазах	3	2
87	в них	3	2
88	рядом с	1	2
89	не мог	3	2
90	в эту	1	2
91	во время	1	2
92	точки зрения	8	2
93	в своей	3	2
94	и ее	1	2
95	с точки	3	2
96	не менее	6	2
97	том же	2	2
98	никогда не	4	2
99	его с	2	2
100	на это	1	2
101	и это	3	2
102	же не	1	2
103	так в	1	2
104	еще не	6	2
105	там же	9	2
106	тем более	2	2
107	пришел к	1	2
108	по мнению	3	2
109	с нею	4	2
110	уже не	2	2
111	при помощи	2	2
112	из них	1	2
113	могли быть	1	2
114	для него	4	2
115	к ним	2	2
116	о влиянии	1	2
117	как же	1	2
118	начиная с	1	2
119	не может	22	2
120	вместе с	8	2
121	но это	5	2
122	что я	1	2
123	же в	2	2
124	а в	5	2
125	в свою	4	2
126	а между	3	1
127	от этой	1	1
128	с утверждением	1	1
129	вряд ли	1	1
130	этого в	2	1
131	ко всем	2	1
132	человека и	1	1
133	того же	3	1
134	свидетельствует что	1	1
135	не имел	1	1
136	и есть	2	1
137	что слово	3	1
138	которую они	1	1
139	едва ли	1	1
140	уже по	1	1
141	в их	2	1
142	по его	7	1
143	полагает что	1	1
144	не вдаваясь	1	1
145	той же	3	1
146	по объему	1	1
147	тою же	1	1
148	именно к	1	1
149	начинается с	1	1
150	равно как	1	1
151	совпадает с	1	1
152	в полной	1	1
153	в разные	2	1
154	ему в	1	1
155	а другие	1	1
156	одном из	1	1
157	на них	1	1
158	его представления	1	1
159	материала это	1	1
160	объему и	1	1
161	влияния на	1	1
162	служит для	2	1
163	а следовательно	1	1
164	одним словом	2	1
165	но не	8	1
166	не все	2	1
167	если в	1	1
168	есть по	1	1
169	некоторые черты	1	1
170	что они	1	1
171	к сожалению	1	1
172	из которого	3	1
173	же с	7	1
174	независимо от	6	1
175	как в	10	1
176	с этим	7	1
177	для создания	1	1
178	дает нам	1	1
179	для всех	5	1
180	некоторое время	1	1
181	по которому	1	1
182	что как	3	1
183	сходились в	1	1
184	в мысли	8	1
185	себе на	1	1
186	себе не	1	1
187	то в	5	1
188	в самом	3	1
189	же быть	1	1
190	что это	3	1
191	в целом	2	1
192	что же	2	1
193	во многих	2	1
194	как он	1	1
195	не могла	2	1
196	да и	1	1
197	от которого	1	1
198	имело бы	1	1
199	высшей степени	1	1
200	ключ к	2	1
201	этот процесс	1	1
202	из него	2	1
203	что ни	1	1
204	и этот	1	1
205	однако в	4	1
206	одно и	1	1
207	не будет	2	1
208	их и	2	1
209	а их	1	1
210	не имело	1	1
211	это было	1	1
212	заключается в	3	1
213	было бы	12	1
214	задолго до	1	1
