N	3gram	Bakhtin_sl_2	Hudozhes
1	по отношению к	4	10
2	в отличие от	12	7
3	то же время	4	6
4	в то же	4	6
5	более или менее	2	5
6	с другой стороны	1	5
7	той или иной	5	5
8	в том что	4	5
9	с точки зрения	3	3
10	тем не менее	1	3
11	того или иного	1	3
12	в той или	3	2
13	и в то	1	2
14	до известной степени	1	2
15	в значительной степени	6	2
16	с одной стороны	5	2
17	в свою очередь	2	2
18	для того чтобы	2	2
19	тем или иным	1	2
20	том числе и	1	2
21	в том числе	1	2
22	сама по себе	3	2
23	и в сущности	2	1
24	точки зрения и	1	1
25	иметь в виду	1	1
26	а не с	1	1
27	иметь место в	1	1
28	в этом случае	6	1
29	в зависимости от	4	1
30	что он не	1	1
31	перед нами не	1	1
32	могли бы быть	1	1
33	шире и глубже	1	1
34	и тем и	1	1
35	может быть и	2	1
36	становления мира в	1	1
37	за ним всегда	1	1
38	говорящего и его	1	1
39	по себе еще	1	1
40	отношении к нему	1	1
41	и в пределах	1	1
42	не могут быть	2	1
43	в евгении онегине	1	1
44	это возможно в	1	1
45	в связи с	2	1
46	однако при этом	1	1
47	являются такими же	1	1
48	чужой речи и	1	1
49	то есть от	2	1
50	все то что	1	1
51	с его внешними	1	1
52	по ту сторону	1	1
53	а в том	1	1
54	в частности в	1	1
55	по себе а	1	1
56	в основе его	2	1
57	при этом и	1	1
58	в истории литературы	2	1
59	о том что	1	1
60	тем и другим	1	1
61	включает в себя	2	1
62	к чужому слову	2	1
63	речь идет о	1	1
64	может и не	1	1
65	в этих случаях	1	1
66	тех или иных	1	1
67	в отношении к	4	1
68	он не только	1	1
69	том что он	1	1
70	не может быть	15	1
71	человека и его	2	1
72	как и в	1	1
