N	3gram	Nazirov_Tv_1	Sotsiolo
1	в том что	6	2
2	дело не в	1	2
3	в конце концов	1	2
4	по отношению к	1	2
5	все же это	1	1
6	в настоящее время	1	1
7	о литературе о	1	1
8	не может не	1	1
9	только то что	1	1
10	вот в чем	1	1
11	по крайней мере	2	1
12	то что в	1	1
13	в наше время	2	1
14	то же самое	1	1
15	в конечном счете	4	1
16	в то же	13	1
17	это вовсе не	1	1
18	в этой области	1	1
19	что все это	3	1
20	в связи с	1	1
21	то же время	12	1
22	чуть ли не	1	1
23	и наконец в	1	1
24	и в то	2	1
25	с одной стороны	1	1
26	бы он ни	1	1
