N	3gram	Bakhtin_Fr_3	KFilosof
1	по отношению к	2	21
2	не может быть	2	11
3	с точки зрения	1	10
4	в его целом	1	9
5	может быть только	1	6
6	в нем и	1	3
7	на самом деле	3	3
8	между тем как	1	3
9	и в этом	1	3
10	в ее целом	1	3
11	но все эти	1	3
12	может быть в	2	3
13	дело здесь не	1	2
14	имеем в виду	1	2
15	бы то ни	1	2
16	то ни было	1	2
17	во всех этих	1	2
18	во всех отношениях	1	2
19	бы и не	1	2
20	то же время	6	2
21	той или иной	2	2
22	в то же	6	2
23	в том что	1	2
24	о нем не	1	1
25	в виду и	1	1
26	до конца в	1	1
27	нет и не	1	1
28	но только не	1	1
29	в настоящее время	1	1
30	имеют дело с	1	1
31	в средние века	1	1
32	в том же	2	1
33	не подлежит сомнению	1	1
34	хотя бы и	1	1
35	такова же и	1	1
36	в этом тоне	1	1
37	все это лишь	1	1
38	в основе своей	1	1
39	в данном контексте	1	1
40	может быть и	1	1
41	может быть понято	1	1
42	приводит его в	1	1
43	в первом случае	1	1
44	но в то	4	1
45	смысле этого слова	1	1
46	рождение и смерть	1	1
47	притом не только	1	1
48	дело в том	1	1
49	областей культуры и	1	1
50	во всяком случае	1	1
51	мы не найдем	1	1
52	и т.п но	1	1
53	для того чтобы	3	1
54	своей причастности к	1	1
55	вместо того чтобы	1	1
56	в целом не	1	1
57	было бы совершенно	1	1
58	в значительной степени	2	1
59	здесь вовсе не	1	1
60	что может быть	1	1
61	на основе своей	1	1
62	в свою очередь	1	1
63	само по себе	1	1
64	жизни и смерти	2	1
65	включает в себя	1	1
66	и все остальные	1	1
67	не было ни	3	1
68	между жизнью и	3	1
69	книги но и	1	1
70	это может быть	1	1
71	его целом в	1	1
72	что и в	1	1
73	на том что	1	1
