N	2gram	Bakhtin_Fr_3	ViktorSh
1	в книге	2	3
2	и в	40	2
3	том что	4	2
4	в том	8	2
5	в конце	3	2
6	и только	1	1
7	все дело	1	1
8	под влиянием	1	1
9	ни к	1	1
10	в другом	3	1
11	хотя бы	2	1
12	и не	13	1
13	все время	1	1
14	и его	17	1
15	потому что	2	1
16	самом деле	3	1
17	другом месте	1	1
18	все это	4	1
19	именно в	2	1
20	главным образом	1	1
21	в их	4	1
22	как же	1	1
23	дело в	2	1
24	техники и	1	1
25	в частности	3	1
26	i г	1	1
27	так в	4	1
28	речи и	1	1
29	стр на	1	1
30	одно и	1	1
31	все то	2	1
32	ведь это	1	1
33	говоря о	1	1
34	в значительной	3	1
35	в самом	6	1
36	для них	1	1
37	только в	3	1
38	то же	7	1
39	так как	4	1
40	далеко не	2	1
41	но это	3	1
42	в этом	15	1
43	да и	1	1
44	имеется в	1	1
45	на одном	1	1
46	к этому	6	1
47	значительной степени	2	1
48	гораздо более	1	1
49	образом связаны	1	1
50	том же	2	1
51	связанным с	1	1
