N	2gram	Vygotskiy__2	EvropaiC
1	таким образом	21	32
2	в том	37	31
3	и в	32	24
4	том что	21	20
5	все эти	7	19
6	не может	17	18
7	то что	21	17
8	может быть	18	15
9	все же	4	15
10	точки зрения	17	13
11	самом деле	16	12
12	до сих	5	12
13	в этом	13	12
14	сих пор	5	12
15	с этим	4	11
16	между тем	4	11
17	все это	5	11
18	во всех	3	10
19	культуры и	1	10
20	так и	3	10
21	из себя	2	10
22	мы знаем	7	10
23	как бы	6	10
24	все что	2	10
25	того же	2	9
26	на то	11	9
27	при этом	13	9
28	как и	10	9
29	с другом	1	9
30	друг с	1	9
31	в результате	1	9
32	что в	20	9
33	а и	1	8
34	в самом	12	8
35	касается до	1	8
36	с точки	10	8
37	знаем что	4	8
38	не в	8	8
39	ясно что	7	8
40	если бы	6	8
41	так же	18	8
42	и все	4	8
43	а между	1	7
44	на самом	5	7
45	из этих	1	7
46	в силу	1	7
47	или менее	1	7
48	не менее	8	7
49	в психике	1	7
50	по существу	3	7
51	того чтобы	14	7
52	к тому	7	7
53	для этого	3	7
54	о том	6	7
55	и что	22	7
56	что он	13	7
57	для того	13	7
58	но и	10	7
59	и не	10	7
60	более или	1	7
61	из этого	4	7
62	еще не	2	6
63	и на	5	6
64	в общем	3	6
65	что касается	1	6
66	в этой	6	6
67	в сознании	4	6
68	несмотря на	4	6
69	и при	2	6
70	от друга	1	6
71	что и	17	6
72	при чем	2	6
73	того что	8	6
74	только в	7	6
75	так что	3	6
76	так как	12	6
77	мы можем	3	6
78	друг от	1	6
79	с другой	3	6
80	вместе с	2	6
81	отличается от	2	6
82	у них	2	6
83	как на	5	6
84	из всех	2	5
85	столь же	4	5
86	как к	3	5
87	и к	3	5
88	но в	3	5
89	в которой	2	5
90	что это	8	5
91	в целом	4	5
92	в себе	2	5
93	тому же	1	5
94	не только	12	5
95	и если	1	5
96	но все	1	5
97	не будет	1	5
98	что все	9	5
99	и с	4	5
100	на все	5	5
101	его в	1	5
102	и без	2	5
103	что с	3	5
104	в то	5	5
105	как будто	7	5
106	что при	9	5
107	по сравнению	2	5
108	в пользу	1	5
109	в его	2	5
110	потому что	21	5
111	и их	3	5
112	именно в	1	5
113	далеко не	5	5
114	ничем не	1	5
115	другой стороны	2	5
116	по своему	3	5
117	сравнению с	2	5
118	представляет из	1	5
119	и для	4	5
120	и от	2	5
121	случае если	4	5
122	к этому	1	5
123	одним из	1	4
124	и то	3	4
125	то же	13	4
126	та же	3	4
127	из того	2	4
128	что его	5	4
129	отношение к	2	4
130	данный момент	1	4
131	что как	1	4
132	он не	6	4
133	в одну	1	4
134	факт что	1	4
135	том случае	4	4
136	из них	4	4
137	должно быть	1	4
138	иначе говоря	4	4
139	в их	3	4
140	сходства с	1	4
141	тем не	4	4
142	том же	2	4
143	поэтому что	1	4
144	этой области	2	4
145	из которых	2	4
146	что эта	1	4
147	и проч	1	4
148	связи с	1	4
149	и сейчас	3	4
150	никогда не	9	4
151	и т.д	1	4
152	на вопрос	2	4
153	и у	2	4
154	если мы	12	4
155	не есть	1	4
156	в виде	1	4
157	не так	2	4
158	а потому	2	4
159	в конце	3	4
160	в области	1	4
161	а с	2	4
162	которых мы	3	4
163	конце концов	3	4
164	его собственной	1	4
165	тот факт	1	4
166	не могут	3	4
167	в европейской	1	4
168	это есть	1	4
169	в состоянии	2	4
170	этом случае	1	4
171	мы должны	3	4
172	хотя бы	3	4
173	состоит из	2	4
174	совершенно не	4	4
175	в таком	2	4
176	как известно	1	3
177	же как	4	3
178	с в	2	3
179	не вполне	2	3
180	но даже	2	3
181	самих себя	1	3
182	в данном	4	3
183	мы будем	2	3
184	очевидно что	2	3
185	которые не	3	3
186	в истории	1	3
187	целый ряд	6	3
188	что по	2	3
189	и наконец	1	3
190	на нас	3	3
191	в нашем	1	3
192	в тех	1	3
193	к которой	2	3
194	в нем	4	3
195	самой сущности	1	3
196	и по	4	3
197	и может	1	3
198	в совершенно	1	3
199	заключается в	12	3
200	это не	2	3
201	на почве	1	3
202	в жизни	4	3
203	с тем	11	3
204	чем в	1	3
205	и того	1	3
206	одного и	2	3
207	в этих	2	3
208	что если	6	3
209	таким же	1	3
210	представление о	3	3
211	что их	1	3
212	образом в	3	3
213	для нас	2	3
214	в разных	1	3
215	во всем	3	3
