N	3gram	Bakhtin_sl_2	Tragedij
1	то же время	4	5
2	в то же	4	5
3	так и в	3	3
4	в отличие от	12	2
5	и в дальнейшем	1	2
6	это очень важно	1	2
7	но в то	3	2
8	между этими двумя	1	2
9	о том что	1	2
10	но все же	4	2
11	в том что	4	2
12	в этом случае	6	1
13	отцах и детях	1	1
14	от силы и	1	1
15	в известной степени	1	1
16	не только о	2	1
17	том что он	1	1
18	и до конца	1	1
19	в основном на	1	1
20	у него нет	2	1
21	и не может	1	1
22	хотя бы и	2	1
23	в той же	1	1
24	что он не	1	1
25	и т п	33	1
26	и в истории	2	1
27	это как бы	1	1
28	в применении к	1	1
29	что уже не	1	1
30	во всяком случае	2	1
31	в чем же	1	1
32	тем не менее	1	1
33	не могут быть	2	1
34	необходимо отметить что	2	1
35	бы и не	1	1
36	в связи с	2	1
37	оно сливается с	1	1
38	не может быть	15	1
39	романа и в	1	1
40	с самого начала	1	1
41	не только не	1	1
42	в отцах и	1	1
43	наших дней на	1	1
44	роль в романе	1	1
45	во всем его	1	1
46	как и в	1	1
47	своей и чужой	1	1
