N	3gram	Berdyaev_N_1	Problema
1	о том что	1	9
2	в том что	1	8
3	с другой стороны	2	5
4	в этом смысле	2	3
5	может быть только	1	3
6	вместе с тем	2	3
7	то время как	1	3
8	с одной стороны	2	3
9	как будто бы	1	3
10	в то время	1	3
11	в новое время	1	3
12	равно как и	2	2
13	в том числе	1	2
14	до сих пор	1	2
15	но и в	1	2
16	и не в	1	2
17	не может быть	4	2
18	во всяком случае	1	2
19	такой же мере	1	1
20	между небом и	1	1
21	было то что	1	1
22	в этом ничем	1	1
23	и из них	1	1
24	потому что не	1	1
25	римской империи и	1	1
26	не было и	1	1
27	дня и ночи	1	1
28	о том чтобы	1	1
29	в наше время	3	1
30	человек нового времени	1	1
31	том числе и	1	1
32	можно было бы	1	1
33	нет у него	1	1
34	нового времени в	1	1
35	только потому что	1	1
36	этом ничем не	1	1
37	другой же стороны	1	1
38	не только в	1	1
39	и потому что	1	1
40	в такой же	1	1
41	должны стремиться к	1	1
42	в эпоху падения	1	1
43	в самом себе	1	1
44	хотя и в	1	1
45	природе и в	1	1
46	бог так же	1	1
47	ни в чем	1	1
48	что в новом	1	1
49	и вместе с	1	1
50	имея в виду	1	1
51	это и есть	1	1
52	не в силах	1	1
53	он погружается в	1	1
54	и до сих	1	1
55	вопрос о том	2	1
56	с другой же	1	1
57	и для того	1	1
58	в большинстве случаев	1	1
59	в том смысле	1	1
60	в нем не	1	1
