N	4gram	Voloshinov_1	formyVre
1	в то же время	7	6
2	одного и того же	1	5
3	и в то же	2	4
4	одно и то же	3	3
5	с нашей точки зрения	1	3
6	но для того чтобы	2	2
7	в связи с этим	2	2
8	в одном и том	1	1
9	как мы уже знаем	1	1
10	всего бросается в глаза	1	1
11	всего того что было	1	1
12	но вместе с тем	1	1
13	и для того чтобы	2	1
14	в жизни и в	1	1
15	одном и том же	1	1
16	не связанных между собой	1	1
17	вне всякой связи с	1	1
18	но в то же	2	1
19	вместе с тем и	2	1
20	в тех случаях когда	2	1
21	но все же и	1	1
