N	3gram	Kanaev_Sov_1	FransuaR
1	то же время	1	5
2	в то же	1	5
3	в самом деле	1	4
4	с одной стороны	1	4
5	до сих пор	1	3
6	одной стороны и	1	2
7	с точки зрения	5	2
8	но уже в	1	2
9	в предыдущей главе	1	2
10	со всеми его	1	2
11	в данном случае	1	2
12	и тот же	1	2
13	прежде всего мы	1	2
14	в том что	1	2
15	с помощью которых	2	2
16	и прежде всего	1	2
17	до наших дней	1	1
18	по отношению к	1	1
19	в обоих случаях	1	1
20	не дает нам	1	1
21	ровно ничего не	1	1
22	дело в том	1	1
23	в настоящее время	2	1
24	один и тот	1	1
25	у нас на	1	1
26	на этот вопрос	1	1
27	но если мы	1	1
28	по самому своему	1	1
29	не подлежит никакому	1	1
30	в этой области	1	1
31	никакому сомнению что	1	1
32	подлежит никакому сомнению	1	1
33	мы видим что	1	1
34	самому своему существу	1	1
35	в связи с	1	1
36	каждый раз он	1	1
37	не может быть	4	1
38	мы видели что	3	1
39	в зависимости от	4	1
40	и вообще на	1	1
41	той или иной	1	1
42	но все же	1	1
43	как мы видим	1	1
44	видели что это	1	1
45	ни о каком	1	1
46	и до сих	1	1
47	это как бы	1	1
48	что все они	1	1
49	таким образом все	1	1
