N	3gram	Bakhtin_fo_2	UchenyiS
1	не может быть	1	4
2	с другой стороны	1	3
3	то же время	4	3
4	в то же	4	3
5	то же самое	2	2
6	до сих пор	2	2
7	в этом отношении	2	2
8	в том что	3	2
9	в конце концов	1	2
10	так много в	1	1
11	другой стороны в	1	1
12	и в их	1	1
13	равно как и	2	1
14	имеем в виду	3	1
15	в точном смысле	1	1
16	в значительной мере	1	1
17	в этом случае	2	1
18	в широком смысле	1	1
19	и не только	1	1
20	на первый план	2	1
21	должно быть по	1	1
22	общего и основного	1	1
23	и в то	3	1
24	не было бы	2	1
25	с тем что	1	1
26	и прежде всего	3	1
27	которых так много	1	1
28	и все они	1	1
29	можно сказать что	1	1
30	весь и сплошь	2	1
31	мы имеем в	2	1
32	в частности с	1	1
33	и у других	1	1
34	то что было	2	1
35	конечно не в	1	1
36	только в этом	1	1
37	друг с другом	4	1
38	в данном случае	1	1
39	но в то	1	1
40	не только в	5	1
41	с одной стороны	1	1
42	вот почему в	1	1
43	на первый взгляд	1	1
