N	3gram	Vinokur_Ku_1	Tvorches
1	и т д	14	11
2	то же время	2	7
3	в то же	2	7
4	в братьях карамазовых	1	6
5	в соответствии с	3	4
6	по отношению к	8	3
7	до сих пор	4	3
8	не может быть	3	3
9	но прежде всего	1	2
10	если не считать	1	2
11	в самом деле	7	2
12	и в то	1	2
13	в отличие от	1	2
14	в наше время	1	2
15	на этот вопрос	1	2
16	по крайней мере	5	2
17	в известной мере	1	2
18	едва ли не	1	2
19	так же как	1	2
20	во всяком случае	5	2
21	с другой стороны	6	2
22	в дневнике писателя	1	2
23	так и в	2	2
24	не в силах	1	2
25	и т п	18	2
26	о том что	5	2
27	в целом и	2	2
28	в том что	15	2
29	внимание читателя на	1	1
30	и потому что	2	1
31	о том как	3	1
32	т д и	2	1
33	начале xix века	1	1
34	так же ли	1	1
35	сами по себе	1	1
36	в первую очередь	2	1
37	в случае с	1	1
38	а может быть	1	1
39	можно было бы	3	1
40	точно так же	1	1
41	в письме к	1	1
42	большую роль в	1	1
43	д все это	1	1
44	что ничего не	1	1
45	не то что	1	1
46	только потому что	6	1
47	в том смысле	1	1
48	в применении к	1	1
49	на наших глазах	1	1
50	в противоречии с	1	1
51	в начале xix	1	1
52	было бы перевести	1	1
53	еще не все	1	1
54	а с другой	3	1
55	так и не	1	1
56	в свою очередь	3	1
57	той или иной	1	1
58	это все же	1	1
59	в связи с	3	1
60	при этом на	1	1
61	это не значит	1	1
62	не только потому	1	1
63	т д все	1	1
64	не столько к	1	1
65	потому что они	1	1
66	в стороне от	1	1
67	на той же	1	1
68	того или иного	3	1
69	это еще не	1	1
70	д и т	2	1
71	как и всякая	1	1
72	том смысле что	1	1
73	о характере этого	1	1
74	ничего общего с	1	1
75	и если бы	1	1
76	при этом что	1	1
77	таким образом первая	1	1
78	не так же	1	1
79	но нас интересует	1	1
80	в каждом из	2	1
81	что в них	2	1
82	того факта что	1	1
83	мы говорим о	1	1
84	и если не	1	1
