N	2gram	Tiupa_Disk_2	Tragedij
1	и в	16	18
2	в романе	1	10
3	в году	1	9
4	в этом	16	9
5	не только	10	8
6	он сам	1	7
7	и с	2	7
8	и на	5	7
9	может быть	16	7
10	как бы	4	7
11	и не	15	7
12	ивана петровича	2	6
13	но в	11	6
14	и его	3	6
15	в образе	1	6
16	же время	5	6
17	что он	2	6
18	то же	6	5
19	все же	6	5
20	это не	3	5
21	как и	16	5
22	несмотря на	1	5
23	в то	5	5
24	так и	9	5
25	не может	9	5
26	к жизни	3	5
27	я не	1	4
28	еще не	6	4
29	в себе	19	4
30	в целом	2	4
31	в этой	4	4
32	в нем	7	4
33	об этом	1	4
34	том что	10	4
35	и что	1	4
36	но и	11	4
37	и даже	1	4
38	прежде всего	7	4
39	но это	3	4
40	все это	2	4
41	что в	5	4
42	и все	3	4
43	то что	5	4
44	достоевского в	1	3
45	в мире	11	3
46	своего рода	10	3
47	отнюдь не	6	3
48	как в	8	3
49	в своем	5	3
50	и как	3	3
51	все эти	3	3
52	при этом	17	3
53	то есть	12	3
54	должно быть	2	3
55	тем самым	6	3
56	о чем	2	3
57	с ее	2	3
58	и сам	1	3
59	с ним	1	3
60	в его	3	3
61	один из	1	3
62	романа и	2	3
63	для него	5	3
64	как будто	3	3
65	как это	1	3
66	в первом	1	2
67	и до	1	2
68	никогда не	2	2
69	и то	4	2
70	он был	1	2
71	не был	1	2
72	столь же	3	2
73	с его	6	2
74	отношение к	2	2
75	отличие от	12	2
76	тут же	2	2
77	не просто	1	2
78	так что	1	2
79	перед нами	3	2
80	я к	1	2
81	в самом	1	2
82	в записках	2	2
83	жизнью и	2	2
84	по словам	2	2
85	он не	3	2
86	но все	1	2
87	его в	3	2
88	в глазах	1	2
89	превратилось в	1	2
90	в это	1	2
91	ни в	7	2
92	любви и	1	2
93	в ходе	2	2
94	в отличие	12	2
95	вопрос о	1	2
96	одном из	3	2
97	не в	3	2
98	что этот	1	2
99	но они	1	2
100	одна из	1	2
