N	2gram	Voloshinov_1	Otkroven
1	и в	13	19
2	но и	3	13
3	и не	8	13
4	в этом	2	12
5	не в	3	11
6	не только	6	11
7	может быть	8	11
8	а не	2	11
9	человека и	1	10
10	вопрос о	1	10
11	в нем	2	10
12	и все	3	10
13	в самой	1	9
14	прежде всего	9	9
15	не было	1	9
16	никогда не	3	9
17	потому что	1	9
18	и он	1	8
19	он всегда	1	7
20	в его	7	7
21	лишь в	4	7
22	до конца	1	7
23	нет ничего	2	7
24	от него	1	7
25	как и	3	6
26	все это	4	6
27	отношение к	1	5
28	в том	2	5
29	в самом	2	5
30	в этой	1	5
31	для него	2	5
32	а в	2	5
33	то что	6	5
34	с его	1	4
35	все эти	2	4
36	не может	8	4
37	того чтобы	1	4
38	и его	12	4
39	что в	3	4
40	только и	4	4
41	и есть	1	3
42	быть может	1	3
43	еще не	1	3
44	к нему	1	3
45	было бы	4	3
46	что он	1	3
47	и ее	2	3
48	в себе	3	3
49	и вот	1	3
50	для того	1	3
51	только одно	1	3
52	никто не	1	3
53	мысли и	1	3
54	могут быть	2	3
55	как бы	6	3
56	хотя бы	5	3
57	в своих	2	3
58	влечет к	1	3
59	и то	3	2
60	в ее	3	2
61	так и	3	2
62	и о	1	2
63	движение в	1	2
64	по себе	1	2
65	сложнее и	1	2
66	художественном творчестве	1	2
67	природы и	1	2
68	совсем не	1	2
69	что они	2	2
70	в истории	1	2
71	как к	1	2
72	в своем	1	2
73	все же	5	2
74	и к	2	2
75	в этот	2	2
76	в которой	3	2
77	учение о	2	2
78	уже в	2	2
79	одно из	1	2
80	он весь	1	2
81	которую он	1	2
82	так как	3	2
83	и никогда	1	2
84	тем что	2	2
85	даже и	1	2
86	в другом	2	2
87	что ведь	1	2
88	его в	1	2
89	сказать что	1	2
90	для человека	1	2
91	должно быть	1	2
92	него не	1	2
93	подойти к	2	2
94	том что	2	2
95	ставится в	1	2
96	ко всем	1	2
97	к этому	1	2
98	что же	3	2
99	и там	1	2
100	в человеческом	1	2
101	не имеет	2	2
102	и для	3	2
103	в своей	4	2
104	всего в	1	2
105	ее в	2	2
106	но в	4	2
107	смысле слова	2	1
108	и это	1	1
109	также и	1	1
110	например в	1	1
111	и через	1	1
112	связана с	3	1
113	в виду	1	1
114	на нем	1	1
115	не могу	1	1
116	на самом	1	1
117	науки о	1	1
118	но тем	1	1
119	вовлекаются в	1	1
120	к другому	1	1
121	и до	1	1
122	не имеют	1	1
123	можно было	1	1
124	есть не	2	1
125	в борьбе	1	1
126	свободы которую	1	1
127	мы не	4	1
128	ту же	1	1
129	если бы	2	1
130	в эпоху	1	1
131	и делают	2	1
132	но может	1	1
133	не вполне	1	1
134	другом месте	1	1
135	себе что	2	1
136	о границах	1	1
137	в ней	2	1
138	для целей	3	1
139	и что	1	1
140	почему же	1	1
141	самом деле	3	1
142	в которую	2	1
143	но не	1	1
144	то он	1	1
145	лишь путем	2	1
146	и остаются	1	1
147	цели которая	1	1
148	нуждается в	2	1
149	с духом	1	1
150	отметить что	1	1
151	и достоевский	1	1
152	и чем	1	1
153	все время	1	1
154	в одной	1	1
155	как в	2	1
156	один из	1	1
157	князь мышкин	1	1
158	и как	1	1
159	с ними	2	1
160	от этого	2	1
161	может привести	1	1
162	который в	1	1
163	каковы границы	1	1
164	существует лишь	1	1
165	со всеми	1	1
166	думать что	2	1
167	нигде и	1	1
168	с их	1	1
169	формы все	1	1
170	системы и	1	1
171	на то	1	1
172	а вовсе	1	1
173	еще одну	1	1
174	что она	1	1
175	и других	1	1
176	да и	3	1
177	речи и	1	1
178	раз навсегда	1	1
179	его и	1	1
180	к одному	3	1
181	в одном	3	1
182	все устойчивые	1	1
183	вовсе не	2	1
184	это ложное	1	1
185	само по	1	1
186	из него	1	1
187	людей и	1	1
188	лишь с	1	1
189	этом отношении	1	1
190	в каждом	4	1
191	же не	1	1
192	и характер	1	1
193	в совершенно	1	1
194	уже сам	1	1
195	заключается в	1	1
196	главное и	1	1
197	истории и	1	1
198	к счастью	1	1
199	кажется что	2	1
200	и пр	7	1
201	в них	2	1
202	этого слова	1	1
203	она и	1	1
204	и самый	1	1
205	в мире	1	1
206	и тогда	1	1
207	он и	1	1
208	и случайное	2	1
209	я хочу	3	1
210	связь с	1	1
211	этом нужно	1	1
212	художественного творчества	1	1
213	как это	1	1
214	он говорит	1	1
215	и более	1	1
216	в конце	1	1
217	быть не	1	1
218	нет никакого	1	1
219	в отношении	2	1
220	и здесь	1	1
221	но это	1	1
222	но у	1	1
223	одну особенность	1	1
224	всего его	1	1
225	мысли в	1	1
226	в какую-то	1	1
227	того как	1	1
228	одна из	1	1
229	в науке	1	1
230	со всей	3	1
231	в процессе	5	1
232	указать на	1	1
233	связанная с	1	1
234	не существует	1	1
235	его творческого	1	1
236	есть одно	1	1
237	в разных	1	1
238	ее и	1	1
239	бы в	2	1
240	по своей	1	1
241	во всем	2	1
242	творчества но	1	1
243	ведь этот	1	1
244	которым можно	1	1
245	в сознании	4	1
246	нужно отметить	2	1
247	да она	1	1
248	это все	1	1
249	и эта	5	1
250	среди них	1	1
251	но там	1	1
252	от всех	2	1
253	это конечно	1	1
254	особенно в	1	1
255	всегда нуждается	1	1
