1	в то же	4	7
2	то же время	4	7
3	в гораздо большей	1	4
4	гораздо большей степени	1	4
5	в том что	1	4
6	с точки зрения	11	3
7	с одной стороны	2	3
8	одно из важнейших	1	1
9	и не может	2	1
10	хотя бы и	1	1
11	но в отличие	1	1
12	в этом смысле	1	1
13	большинстве случаев только	1	1
14	не может быть	7	1
15	в отличие от	2	1
16	что с точки	1	1
17	в эту эпоху	1	1
18	том что в	1	1
19	по сравнению с	1	1
20	да и не	1	1
21	но в общем	3	1
22	мы знаем что	4	1
23	мы не будем	1	1
24	во всяком случае	7	1
25	для того чтобы	3	1
26	– все это	5	1
27	потому что по	1	1
28	в собственном смысле	3	1
29	мы видим в	1	1
30	можно говорить о	1	1
31	или хотя бы	1	1
32	и т д	1	1
33	не было бы	1	1
34	из этой области	1	1
35	сводится к следующему	1	1
36	но в то	2	1
37	в большинстве случаев	5	1
38	в них самих	1	1
