N	2gram	Berdyaev_N_1	Myshleni
1	то что	4	26
2	в этом	7	25
3	что он	1	25
4	потому что	4	21
5	в том	8	18
6	не может	16	18
7	того чтобы	2	17
8	не только	5	16
9	и в	16	16
10	так как	1	16
11	что в	9	16
12	том что	2	15
13	так же	2	15
14	для того	1	14
15	в сущности	1	13
16	сказать что	3	13
17	вопрос о	3	12
18	в области	1	12
19	и что	2	12
20	и не	11	12
21	в его	1	11
22	но не	2	10
23	в силу	1	10
24	было бы	1	10
25	только в	1	10
26	а не	17	10
27	может быть	7	9
28	в известном	1	8
29	должно быть	4	8
30	как и	7	8
31	в основе	3	8
32	о том	4	8
33	он не	8	8
34	как это	2	8
35	мы должны	1	8
36	же как	2	7
37	того же	1	7
38	переход от	1	7
39	и есть	10	7
40	в нем	5	7
41	но он	1	7
42	по себе	1	7
43	приводит к	1	7
44	так и	2	7
45	известном смысле	1	7
46	и на	2	6
47	но в	2	6
48	в этой	1	6
49	но если	1	6
50	не в	6	6
51	что все	2	6
52	у него	2	6
53	но и	3	6
54	в той	1	6
55	к тому	3	6
56	в такой	1	5
57	должна быть	3	5
58	как в	3	5
59	в своем	1	5
60	говорит что	1	5
61	в которой	1	5
62	своем развитии	1	5
63	мысли и	2	5
64	с ним	1	5
65	в то	2	5
66	никогда не	6	5
67	можно было	2	5
68	же мере	1	5
69	можно сказать	1	5
70	значит что	4	5
71	хотя бы	2	5
72	тем что	1	5
73	это значит	1	5
74	не знает	6	5
75	время как	2	4
76	за пределы	3	4
77	в самом	1	4
78	все эти	2	4
79	с их	2	4
80	вообще не	1	4
81	подобно тому	3	4
82	это не	4	4
83	такой же	2	4
84	мысли в	2	4
85	не имеет	4	4
86	могут быть	2	4
87	не есть	3	4
88	еще не	3	4
89	не означает	3	4
90	в новой	7	4
91	и их	1	4
92	то время	1	4
93	не могут	1	4
94	с другой	3	4
95	к которому	1	4
96	зависит от	2	4
97	что мы	1	4
98	вместе с	2	4
99	тому как	3	4
100	это есть	7	4
101	в состоянии	1	4
102	потребность в	1	4
103	в свою	1	4
104	это и	2	3
105	мы не	2	3
106	говорить о	1	3
107	как я	1	3
108	по своему	4	3
109	он может	1	3
110	с этим	2	3
111	он в	1	3
112	к внутренней	1	3
113	показал что	1	3
114	с тем	3	3
115	и того	1	3
116	в этих	1	3
117	сих пор	1	3
118	и более	1	3
119	нас к	1	3
120	не менее	4	3
121	в смысле	2	3
122	по своей	1	3
123	и его	1	3
124	переход к	2	3
125	еще в	1	3
126	и с	2	3
127	они возникают	1	3
128	вот почему	2	3
129	до сих	1	3
130	в чем	1	3
131	к нему	1	3
132	раньше чем	1	3
133	своей природе	1	3
134	вопрос об	1	3
135	с одной	2	3
136	вопроса о	1	3
137	а в	2	3
138	от того	1	3
139	перейти к	3	3
140	прежде всего	4	3
141	не на	1	3
142	к жизни	3	3
143	по существу	2	3
144	может идти	1	3
145	но это	6	3
146	одного и	1	3
147	одной стороны	2	3
148	мысли но	1	3
149	как на	1	3
150	к этой	1	3
151	значение в	1	3
152	они не	1	3
153	не имеют	2	2
154	в зависимости	1	2
155	я не	2	2
156	зависимости от	1	2
157	в ней	5	2
158	быть в	2	2
159	на их	1	2
160	во всех	3	2
161	отличие от	1	2
162	в центре	2	2
163	и к	5	2
164	что само	1	2
165	в этот	1	2
166	бы сказать	1	2
167	что она	2	2
168	к одному	1	2
169	мысли как	1	2
170	но все	1	2
171	на протяжении	2	2
172	в жизни	5	2
173	в них	4	2
174	в высшей	6	2
175	в своей	3	2
176	в котором	1	2
177	установить что	1	2
178	в отличие	1	2
179	значение для	1	2
180	все это	5	2
181	их в	1	2
182	высшей степени	6	2
183	во всем	1	2
184	для другого	1	2
185	то это	1	2
186	должны быть	1	2
187	не способен	1	2
188	знает что	1	2
189	в виду	1	2
190	неспособность к	1	2
191	в истории	3	2
192	на нее	1	2
193	не с	1	2
194	к самой	2	2
195	начинается в	1	2
196	говорим о	1	2
197	и из	1	2
198	самый процесс	2	2
199	может иметь	1	2
200	из них	1	2
201	к ним	3	2
202	как будто	2	2
203	более сложной	1	2
204	и даже	2	2
205	себя и	1	2
206	обратиться к	1	2
207	у нас	1	2
208	и потому	4	2
209	мы говорим	2	2
210	эту мысль	1	2
211	и от	2	2
212	только для	1	2
213	в более	1	2
214	совершается в	1	2
215	понять что	1	2
216	которая в	1	2
217	чтобы понять	1	2
218	или не	1	2
219	от всякого	2	2
220	другой стороны	2	2
221	жизни и	8	2
222	во всяком	1	2
223	все что	1	2
224	смысле слова	3	1
225	связана с	2	1
226	должно стать	2	1
227	только потому	1	1
228	не через	1	1
229	мы уже	1	1
230	же процесса	1	1
231	совершенно так	1	1
232	это делали	1	1
233	он действует	1	1
234	но она	2	1
235	в будущем	2	1
236	что его	1	1
237	с его	6	1
238	в ее	3	1
239	значение и	1	1
240	есть по	1	1
241	которые они	1	1
242	ни одна	2	1
243	что совершается	1	1
244	к новому	7	1
245	каким путем	1	1
246	в себе	2	1
247	думать что	2	1
248	дальше и	1	1
249	освобождение от	1	1
250	теперь ему	1	1
251	переходит от	1	1
252	оно должно	1	1
253	том чтобы	2	1
254	по всем	1	1
255	своеобразии мы	1	1
256	характерным для	1	1
257	смысле как	1	1
258	и заключается	2	1
259	значительной степени	1	1
260	от нее	1	1
261	лишь в	6	1
262	ней нет	1	1
263	этом смысле	2	1
264	времени что	1	1
265	свою противоположность	1	1
266	ни в	6	1
267	формы мысли	1	1
268	он конечно	1	1
269	переходе от	2	1
270	в советской	1	1
271	место в	2	1
272	не столько	1	1
273	том смысле	1	1
274	дальнейшее развитие	1	1
275	они сами	1	1
276	одна сторона	1	1
277	она не	3	1
278	это всегда	1	1
279	нам предстоит	1	1
280	о природе	1	1
281	а во	1	1
282	они являются	1	1
283	к ней	1	1
284	в каком	1	1
285	в духе	3	1
286	есть только	1	1
287	числе и	1	1
288	в одну	2	1
289	обращение к	2	1
290	для себя	1	1
291	более не	2	1
292	с ее	5	1
293	не существует	3	1
294	не могу	1	1
295	природе своей	1	1
296	учит нас	1	1
297	и которые	1	1
298	невозможно уже	1	1
299	к тем	1	1
300	мы в	1	1
301	для этого	2	1
302	и связаны	1	1
303	образования и	1	1
304	движения и	1	1
305	вопросу о	1	1
306	и во	1	1
307	нет у	1	1
308	на всех	1	1
309	в которую	1	1
310	их совершенно	1	1
311	нуждается в	1	1
312	и только	1	1
313	все время	2	1
314	если взять	1	1
315	которым оно	1	1
316	путем это	1	1
317	связаны с	2	1
318	который в	2	1
319	всяком случае	1	1
320	во времени	1	1
321	в природе	2	1
322	их не	1	1
323	для всех	1	1
324	есть в	2	1
325	уже в	1	1
326	себя в	2	1
327	есть проблема	1	1
328	как например	1	1
329	для чего	2	1
330	что не	1	1
331	а это	1	1
332	своему строению	1	1
333	в прошлом	3	1
334	в конце	1	1
335	это было	3	1
336	для решения	1	1
337	и вместе	1	1
338	и т.п	2	1
339	нельзя сказать	1	1
340	не было	4	1
341	попал в	1	1
342	этого не	1	1
343	долгое время	1	1
344	одну из	1	1
345	все более	1	1
346	до этого	1	1
347	природе и	2	1
348	может сам	1	1
349	не удалось	1	1
350	распадается на	1	1
351	вопрос для	1	1
352	выход из	1	1
353	но для	2	1
354	к вопросу	1	1
355	и для	4	1
356	проходит через	1	1
357	особого рода	1	1
358	и все	4	1
359	менее чем	1	1
360	или нет	1	1
361	логики и	1	1
362	что этот	1	1
363	привел к	1	1
