N	2gram	Medvedev_U_1	Formalny
1	и в	14	24
2	художественного произведения	2	23
3	в его	2	23
4	прежде всего	8	22
5	и не	8	20
6	так и	1	18
7	формального метода	9	16
8	не может	7	16
9	в этом	7	15
10	в нем	1	14
11	может быть	6	14
12	таким образом	2	13
13	именно как	2	12
14	науки об	1	12
15	истории литературы	3	12
16	в своем	1	11
17	как и	3	11
18	в своей	3	11
19	в их	4	11
20	должно быть	1	11
21	в ней	1	10
22	то же	5	10
23	а не	10	10
24	формальный метод	11	9
25	в то	3	9
26	в процессе	1	9
27	история литературы	1	9
28	и потому	1	9
29	все это	5	9
30	и с	2	8
31	не в	2	8
32	произведения в	1	8
33	литературы в	1	8
34	же время	3	8
35	то что	7	8
36	должна быть	2	7
37	не только	10	7
38	до конца	1	7
39	но и	4	7
40	самом деле	2	6
41	отнюдь не	1	6
42	более или	1	6
43	в этой	4	6
44	входит в	1	6
45	как таковой	2	6
46	или менее	1	6
47	она не	1	6
48	в пределах	1	6
49	до сих	2	6
50	в том	2	6
51	было бы	3	6
52	художественное произведение	5	6
53	сих пор	2	6
54	и все	1	6
55	метода в	1	6
56	о литературе	1	6
57	бы ни	1	5
58	хотя бы	5	5
59	но в	3	5
60	в самом	2	5
61	по себе	2	5
62	наших формалистов	1	5
63	и истории	1	5
64	у нас	3	5
65	искусства и	1	5
66	того что	1	5
67	с другой	4	5
68	и др	1	5
69	формы и	2	5
70	в искусстве	6	5
71	художественных произведений	2	4
72	с его	2	4
73	независимо от	1	4
74	в которой	1	4
75	не как	3	4
76	искусства в	1	4
77	задачи и	1	4
78	как на	1	4
79	исходить из	1	4
80	при таком	2	4
81	никогда не	1	4
82	если бы	2	4
83	для этого	3	4
84	с одной	1	4
85	конечно не	4	4
86	конструктивное значение	1	4
87	литературного произведения	1	4
88	одной стороны	1	4
89	в частности	3	4
90	что в	1	4
91	литературы а	1	3
92	художественном произведении	2	3
93	мы не	2	3
94	бы то	3	3
95	но не	2	3
96	метод и	1	3
97	все же	3	3
98	в себе	2	3
99	он не	1	3
100	перестает быть	5	3
101	всех этих	2	3
102	то ни	3	3
