N	4gram	Bakhtin_Pr_1	Hudozhes
1	в то же время	3	8
2	но в то же	1	3
3	на самом же деле	1	1
4	транскрибировать этический момент которым	1	1
5	как-то транскрибировать этический момент	1	1
6	должен как-то транскрибировать этический	1	1
7	которым созерцание овладевает путем	1	1
8	не в том что	1	1
9	а в том как	1	1
10	ни в чем не	2	1
11	в равной мере и	1	1
12	не чем иным как	1	1
13	нет и быть не	1	1
14	с одной стороны и	1	1
15	момент которым созерцание овладевает	1	1
16	и в то же	2	1
17	по отношению к содержанию	3	1
18	созерцание овладевает путем сопереживания	1	1
19	этический момент которым созерцание	1	1
20	несмотря на то что	1	1
