N	3gram	Bakhtin_sl_2	Myslijsy
1	более или менее	2	8
2	сами по себе	1	7
3	во всяком случае	2	7
4	в том что	4	7
5	в свою очередь	2	6
6	тем не менее	1	5
7	до сих пор	2	4
8	на то что	1	3
9	с одной стороны	5	3
10	не могут быть	2	3
11	то есть не	1	3
12	мы не можем	1	3
13	и т п	33	3
14	и т д	2	3
15	и может быть	1	2
16	а не с	1	2
17	и все остальные	1	2
18	между тем как	1	2
19	связанные с этим	1	2
20	с другой стороны	1	2
21	для того чтобы	2	2
22	то же время	4	2
23	так и в	3	2
24	не может быть	15	2
25	с самого начала	1	2
26	в то же	4	2
27	таким образом в	1	2
28	сама по себе	3	2
29	не может ни	1	1
30	могли бы быть	1	1
31	и связанные с	2	1
32	как предмета в	1	1
33	не только о	2	1
34	большей или меньшей	1	1
35	выйти за пределы	1	1
36	том что он	1	1
37	том что оно	1	1
38	то есть к	1	1
39	одной стороны и	3	1
40	то прежде всего	1	1
41	может быть только	1	1
42	то есть именно	1	1
43	в отличие от	12	1
44	себя и для	1	1
45	прежде чем перейти	1	1
46	в собственном смысле	3	1
47	на каждом шагу	2	1
48	и не может	1	1
49	их отношение к	1	1
50	бы она ни	1	1
51	в нем в	3	1
52	со всех сторон	1	1
53	и не в	1	1
54	может и не	1	1
55	чем перейти к	1	1
56	имеет дело с	1	1
57	как и в	1	1
58	мы не знаем	1	1
59	в себе как	1	1
60	в применении к	1	1
61	во всех этих	1	1
62	тогда когда это	1	1
63	как бы она	1	1
64	в связи с	2	1
65	есть не только	1	1
66	не для того	1	1
67	друг к другу	1	1
68	при этом и	1	1
69	о которых мы	1	1
70	далеко не все	1	1
71	а в том	1	1
72	она ни была	1	1
73	в этом случае	6	1
74	о том что	1	1
75	мы можем сказать	1	1
76	не связано с	1	1
77	отличие от слова	1	1
78	не менее в	1	1
79	но все же	4	1
80	мы говорим о	1	1
81	нельзя себе представить	1	1
82	в большинстве случаев	5	1
83	это как бы	1	1
84	мы видели что	1	1
85	можем сказать в	1	1
