N	3gram	Voloshinov_1	VLabPisa
1	в этом отношении	1	13
2	с другой стороны	2	8
3	не может быть	7	8
4	по отношению к	11	7
5	более или менее	1	6
6	в то же	1	5
7	в конечном счете	1	5
8	то же время	1	5
9	в зависимости от	2	5
10	можно сказать что	5	4
11	в том что	4	4
12	в художественном произведении	3	4
13	равно как и	1	4
14	о том что	1	3
15	как это делает	1	3
16	подобно тому как	1	2
17	с одной стороны	2	2
18	они должны быть	1	2
19	таким образом не	1	2
20	до сих пор	3	2
21	бы не было	1	2
22	в частности в	1	2
23	и не может	3	2
24	этой точки зрения	3	2
25	можно было бы	1	2
26	одной стороны и	2	2
27	только то что	1	2
28	во всяком случае	1	2
29	по крайней мере	1	2
30	в том же	1	1
31	в этом смысле	1	1
32	плоть и кровь	1	1
33	произведения и его	1	1
34	может идти только	1	1
35	но в то	1	1
36	может быть и	3	1
37	в виду не	1	1
38	не обходится без	1	1
39	в плоть и	1	1
40	говорит о том	1	1
41	но то же	1	1
42	что осталось в	1	1
43	в противном случае	1	1
44	имеем дело с	1	1
45	к тому же	1	1
46	а между тем	1	1
47	все зависит от	1	1
48	имеем в виду	2	1
49	процессе этого развития	1	1
50	ничего общего с	1	1
51	как если бы	4	1
52	таким образом для	1	1
53	по себе в	1	1
54	то же самое	2	1
55	сама по себе	1	1
56	и то же	2	1
57	в то время	1	1
58	и др и	1	1
59	следует отметить что	1	1
60	произведения таким образом	1	1
61	приходится признать что	1	1
62	далеко не всегда	1	1
63	сами по себе	1	1
64	что мы имеем	1	1
65	в каком направлении	1	1
66	сих пор не	1	1
67	художественного произведения эта	1	1
68	в самом деле	1	1
69	в процессе этого	1	1
70	и по отношению	3	1
71	между тем это	1	1
72	со всех сторон	1	1
73	же как и	1	1
74	по аналогии с	1	1
75	ни в какой	1	1
76	все же не	1	1
77	но и в	1	1
78	то время как	1	1
79	так же как	1	1
80	мы имеем дело	1	1
81	художественного произведения и	2	1
82	в свою очередь	1	1
83	в данном случае	2	1
84	можно определить как	1	1
85	одно и то	2	1
86	является для него	1	1
87	от его содержания	1	1
