N	4gram	Medvedev_F_2	OGranits
1	не чем иным как	1	2
2	не что иное как	1	2
3	есть не что иное	1	2
4	может быть и речи	3	1
5	в своей статье о	2	1
6	но тем не менее	1	1
7	отметить еще одну особенность	1	1
8	лишь в процессе взаимодействия	1	1
9	и не может быть	2	1
10	по себе а лишь	1	1
11	один и тот же	1	1
12	чем иным как попыткой	1	1
13	является не чем иным	1	1
14	становится чуть ли не	1	1
15	только в связи с	1	1
16	иметь в виду что	1	1
17	то же время в	1	1
18	не может быть и	3	1
19	поставить вопрос отвечают ли	1	1
20	но в то же	1	1
21	в то же время	5	1
