N	3gram	Bakhtin_KF_1	Russkaja
1	то же время	2	10
2	в то же	2	10
3	с точки зрения	9	9
4	в том что	2	7
5	на самом деле	3	6
6	во всяком случае	1	6
7	для того чтобы	1	6
8	на то что	1	4
9	бы то ни	2	4
10	в том случае	1	4
11	не может быть	11	4
12	к которой он	1	4
13	не может не	1	3
14	в лучшем случае	1	3
15	вместе с тем	1	3
16	и то что	1	3
17	той или иной	2	3
18	а следовательно и	1	2
19	в настоящее время	1	2
20	лишь при условии	1	2
21	только в том	1	2
22	в противоречие с	1	2
23	по самому своему	1	2
24	будет ли это	1	2
25	того или иного	3	2
26	ни к чему	2	2
27	и тем самым	1	2
28	в другом случае	1	2
29	в большинстве случаев	1	2
30	к тому что	1	2
31	чем ближе к	1	1
32	для нас важно	2	1
33	и того же	1	1
34	то-то и то-то	1	1
35	никогда не было	1	1
36	но и от	1	1
37	по соображениям совершенно	1	1
38	зависит от того	1	1
39	дело в том	1	1
40	в свою очередь	1	1
41	между прочим и	1	1
42	по отношению к	22	1
43	то же самое	1	1
44	в том же	1	1
45	он не может	1	1
46	по отношению ко	4	1
47	конечно не может	1	1
48	не может иметь	1	1
49	это значило бы	2	1
50	с ним в	1	1
51	в противном случае	1	1
52	лишь постольку поскольку	1	1
53	несмотря на то	1	1
54	не подлежит сомнению	1	1
55	значило бы признать	1	1
56	и в своем	1	1
57	в значительной степени	1	1
58	можно сказать только	1	1
59	соображениям совершенно посторонним	1	1
60	отказаться от своей	2	1
61	но в то	1	1
62	то ни было	2	1
63	к чему не	2	1
64	смысле этого слова	1	1
65	и в этом	3	1
66	во всех этих	2	1
67	и как бы	1	1
68	в его целом	10	1
69	но можно ли	1	1
70	или иной культурной	1	1
71	она могла бы	2	1
72	и все же	1	1
73	может быть совершено	1	1
74	как бы ни	1	1
75	вопрос о том	2	1
76	одного и того	1	1
77	только в этом	1	1
78	тем не менее	2	1
79	быть не может	1	1
80	том случае когда	1	1
81	всех этих случаях	1	1
82	не только от	1	1
83	и вопрос о	1	1
84	и только в	2	1
