N	2gram	Kanaev_Sov_1	DiskursI
1	не только	4	28
2	в том	4	23
3	а не	3	22
4	том что	1	19
5	может быть	12	17
6	как и	6	16
7	и в	7	16
8	в этом	7	15
9	еще не	3	14
10	при этом	3	13
11	и т.п	1	12
12	но не	1	11
13	прежде всего	5	11
14	и не	6	11
15	с другой	1	10
16	по отношению	1	9
17	в нем	3	9
18	не может	17	9
19	с одной	2	9
20	одной стороны	1	9
21	отношению к	1	9
22	отнюдь не	3	8
23	но в	3	8
24	о том	1	8
25	не было	1	7
26	в себе	3	7
27	то же	3	7
28	не в	3	7
29	роль в	2	7
30	в его	2	7
31	только в	1	7
32	в своем	1	6
33	во всех	1	5
34	отличие от	2	5
35	в отличие	2	5
36	в процессе	1	5
37	или иной	2	5
38	в данном	1	5
39	как бы	4	5
40	а в	4	5
41	с его	1	4
42	и к	3	4
43	уже не	2	4
44	в целом	4	4
45	на его	2	4
46	могут быть	2	4
47	и т.д	3	4
48	же время	1	4
49	во втором	1	4
50	одной из	1	4
51	по своим	1	4
52	связи с	1	4
53	такого рода	2	4
54	не является	1	4
55	что в	2	4
56	того же	1	3
57	и потому	3	3
58	в первом	3	3
59	той или	1	3
60	различия между	1	3
61	с этим	2	3
62	в самом	2	3
63	вследствие этого	1	3
64	это не	4	3
65	точки зрения	12	3
66	в своих	1	3
67	по себе	1	3
68	в то	1	3
69	таким образом	11	3
70	свою очередь	2	3
71	времени и	2	3
72	еще в	1	3
73	и даже	2	3
74	в данной	1	3
75	из них	4	3
76	именно в	1	3
77	и составляет	1	3
78	один из	1	3
79	все же	3	3
80	в свою	2	3
81	сказать что	1	3
82	в действительности	1	3
83	и есть	2	2
84	к другому	1	2
85	для своего	1	2
86	мы имеем	1	2
87	между собой	3	2
88	но как	1	2
89	опирается на	1	2
90	стороны и	1	2
91	собственно и	1	2
92	хотя и	1	2
93	с понятием	1	2
94	не приходится	1	2
95	в этой	3	2
96	так сказать	2	2
97	и по	2	2
98	на этом	2	2
99	человека в	1	2
100	в каждом	8	2
101	к области	1	2
102	с человеком	1	2
103	наших дней	1	2
104	по крайней	1	2
105	не менее	2	2
106	но они	1	2
107	что с	1	2
108	стадии развития	1	2
109	в науке	2	2
110	а о	1	2
111	и его	1	2
112	крайней мере	1	2
113	отличается от	3	2
114	же самое	2	2
115	как мы	2	2
116	с ее	1	2
117	данном случае	1	2
118	приводит к	2	2
119	в другом	1	2
120	и вообще	1	2
121	но отнюдь	1	2
122	во всяком	2	2
123	и что	2	2
124	одного из	1	2
125	и во	2	2
126	к различным	1	2
127	в какой	1	2
128	точка зрения	1	2
129	тот или	2	2
130	уже в	3	2
131	как их	1	2
132	в одном	3	2
133	сами по	1	2
134	как его	1	2
135	никогда не	1	2
136	из двух	3	2
137	на ее	1	2
138	здесь в	1	2
139	к которому	1	2
140	то она	1	2
141	что же	5	2
142	жизни в	1	2
143	в начале	1	2
144	или в	1	2
145	и все	3	2
146	не более	1	2
147	они не	1	2
148	к этому	1	2
149	новое время	1	1
150	как известно	2	1
151	можно говорить	1	1
152	необходимо отметить	2	1
153	самом деле	2	1
154	на самом	1	1
155	это и	1	1
156	идет о	1	1
157	и до	1	1
158	иного типа	1	1
159	состояния в	1	1
160	этом направлении	1	1
161	той же	2	1
162	в и	2	1
163	и само	1	1
164	теоретического познания	1	1
165	смысле можно	1	1
166	обладает способностью	1	1
167	на многочисленные	1	1
168	во внутреннем	1	1
169	говорить о	2	1
170	но уже	1	1
171	был прежде	1	1
172	со сцены	1	1
173	на них	1	1
174	он сам	1	1
175	конечном счете	1	1
176	мы называем	3	1
177	нет и	4	1
178	независимо от	1	1
179	о жизни	2	1
180	и нет	1	1
181	тем же	2	1
182	следующим образом	3	1
183	начала мы	1	1
184	в которой	2	1
185	что это	2	1
186	он в	3	1
187	в нашем	2	1
188	из этих	2	1
189	и пространства	2	1
190	и те	1	1
191	по преимуществу	1	1
192	быть только	1	1
193	этот процесс	1	1
194	что она	3	1
195	функционируют как	1	1
196	он не	1	1
197	все перечисленные	1	1
198	к одному	1	1
199	свое время	1	1
200	одному и	1	1
201	но все	2	1
202	совпадают с	1	1
203	не будет	1	1
204	и может	1	1
205	значение в	2	1
206	в мире	1	1
207	такого случая	1	1
208	может стать	1	1
209	жизненной практике	1	1
210	этом смысле	1	1
211	не соответствует	1	1
212	в новое	1	1
213	для них	1	1
214	произойти в	1	1
215	принципиальные различия	1	1
216	которой он	2	1
217	мы видели	4	1
218	оно имеет	1	1
219	мы не	9	1
220	нужды в	1	1
221	и при	1	1
222	что такое	2	1
223	таким же	1	1
224	заключать в	1	1
225	это делает	1	1
226	с точки	5	1
227	в первый	1	1
228	от его	1	1
229	он осуществляет	1	1
230	процесса и	1	1
231	поэтому в	1	1
232	которые в	1	1
233	нам только	1	1
234	тем не	2	1
235	и более	1	1
236	между двумя	1	1
237	и вся	1	1
238	раз и	1	1
239	самого начала	3	1
240	для каждого	1	1
241	не имеет	1	1
242	дело в	1	1
243	но только	1	1
244	задача науки	1	1
245	немного в	1	1
246	под углом	1	1
247	выбора между	1	1
248	этих двух	2	1
249	к концу	1	1
250	углом зрения	1	1
251	такие же	2	1
252	ни о	1	1
253	не могут	2	1
254	и должно	1	1
255	когда мы	3	1
256	его с	1	1
257	если же	2	1
258	и это	1	1
259	своего развития	1	1
260	и от	1	1
261	с самого	3	1
262	принципиального различия	1	1
263	что каждый	1	1
264	по аналогии	1	1
265	те же	1	1
266	том как	1	1
267	если бы	1	1
268	из одного	2	1
269	но такая	1	1
270	развития в	2	1
271	быть в	1	1
272	то они	1	1
273	красоты в	1	1
274	утверждает что	1	1
275	что его	1	1
276	в конечном	1	1
277	к нему	1	1
278	а потому	1	1
279	отметить что	1	1
280	человека как	1	1
281	и мы	3	1
282	известном смысле	1	1
283	которых она	1	1
284	и действительно	1	1
285	он уже	1	1
286	по мнению	2	1
287	или же	2	1
288	со всеми	2	1
289	одни и	1	1
290	до наших	1	1
291	не имеют	1	1
292	в большинстве	1	1
293	только на	1	1
294	то и	2	1
295	в виде	2	1
296	если в	1	1
297	в известном	1	1
298	его и	1	1
299	но для	1	1
300	и их	1	1
301	всяком случае	2	1
302	в конце	3	1
303	мы можем	6	1
304	не случайно	1	1
305	их по	1	1
306	представление о	1	1
307	в области	3	1
308	до сих	1	1
309	может ли	1	1
310	это пока	1	1
311	и прежде	1	1
312	было бы	3	1
313	на которых	1	1
314	которая и	1	1
315	принципиально не	2	1
316	этом случае	1	1
317	несмотря на	1	1
318	в связи	1	1
319	действия в	1	1
320	с помощью	4	1
321	не способна	1	1
322	вместе с	4	1
323	что вся	1	1
324	в область	1	1
325	научной мысли	1	1
326	к чему	2	1
327	только о	1	1
328	быть и	2	1
329	аналогии с	1	1
330	сих пор	1	1
331	поэтому что	1	1
332	это уже	1	1
333	указать на	1	1
334	при таком	3	1
335	читателя что	1	1
336	в результате	6	1
337	вопрос о	4	1
338	другое дело	1	1
339	это как	1	1
340	развития и	1	1
341	себя самого	1	1
342	или нет	1	1
343	мы должны	4	1
344	но это	1	1
345	том случае	1	1
346	ни изменить	1	1
347	в новых	2	1
348	присущие каждому	1	1
349	могли быть	1	1
350	в системе	3	1
351	цель и	1	1
352	не знает	1	1
353	функций и	1	1
354	его таким	1	1
355	в свое	1	1
356	свою задачу	1	1
357	в таком	2	1
