N	3gram	Propp_Morf_1	Analitik
1	в том что	3	7
2	по отношению к	4	7
3	о том что	1	5
4	с другой стороны	4	5
5	как и в	2	4
6	до известной степени	1	3
7	в этом отношении	1	3
8	в данном случае	1	3
9	подобно тому как	5	2
10	с одной стороны	1	2
11	можно сказать что	1	2
12	что несмотря на	1	2
13	с точки зрения	2	2
14	том что он	1	2
15	тем не менее	4	2
16	во всяком случае	2	2
17	то что не	1	1
18	в таком случае	1	1
19	есть на самом	1	1
20	с этого момента	2	1
21	но как бы	1	1
22	в большинстве случаев	3	1
23	здесь мы имеем	1	1
24	тех случаях когда	2	1
25	во многих отношениях	1	1
26	к этому же	1	1
27	но они не	1	1
28	это уже не	1	1
29	здесь как и	1	1
30	до сих пор	1	1
31	дело не в	2	1
32	что и в	1	1
33	с первых же	1	1
34	уже не может	1	1
35	в отдельных случаях	3	1
36	а в качестве	1	1
37	в этом случае	8	1
38	на самом деле	4	1
39	и в этой	1	1
40	с тех пор	1	1
41	тех пор как	1	1
42	после чего следует	2	1
43	и может быть	1	1
44	под углом зрения	1	1
45	для того чтобы	2	1
46	а в русской	1	1
47	не могут быть	2	1
48	далеко не всегда	1	1
49	между тем в	1	1
50	в связи с	8	1
51	в тех случаях	2	1
52	в частности как	1	1
53	если например в	1	1
54	отдельных случаях может	1	1
55	хотя и не	1	1
56	в первом случае	3	1
57	и не всегда	1	1
58	между собой и	1	1
59	во втором случае	1	1
60	не может быть	9	1
