N	4gram	Vinokur_Ku_2	VLabPisa
1	в то же время	3	5
2	большей или меньшей степени	3	2
3	одном и том же	1	2
4	в большей или меньшей	3	2
5	уже о том что	1	1
6	и т п все	1	1
7	примеров можно было бы	1	1
8	в том или ином	1	1
9	не говоря уже о	2	1
10	как бы сами по	1	1
11	но с другой стороны	1	1
12	в то время как	1	1
13	с этой точки зрения	2	1
14	приводит к тому что	1	1
15	в одном и том	1	1
16	говоря уже о том	1	1
17	бы сами по себе	1	1
18	хотя бы и в	1	1
19	основанием для того чтобы	1	1
20	дело не в том	1	1
21	только в том что	1	1
22	которое не было бы	1	1
23	ответ на этот вопрос	1	1
